file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_058FC0,0,stream=0x58000;block=0xFC0;text=0,"[""stream=0x58000;block=0xFC0;text=0""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]",,"<R=研究施設,ラボ>にいたのは女性二人だけか？
","普段は二人だけ。
","[""<R=研究施設,ラボ>""]","那个<R=研究设施,LAB>里只有两个女人吗？","<R=研究设施,LAB>",MATCH,63,53,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_058FC0,1,stream=0x58000;block=0xFC0;text=1,"[""stream=0x58000;block=0xFC0;text=1""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]","<R=研究施設,ラボ>にいたのは女性二人だけか？
","普段は二人だけ。
","ふむ…。
",[],平时就我们两个。,,MATCH,25,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_058FC0,2,stream=0x58000;block=0xFC0;text=2,"[""stream=0x58000;block=0xFC0;text=2""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]","普段は二人だけ。
","ふむ…。
","一人は声だけしか聞いてないんだな？
",[],唔……。,,MATCH,13,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_058FC0,3,stream=0x58000;block=0xFC0;text=3,"[""stream=0x58000;block=0xFC0;text=3""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]","ふむ…。
","一人は声だけしか聞いてないんだな？
","ええ。背筋がゾワッてするほど素敵な声。
",[],其中一个你只听过声音，对吧？,,MATCH,52,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_058FC0,4,stream=0x58000;block=0xFC0;text=4,"[""stream=0x58000;block=0xFC0;text=4""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]","一人は声だけしか聞いてないんだな？
","ええ。背筋がゾワッてするほど素敵な声。
","もう一人はどんな女性だ？
",[],嗯。好听得让我脊背发麻。,,MATCH,58,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_058FC0,5,stream=0x58000;block=0xFC0;text=5,"[""stream=0x58000;block=0xFC0;text=5""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]","ええ。背筋がゾワッてするほど素敵な声。
","もう一人はどんな女性だ？
","狙っても無駄よ。男性には興味がないみたい。
",[],另一个是什么样的女人？,,MATCH,37,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_058FC0,6,stream=0x58000;block=0xFC0;text=6,"[""stream=0x58000;block=0xFC0;text=6""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]","もう一人はどんな女性だ？
","狙っても無駄よ。男性には興味がないみたい。
","いや、俺は任務で…。
",[],你盯上她也没用。她好像对男人没兴趣。,,MATCH,64,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_058FC0,7,stream=0x58000;block=0xFC0;text=7,"[""stream=0x58000;block=0xFC0;text=7""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]","狙っても無駄よ。男性には興味がないみたい。
","いや、俺は任務で…。
","冗談よ。そうね…。<R=年齢,とし>は30代だと思う。美人でスタイル
もいいけど飾り気がなかった。かなりの変人。
",[],不，我是因为任务……。,,MATCH,31,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_058FC0,8,stream=0x58000;block=0xFC0;text=8,"[""stream=0x58000;block=0xFC0;text=8""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]","いや、俺は任務で…。
","冗談よ。そうね…。<R=年齢,とし>は30代だと思う。美人でスタイル
もいいけど飾り気がなかった。かなりの変人。
","彼女が<R=人工知能,AI>の研究を？
","[""<R=年齢,とし>""]","开玩笑的。让我想想……<R=年龄,AGE>大概三十多岁。人很漂亮，身材也好，不过不怎么打扮。是个相当古怪的人。","<R=年龄,AGE>",MATCH,153,149,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_058FC0,9,stream=0x58000;block=0xFC0;text=9,"[""stream=0x58000;block=0xFC0;text=9""]",1,BRIEFING FILES,"[""stream=0x58000;block=0xFC0;block_file=0x58FC0;text_base=0x59040;capacity=1464""]","冗談よ。そうね…。<R=年齢,とし>は30代だと思う。美人でスタイル
もいいけど飾り気がなかった。かなりの変人。
","彼女が<R=人工知能,AI>の研究を？
","<R=人工知能,AI>？　彼女は<R=人工知能,AI>を研究してたの？
","[""<R=人工知能,AI>""]","她在研究<R=人工智能,AI>？","<R=人工智能,AI>",MATCH,44,34,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
