file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_MISSION_BLOCK_3818C0,0,stream=0x381000;block=0x8C0;text=0,"[""stream=0x381000;block=0x8C0;text=0""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]",,"ボス…、ものは相談なんだが…。
","なんだ。
『MSF印のレーション』を輸出するとか言うなよ？
",[],"Boss……有件事想跟你商量……。
",,MATCH,46,44,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_3818C0,1,stream=0x381000;block=0x8C0;text=1,"[""stream=0x381000;block=0x8C0;text=1""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","ボス…、ものは相談なんだが…。
","なんだ。
『MSF印のレーション』を輸出するとか言うなよ？
","それもいいな…。
…じゃない、ボス。
",[],"什么事。
别跟我说你想出口“MSF牌军粮”？
",,MATCH,80,59,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_3818C0,2,stream=0x381000;block=0x8C0;text=2,"[""stream=0x381000;block=0x8C0;text=2""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","なんだ。
『MSF印のレーション』を輸出するとか言うなよ？
","それもいいな…。
…じゃない、ボス。
","MSFの兵士もずいぶん増えた。
そろそろ、他国への傭兵派遣も開始したい。
",[],"那也不错……。
……不对，Boss。
",,MATCH,53,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_3818C0,3,stream=0x381000;block=0x8C0;text=3,"[""stream=0x381000;block=0x8C0;text=3""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","それもいいな…。
…じゃない、ボス。
","MSFの兵士もずいぶん増えた。
そろそろ、他国への傭兵派遣も開始したい。
","傭兵派遣か…。
",[],"MSF的士兵也增加了不少。
差不多该开始向其他国家派遣雇佣兵了。
",,MATCH,101,89,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_3818C0,4,stream=0x381000;block=0x8C0;text=4,"[""stream=0x381000;block=0x8C0;text=4""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","MSFの兵士もずいぶん増えた。
そろそろ、他国への傭兵派遣も開始したい。
","傭兵派遣か…。
","そうでもしないと、
これだけの兵士を食わせていくのは厳しいぞ。
",[],"派遣雇佣兵吗……。
",,MATCH,22,28,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_3818C0,5,stream=0x381000;block=0x8C0;text=5,"[""stream=0x381000;block=0x8C0;text=5""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","傭兵派遣か…。
","そうでもしないと、
これだけの兵士を食わせていくのは厳しいぞ。
","ああ…。わかってる…。
",[],"不这么做的话，
要养活这么多士兵可就难了。
",,MATCH,92,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_3818C0,6,stream=0x381000;block=0x8C0;text=6,"[""stream=0x381000;block=0x8C0;text=6""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","そうでもしないと、
これだけの兵士を食わせていくのは厳しいぞ。
","ああ…。わかってる…。
","派兵するには、マザーベースから
<R=『OUTER OPS』,アウター オプス>を選んでくれ。
",[],"嗯……我知道……。
",,MATCH,34,28,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_3818C0,7,stream=0x381000;block=0x8C0;text=7,"[""stream=0x381000;block=0x8C0;text=7""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","ああ…。わかってる…。
","派兵するには、マザーベースから
<R=『OUTER OPS』,アウター オプス>を選んでくれ。
","上手くいけば、兵士や、武器の設計図が手に入ること
もあるし、新たなミッションにも繋がるかもしれん。
","[""<R=『OUTER OPS』,アウター オプス>""]","要派兵的话，从Mother Base选择
<R=『OUTER OPS』,OUTER OPS>。
","<R=『OUTER OPS』,OUTER OPS>",MATCH,110,72,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_MISSION_BLOCK_3818C0,8,stream=0x381000;block=0x8C0;text=8,"[""stream=0x381000;block=0x8C0;text=8""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","派兵するには、マザーベースから
<R=『OUTER OPS』,アウター オプス>を選んでくれ。
","上手くいけば、兵士や、武器の設計図が手に入ること
もあるし、新たなミッションにも繋がるかもしれん。
","手に入れた車輌や大型兵器を使うこともできる。
",[],"顺利的话，可能会获得士兵或武器设计图，
也可能由此发现新的任务。
",,MATCH,146,95,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_3818C0,9,stream=0x381000;block=0x8C0;text=9,"[""stream=0x381000;block=0x8C0;text=9""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","上手くいけば、兵士や、武器の設計図が手に入ること
もあるし、新たなミッションにも繋がるかもしれん。
","手に入れた車輌や大型兵器を使うこともできる。
","だが失敗すれば…。
",[],"还可以使用已经获得的车辆和大型兵器。
",,MATCH,67,55,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
