file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D1A33AA,0,0,0;0;0;0,4,,page196:tag8:entity45:key00D99905:ref0:ord0;page322:tag7:entity45:key00D99905:ref0:ord0;page352:tag8:entity45:key00D99905:ref0:ord0;page364:tag9:entity45:key00D99905:ref0:ord0,,SCANNING...,AL-AURELIA8000,,,,NOT_CHECKED,11,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4
5D1A33AA,1,1,1;1;1;1,4,,page196:tag8:entity1:key001240D9:ref1:ord0;page322:tag7:entity1:key001240D9:ref1:ord0;page352:tag8:entity1:key001240D9:ref1:ord0;page364:tag9:entity1:key001240D9:ref1:ord0,SCANNING...,AL-AURELIA8000,PEACE WALKER,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4
5D1A33AA,2,2,2;2;2;2,4,,page196:tag8:entity0:key001240D8:ref2:ord0;page322:tag7:entity0:key001240D8:ref2:ord0;page352:tag8:entity0:key001240D8:ref2:ord0;page364:tag9:entity0:key001240D8:ref2:ord0,AL-AURELIA8000,PEACE WALKER,LIFE,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4
5D1A33AA,3,3,3;3;3;3,4,,page196:tag8:entity18:key005414F8:ref3:ord0;page322:tag7:entity18:key005414F8:ref3:ord0;page352:tag8:entity18:key005414F8:ref3:ord0;page364:tag9:entity18:key005414F8:ref3:ord0,PEACE WALKER,LIFE,LEVEL,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4
5D1A33AA,4,4,4;4;4;4,4,,page196:tag8:entity44:key008B0506:ref4:ord0;page322:tag7:entity44:key008B0506:ref4:ord0;page352:tag8:entity44:key008B0506:ref4:ord0;page364:tag9:entity44:key008B0506:ref4:ord0,LIFE,LEVEL,UNKNOWN,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4
5D1A33AA,5,5,5;5;5;5,4,,page196:tag8:entity46:key00EA94DE:ref5:ord0;page322:tag7:entity46:key00EA94DE:ref5:ord0;page352:tag8:entity46:key00EA94DE:ref5:ord0;page364:tag9:entity46:key00EA94DE:ref5:ord0,LEVEL,UNKNOWN,MOBILITY,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4
5D1A33AA,6,6,6;8;9;11;12;14;15;17;18;20;46;6;8;9;11;12;14;15;17;18;20;46;6;8;9;11;12;14;15;17;18;20;46;6;8;9;11;12;14;15;17;18;20;46,44,,page196:tag8:entity43:key0079709E:ref6:ord0;page196:tag8:entity11:key0012DE59:ref8:ord0;page196:tag8:entity41:key00796C9E:ref9:ord0;page196:tag8:entity10:key0012DE58:ref11:ord0;page196:tag8:entity39:key0079689E:ref12:ord0;page196:tag8:entity9:key0012DE57:ref14:ord0;page196:tag8:entity37:key0079649E:ref15:ord0;page196:tag8:entity8:key0012DE56:ref17:ord0;page196:tag8:entity35:key0079609E:ref18:ord0;page196:tag8:entity7:key0012DE55:ref20:ord0;page196:tag8:entity14:key004EDDB2:ref46:ord0;page322:tag7:entity43:key0079709E:ref6:ord0;page322:tag7:entity11:key0012DE59:ref8:ord0;page322:tag7:entity41:key00796C9E:ref9:ord0;page322:tag7:entity10:key0012DE58:ref11:ord0;page322:tag7:entity39:key0079689E:ref12:ord0;page322:tag7:entity9:key0012DE57:ref14:ord0;page322:tag7:entity37:key0079649E:ref15:ord0;page322:tag7:entity8:key0012DE56:ref17:ord0;page322:tag7:entity35:key0079609E:ref18:ord0;page322:tag7:entity7:key0012DE55:ref20:ord0;page322:tag7:entity14:key004EDDB2:ref46:ord0;page352:tag8:entity43:key0079709E:ref6:ord0;page352:tag8:entity11:key0012DE59:ref8:ord0;page352:tag8:entity41:key00796C9E:ref9:ord0;page352:tag8:entity10:key0012DE58:ref11:ord0;page352:tag8:entity39:key0079689E:ref12:ord0;page352:tag8:entity9:key0012DE57:ref14:ord0;page352:tag8:entity37:key0079649E:ref15:ord0;page352:tag8:entity8:key0012DE56:ref17:ord0;page352:tag8:entity35:key0079609E:ref18:ord0;page352:tag8:entity7:key0012DE55:ref20:ord0;page352:tag8:entity14:key004EDDB2:ref46:ord0;page364:tag9:entity43:key0079709E:ref6:ord0;page364:tag9:entity11:key0012DE59:ref8:ord0;page364:tag9:entity41:key00796C9E:ref9:ord0;page364:tag9:entity10:key0012DE58:ref11:ord0;page364:tag9:entity39:key0079689E:ref12:ord0;page364:tag9:entity9:key0012DE57:ref14:ord0;page364:tag9:entity37:key0079649E:ref15:ord0;page364:tag9:entity8:key0012DE56:ref17:ord0;page364:tag9:entity35:key0079609E:ref18:ord0;page364:tag9:entity7:key0012DE55:ref20:ord0;page364:tag9:entity14:key004EDDB2:ref46:ord0,UNKNOWN,MOBILITY,M,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=44
5D1A33AA,7,7,7;10;13;16;19;45;7;10;13;16;19;45;7;10;13;16;19;45;7;10;13;16;19;45,24,,page196:tag8:entity42:key0079705C:ref7:ord0;page196:tag8:entity40:key00796C5C:ref10:ord0;page196:tag8:entity38:key0079685C:ref13:ord0;page196:tag8:entity36:key0079645C:ref16:ord0;page196:tag8:entity34:key0079605C:ref19:ord0;page196:tag8:entity20:key0076D54C:ref45:ord0;page322:tag7:entity42:key0079705C:ref7:ord0;page322:tag7:entity40:key00796C5C:ref10:ord0;page322:tag7:entity38:key0079685C:ref13:ord0;page322:tag7:entity36:key0079645C:ref16:ord0;page322:tag7:entity34:key0079605C:ref19:ord0;page322:tag7:entity20:key0076D54C:ref45:ord0;page352:tag8:entity42:key0079705C:ref7:ord0;page352:tag8:entity40:key00796C5C:ref10:ord0;page352:tag8:entity38:key0079685C:ref13:ord0;page352:tag8:entity36:key0079645C:ref16:ord0;page352:tag8:entity34:key0079605C:ref19:ord0;page352:tag8:entity20:key0076D54C:ref45:ord0;page364:tag9:entity42:key0079705C:ref7:ord0;page364:tag9:entity40:key00796C5C:ref10:ord0;page364:tag9:entity38:key0079685C:ref13:ord0;page364:tag9:entity36:key0079645C:ref16:ord0;page364:tag9:entity34:key0079605C:ref19:ord0;page364:tag9:entity20:key0076D54C:ref45:ord0,MOBILITY,M,MOBILITY,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=24
5D1A33AA,8,21,21;23;24;26;27;29;32;34;42;21;23;24;26;27;29;32;34;42;21;23;24;26;27;29;32;34;42;21;23;24;26;27;29;32;34;42,36,,page196:tag8:entity33:key00795C9E:ref21:ord0;page196:tag8:entity6:key0012DE54:ref23:ord0;page196:tag8:entity31:key0079589E:ref24:ord0;page196:tag8:entity5:key0012DE53:ref26:ord0;page196:tag8:entity29:key0079549E:ref27:ord0;page196:tag8:entity4:key0012DE52:ref29:ord0;page196:tag8:entity13:key002955C2:ref32:ord0;page196:tag8:entity19:key005BCA52:ref34:ord0;page196:tag8:entity16:key004EDDB4:ref42:ord0;page322:tag7:entity33:key00795C9E:ref21:ord0;page322:tag7:entity6:key0012DE54:ref23:ord0;page322:tag7:entity31:key0079589E:ref24:ord0;page322:tag7:entity5:key0012DE53:ref26:ord0;page322:tag7:entity29:key0079549E:ref27:ord0;page322:tag7:entity4:key0012DE52:ref29:ord0;page322:tag7:entity13:key002955C2:ref32:ord0;page322:tag7:entity19:key005BCA52:ref34:ord0;page322:tag7:entity16:key004EDDB4:ref42:ord0;page352:tag8:entity33:key00795C9E:ref21:ord0;page352:tag8:entity6:key0012DE54:ref23:ord0;page352:tag8:entity31:key0079589E:ref24:ord0;page352:tag8:entity5:key0012DE53:ref26:ord0;page352:tag8:entity29:key0079549E:ref27:ord0;page352:tag8:entity4:key0012DE52:ref29:ord0;page352:tag8:entity13:key002955C2:ref32:ord0;page352:tag8:entity19:key005BCA52:ref34:ord0;page352:tag8:entity16:key004EDDB4:ref42:ord0;page364:tag9:entity33:key00795C9E:ref21:ord0;page364:tag9:entity6:key0012DE54:ref23:ord0;page364:tag9:entity31:key0079589E:ref24:ord0;page364:tag9:entity5:key0012DE53:ref26:ord0;page364:tag9:entity29:key0079549E:ref27:ord0;page364:tag9:entity4:key0012DE52:ref29:ord0;page364:tag9:entity13:key002955C2:ref32:ord0;page364:tag9:entity19:key005BCA52:ref34:ord0;page364:tag9:entity16:key004EDDB4:ref42:ord0,MOBILITY,ATTACK,A,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=36
5D1A33AA,9,22,22;25;28;33;41;22;25;28;33;41;22;25;28;33;41;22;25;28;33;41,20,,page196:tag8:entity32:key00795C5C:ref22:ord0;page196:tag8:entity30:key0079585C:ref25:ord0;page196:tag8:entity28:key0079545C:ref28:ord0;page196:tag8:entity12:key00295580:ref33:ord0;page196:tag8:entity22:key0076DD4C:ref41:ord0;page322:tag7:entity32:key00795C5C:ref22:ord0;page322:tag7:entity30:key0079585C:ref25:ord0;page322:tag7:entity28:key0079545C:ref28:ord0;page322:tag7:entity12:key00295580:ref33:ord0;page322:tag7:entity22:key0076DD4C:ref41:ord0;page352:tag8:entity32:key00795C5C:ref22:ord0;page352:tag8:entity30:key0079585C:ref25:ord0;page352:tag8:entity28:key0079545C:ref28:ord0;page352:tag8:entity12:key00295580:ref33:ord0;page352:tag8:entity22:key0076DD4C:ref41:ord0;page364:tag9:entity32:key00795C5C:ref22:ord0;page364:tag9:entity30:key0079585C:ref25:ord0;page364:tag9:entity28:key0079545C:ref28:ord0;page364:tag9:entity12:key00295580:ref33:ord0;page364:tag9:entity22:key0076DD4C:ref41:ord0,ATTACK,A,ATTACK,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=20
