file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_MISSION_BLOCK_382250,0,stream=0x382000;block=0x250;text=0,"[""stream=0x382000;block=0x250;text=0""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]",,"ボス…。
あんたに届けものだ。
","MSF宛てじゃなく、俺にか？
",[],,,NOT_CHECKED,44,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,1,stream=0x382000;block=0x250;text=1,"[""stream=0x382000;block=0x250;text=1""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","ボス…。
あんたに届けものだ。
","MSF宛てじゃなく、俺にか？
","ああ。中身はカセットテープみたいだな。
",[],,,NOT_CHECKED,37,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,2,stream=0x382000;block=0x250;text=2,"[""stream=0x382000;block=0x250;text=2""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","MSF宛てじゃなく、俺にか？
","ああ。中身はカセットテープみたいだな。
","カセット！？
",[],,,NOT_CHECKED,58,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,3,stream=0x382000;block=0x250;text=3,"[""stream=0x382000;block=0x250;text=3""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","ああ。中身はカセットテープみたいだな。
","カセット！？
","心配するな。爆発物などの反応はない。
差出人の名前も一応ある。
“<R=EVA,エヴァ>”とだけしか書いてないが。
",[],,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,4,stream=0x382000;block=0x250;text=4,"[""stream=0x382000;block=0x250;text=4""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","カセット！？
","心配するな。爆発物などの反応はない。
差出人の名前も一応ある。
“<R=EVA,エヴァ>”とだけしか書いてないが。
","<R=EVA,エヴァ>…。
","[""<R=EVA,エヴァ>""]",,,NOT_CHECKED,152,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,5,stream=0x382000;block=0x250;text=5,"[""stream=0x382000;block=0x250;text=5""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","心配するな。爆発物などの反応はない。
差出人の名前も一応ある。
“<R=EVA,エヴァ>”とだけしか書いてないが。
","<R=EVA,エヴァ>…。
","知ってるのか？
","[""<R=EVA,エヴァ>""]",,,NOT_CHECKED,24,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,6,stream=0x382000;block=0x250;text=6,"[""stream=0x382000;block=0x250;text=6""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","<R=EVA,エヴァ>…。
","知ってるのか？
","ああ…。古い知り合いだ。
",[],,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,7,stream=0x382000;block=0x250;text=7,"[""stream=0x382000;block=0x250;text=7""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","知ってるのか？
","ああ…。古い知り合いだ。
","あんたも隅に置けないな。
昔の恋人からのラブレターか？
",[],,,NOT_CHECKED,37,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,8,stream=0x382000;block=0x250;text=8,"[""stream=0x382000;block=0x250;text=8""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","ああ…。古い知り合いだ。
","あんたも隅に置けないな。
昔の恋人からのラブレターか？
","茶化すな。ともかく預かろう。
",[],,,NOT_CHECKED,80,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,9,stream=0x382000;block=0x250;text=9,"[""stream=0x382000;block=0x250;text=9""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","あんたも隅に置けないな。
昔の恋人からのラブレターか？
","茶化すな。ともかく預かろう。
","わかった。…だが、浮気するなよ？
今がMSFにとって、大事な時期なんだからな。
",[],,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_382250,10,stream=0x382000;block=0x250;text=10,"[""stream=0x382000;block=0x250;text=10""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","茶化すな。ともかく預かろう。
","わかった。…だが、浮気するなよ？
今がMSFにとって、大事な時期なんだからな。
","なんだ、浮気って…。
",[],,,NOT_CHECKED,110,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
