file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,0,0,0;0,2,,page23:tag:entity54:key007B8259:ref0:ord0;page174:tag:entity54:key007B8259:ref0:ord0,,UT(N425G・ホワイト),UT(N425D・グレー),,UT(N425G・白色),,MATCH,24,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=COLOR_LOCALIZED; MODEL_CODE_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,1,1,1;1,2,,page23:tag:entity53:key007B8258:ref1:ord0;page174:tag:entity53:key007B8258:ref1:ord0,UT(N425G・ホワイト),UT(N425D・グレー),UT(N425L),,UT(N425D・灰色),,MATCH,21,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=COLOR_LOCALIZED; MODEL_CODE_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,2,2,2;2,2,,page23:tag:entity52:key007B8257:ref2:ord0;page174:tag:entity52:key007B8257:ref2:ord0,UT(N425D・グレー),UT(N425L),UT(N425J),,UT(N425L),,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,3,3,3;3,2,,page23:tag:entity51:key007B8256:ref3:ord0;page174:tag:entity51:key007B8256:ref3:ord0,UT(N425L),UT(N425J),UT(N425H・レッド),,UT(N425J),,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,4,4,4;4,2,,page23:tag:entity50:key007B8255:ref4:ord0;page174:tag:entity50:key007B8255:ref4:ord0,UT(N425J),UT(N425H・レッド),UT(N425H・ホワイト),,UT(N425H・红色),,MATCH,21,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=COLOR_LOCALIZED; MODEL_CODE_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,5,5,5;5,2,,page23:tag:entity49:key007B823E:ref5:ord0;page174:tag:entity49:key007B823E:ref5:ord0,UT(N425H・レッド),UT(N425H・ホワイト),UT(N425G・グレー),,UT(N425H・白色),,MATCH,24,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=COLOR_LOCALIZED; MODEL_CODE_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,6,6,6;6,2,,page23:tag:entity48:key007B823D:ref6:ord0;page174:tag:entity48:key007B823D:ref6:ord0,UT(N425H・ホワイト),UT(N425G・グレー),UT(N425F),,UT(N425G・灰色),,MATCH,21,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=COLOR_LOCALIZED; MODEL_CODE_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,7,7,7;7,2,,page23:tag:entity47:key007B823C:ref7:ord0;page174:tag:entity47:key007B823C:ref7:ord0,UT(N425G・グレー),UT(N425F),UT(N425E・ブラック),,UT(N425F),,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,8,8,8;8,2,,page23:tag:entity46:key007B823B:ref8:ord0;page174:tag:entity46:key007B823B:ref8:ord0,UT(N425F),UT(N425E・ブラック),UT(N425E・ホワイト),,UT(N425E・黑色),,MATCH,24,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=COLOR_LOCALIZED; MODEL_CODE_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,9,9,9;9,2,,page23:tag:entity45:key007B823A:ref9:ord0;page174:tag:entity45:key007B823A:ref9:ord0,UT(N425E・ブラック),UT(N425E・ホワイト),UT(N425D・ネイビーブルー),,UT(N425E・白色),,MATCH,24,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=COLOR_LOCALIZED; MODEL_CODE_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,10,10,10;10,2,,page23:tag:entity44:key007B8239:ref10:ord0;page174:tag:entity44:key007B8239:ref10:ord0,UT(N425E・ホワイト),UT(N425D・ネイビーブルー),UT(N425C),,UT(N425D・海军蓝),,MATCH,33,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=COLOR_LOCALIZED; MODEL_CODE_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,11,11,11;11,2,,page23:tag:entity43:key007B8238:ref11:ord0;page174:tag:entity43:key007B8238:ref11:ord0,UT(N425D・ネイビーブルー),UT(N425C),UT(N425B),,UT(N425C),,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,12,12,12;12,2,,page23:tag:entity42:key007B8237:ref12:ord0;page174:tag:entity42:key007B8237:ref12:ord0,UT(N425C),UT(N425B),UT(N425A),,UT(N425B),,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,13,13,13;13,2,,page23:tag:entity41:key007B8236:ref13:ord0;page174:tag:entity41:key007B8236:ref13:ord0,UT(N425B),UT(N425A),ユニクロ,,UT(N425A),,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,14,14,14;15;16;14;15;16,6,,page23:tag:entity21:key0039FE4A:ref14:ord0;page23:tag:entity20:key0039FE49:ref15:ord0;page23:tag:entity4:key0005CE7E:ref16:ord0;page174:tag:entity21:key0039FE4A:ref14:ord0;page174:tag:entity20:key0039FE49:ref15:ord0;page174:tag:entity4:key0005CE7E:ref16:ord0,UT(N425A),ユニクロ,諜報員,,优衣库,,MATCH,12,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6; review_flag=JPN_BRAND_NAME_ONLY; AUXILIARY_TROOPER_EXPANSION_REJECTED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,15,17,17;17,2,,page23:tag:entity13:key001BBFEC:ref17:ord0;page174:tag:entity13:key001BBFEC:ref17:ord0,ユニクロ,諜報員,偵察兵,,情报员,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,16,18,18;18,2,,page23:tag:entity25:key00548C8C:ref18:ord0;page174:tag:entity25:key00548C8C:ref18:ord0,諜報員,偵察兵,食糧技術者,,侦察兵,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,17,19,19;19,2,,page23:tag:entity69:key00D0F903:ref19:ord0;page174:tag:entity69:key00D0F903:ref19:ord0,偵察兵,食糧技術者,FOX部隊員,,食品技术员,,MATCH,15,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=AUXILIARY_VARIANTS_CORROBORATIVE; JPN_DIRECT
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,18,20,20;21;22;35;39;53;54;55;56;57;20;21;22;35;39;53;54;55;56;57,20,,page23:tag:entity38:key006D1814:ref20:ord0;page23:tag:entity37:key006D1813:ref21:ord0;page23:tag:entity36:key006D1812:ref22:ord0;page23:tag:entity15:key0023CAAE:ref35:ord0;page23:tag:entity68:key00C65A38:ref39:ord0;page23:tag:entity59:key0088E639:ref53:ord0;page23:tag:entity58:key0088E638:ref54:ord0;page23:tag:entity57:key0088E637:ref55:ord0;page23:tag:entity56:key0088E636:ref56:ord0;page23:tag:entity1:key00012238:ref57:ord0;page174:tag:entity38:key006D1814:ref20:ord0;page174:tag:entity37:key006D1813:ref21:ord0;page174:tag:entity36:key006D1812:ref22:ord0;page174:tag:entity15:key0023CAAE:ref35:ord0;page174:tag:entity68:key00C65A38:ref39:ord0;page174:tag:entity59:key0088E639:ref53:ord0;page174:tag:entity58:key0088E638:ref54:ord0;page174:tag:entity57:key0088E637:ref55:ord0;page174:tag:entity56:key0088E636:ref56:ord0;page174:tag:entity1:key00012238:ref57:ord0,食糧技術者,FOX部隊員,新鋭ボイスアクター,,FOX部队成员,,MATCH,12,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20; review_flag=FOX_FIXED_TERM_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,19,23,23;23,2,,page23:tag:entity40:key0074AF6C:ref23:ord0;page174:tag:entity40:key0074AF6C:ref23:ord0,FOX部隊員,新鋭ボイスアクター,エリートコマンド兵,,新锐配音演员,,MATCH,27,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_NEW/UPCOMING_VOICE_ACTOR; AUXILIARY_NEW_USED_AS_CONTEXT
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,20,24,24;24,2,,page23:tag:entity32:key006A46B2:ref24:ord0;page174:tag:entity32:key006A46B2:ref24:ord0,新鋭ボイスアクター,エリートコマンド兵,人工知能研究者,,精英突击队员,,MATCH,27,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,21,25,25;25,2,,page23:tag:entity31:key006747B0:ref25:ord0;page174:tag:entity31:key006747B0:ref25:ord0,エリートコマンド兵,人工知能研究者,音楽兵,,人工智能研究员,,MATCH,21,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_FULL_ARTIFICIAL_INTELLIGENCE_TERM_LOCALIZED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,22,26,26;26,2,,page23:tag:entity18:key002AC619:ref26:ord0;page174:tag:entity18:key002AC619:ref26:ord0,人工知能研究者,音楽兵,BIGBOSS,,音乐兵,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,23,27,27;27,2,,page23:tag:entity27:key00580DAA:ref27:ord0;page174:tag:entity27:key00580DAA:ref27:ord0,音楽兵,BIGBOSS,補給兵,,BIGBOSS,,MATCH,7,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_BIGBOSS_SPELLING_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,24,28,28;28,2,,page23:tag:entity66:key00BB6EDF:ref28:ord0;page174:tag:entity66:key00BB6EDF:ref28:ord0,BIGBOSS,補給兵,一級射手,,补给兵,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,25,29,29;29,2,,page23:tag:entity35:key006BD5C0:ref29:ord0;page174:tag:entity35:key006BD5C0:ref29:ord0,補給兵,一級射手,整備兵,,一级射手,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_GRADE_SPECIFICITY_PRESERVED; AUXILIARY_SHARPSHOOTER_USED_AS_CONTEXT
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,26,30,30;30,2,,page23:tag:entity24:key0053AC8E:ref30:ord0;page174:tag:entity24:key0053AC8E:ref30:ord0,一級射手,整備兵,産業スパイ,,维修兵,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,27,31,31;31,2,,page23:tag:entity8:key000DF26D:ref31:ord0;page174:tag:entity8:key000DF26D:ref31:ord0,整備兵,産業スパイ,(不要)バジリスク,,工业间谍,,MATCH,15,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,28,32,32;32,2,,page23:tag:entity74:key00F850E0:ref32:ord0;page174:tag:entity74:key00F850E0:ref32:ord0,産業スパイ,(不要)バジリスク,ペプシネックス,,(不要)Basilisk,,MATCH,23,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_不要_MARKER_PRESERVED; KATAKANA_NAME_RENDERED_LATIN; TERMINOLOGY_REVIEW
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,29,33,33;34;33;34,4,,page23:tag:entity73:key00F6927E:ref33:ord0;page23:tag:entity72:key00F6927D:ref34:ord0;page174:tag:entity73:key00F6927E:ref33:ord0;page174:tag:entity72:key00F6927D:ref34:ord0,(不要)バジリスク,ペプシネックス,FOX部隊員,,PEPSI NEX,,MATCH,21,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4; review_flag=JPN_BRAND_NAME_PRESERVED_AS_PEPSI_NEX; AUXILIARY_NORMAL_REJECTED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,30,36,36;36,2,,page23:tag:entity2:key0001487A:ref36:ord0;page174:tag:entity2:key0001487A:ref36:ord0,FOX部隊員,女子高生,ベテランボイスアクター,,女高中生,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_FEMALE_HIGH_SCHOOL_STUDENT_SPECIFICITY_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,31,37,37;37,2,,page23:tag:entity33:key006ADE44:ref37:ord0;page174:tag:entity33:key006ADE44:ref37:ord0,女子高生,ベテランボイスアクター,看護師,,资深配音演员,,MATCH,33,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,32,38,38;38,2,,page23:tag:entity7:key000BD2AA:ref38:ord0;page174:tag:entity7:key000BD2AA:ref38:ord0,ベテランボイスアクター,看護師,FOX部隊員,,护士,,MATCH,9,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,33,40,40;41;40;41,4,,page23:tag:entity67:key00C65A37:ref40:ord0;page23:tag:entity3:key00017195:ref41:ord0;page174:tag:entity67:key00C65A37:ref40:ord0;page174:tag:entity3:key00017195:ref41:ord0,FOX部隊員,マウンテンデュー,MSFサブリーダー,,MOUNTAIN DEW,,MATCH,24,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4; review_flag=JPN_BRAND_NAME_RENDERED_LATIN; AUXILIARY_NORMAL_REJECTED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,34,42,42;42,2,,page23:tag:entity63:key00B73990:ref42:ord0;page174:tag:entity63:key00B73990:ref42:ord0,マウンテンデュー,MSFサブリーダー,衛生兵,,MSF副队长,,MATCH,21,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_SUBLEADER_LOCALIZED_DIRECTLY; AUXILIARY_SUBCOMMANDER_NOT_FORCED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,35,43,43;43,2,,page23:tag:entity71:key00F39967:ref43:ord0;page174:tag:entity71:key00F39967:ref43:ord0,MSFサブリーダー,衛生兵,研究員,,医疗兵,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,36,45,45;45,2,,page23:tag:entity5:key00070244:ref45:ord0;page174:tag:entity5:key00070244:ref45:ord0,衛生兵,研究員,ゲームデザイナー,,研究员,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,37,46,46;46,2,,page23:tag:entity6:key000B58FC:ref46:ord0;page174:tag:entity6:key000B58FC:ref46:ord0,研究員,ゲームデザイナー,歩兵,,游戏设计师,,MATCH,24,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,38,47,47;47,2,,page23:tag:entity64:key00B94872:ref47:ord0;page174:tag:entity64:key00B94872:ref47:ord0,ゲームデザイナー,歩兵,医学者,,步兵,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,39,48,48;48,2,,page23:tag:entity62:key00B48DB9:ref48:ord0;page174:tag:entity62:key00B48DB9:ref48:ord0,歩兵,医学者,歩行兵器開発者,,医学研究员,,MATCH,9,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_MEDICAL_SCHOLAR_ROLE_LOCALIZED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,40,49,49;49,2,,page23:tag:entity17:key00255CF9:ref49:ord0;page174:tag:entity17:key00255CF9:ref49:ord0,医学者,歩行兵器開発者,ゲリラ兵,,步行兵器开发者,,MATCH,21,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_WALKING_WEAPON_WORDING_PRESERVED; AUXILIARY_BIPEDAL_NOT_FORCED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,41,51,51;51,2,,page23:tag:entity60:key008F73AA:ref51:ord0;page174:tag:entity60:key008F73AA:ref51:ord0,歩行兵器開発者,ゲリラ兵,KGBエージェント,,游击队员,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,42,52,52;52,2,,page23:tag:entity19:key0037618C:ref52:ord0;page174:tag:entity19:key0037618C:ref52:ord0,ゲリラ兵,KGBエージェント,FOX部隊員,,KGB特工,,MATCH,21,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=KGB_FIXED_ACRONYM_PRESERVED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,43,58,58;58,2,,page23:tag:entity65:key00BA5904:ref58:ord0;page174:tag:entity65:key00BA5904:ref58:ord0,FOX部隊員,技官,栄養学者,,技术官,,MATCH,6,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_TECHNICAL_OFFICER_SPECIFICITY_PRESERVED; AUXILIARY_ENGINEER_NOT_FORCED
LANG_MYOUTER_STAFF_SOLTYPE.OLANG,44,59,59;59,2,,page23:tag:entity11:key0016C8AC:ref59:ord0;page174:tag:entity11:key0016C8AC:ref59:ord0,技官,栄養学者,DORITOS/ドリトス,,营养学家,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
