file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_041A90,0,stream=0x41000;block=0xA90;text=0,"[""stream=0x41000;block=0xA90;text=0""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]",,"資材中継地はイラス東部の山麓だ。核物資はそこの<R=列車車庫,ターミナル>
で列車からトラックに積み替えられるはず。
","わかった。積み替えの隙を狙おう。
","[""<R=列車車庫,ターミナル>""]","物资中转站在Irazú东部山麓。核物资应该会在那里的<R=列车车库,TERMINAL>从列车转装到卡车上。","<R=列车车库,TERMINAL>",MATCH,163,124,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_041A90,1,stream=0x41000;block=0xA90;text=1,"[""stream=0x41000;block=0xA90;text=1""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]","資材中継地はイラス東部の山麓だ。核物資はそこの<R=列車車庫,ターミナル>
で列車からトラックに積み替えられるはず。
","わかった。積み替えの隙を狙おう。
","けど、あそこにはバシリスコがいるかもしれない…。気を
つけてくれよ、スネーク。
",[],明白了。趁他们转装的时候动手。,,MATCH,49,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_041A90,2,stream=0x41000;block=0xA90;text=2,"[""stream=0x41000;block=0xA90;text=2""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]","わかった。積み替えの隙を狙おう。
","けど、あそこにはバシリスコがいるかもしれない…。気を
つけてくれよ、スネーク。
","80フィートの歩く化け物…CIAの新兵器か…？
",[],不过，Basilisco也许会在那里……。小心点，Snake。,,MATCH,116,65,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_041A90,3,stream=0x41000;block=0xA90;text=3,"[""stream=0x41000;block=0xA90;text=3""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]","けど、あそこにはバシリスコがいるかもしれない…。気を
つけてくれよ、スネーク。
","80フィートの歩く化け物…CIAの新兵器か…？
","そうかもね。残念だけどあれは恐竜じゃない。山の上の<R=基地,ベース>
で実験してるのかもしれない。
",[],80英尺高的行走怪物……CIA的新武器吗……？,,MATCH,60,59,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_041A90,4,stream=0x41000;block=0xA90;text=4,"[""stream=0x41000;block=0xA90;text=4""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]","80フィートの歩く化け物…CIAの新兵器か…？
","そうかもね。残念だけどあれは恐竜じゃない。山の上の<R=基地,ベース>
で実験してるのかもしれない。
","歩兵と兵器をつなぐ金属の歯車、メタル・ギア…ソ連にそ
んなことを言っていた奴がいた。
","[""<R=基地,ベース>""]","也许吧。可惜那东西不是恐龙。说不定正在山顶的<R=基地,BASE>进行测试。","<R=基地,BASE>",MATCH,139,96,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_041A90,5,stream=0x41000;block=0xA90;text=5,"[""stream=0x41000;block=0xA90;text=5""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]","そうかもね。残念だけどあれは恐竜じゃない。山の上の<R=基地,ベース>
で実験してるのかもしれない。
","歩兵と兵器をつなぐ金属の歯車、メタル・ギア…ソ連にそ
んなことを言っていた奴がいた。
","金属の歯車…。
",[],连接步兵与兵器的金属齿轮，Metal Gear……我在苏联遇到过一个这么说的人。,,MATCH,125,100,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_041A90,6,stream=0x41000;block=0xA90;text=6,"[""stream=0x41000;block=0xA90;text=6""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]","歩兵と兵器をつなぐ金属の歯車、メタル・ギア…ソ連にそ
んなことを言っていた奴がいた。
","金属の歯車…。
","嫌な予感がする。ここで行われていることと何か関係があ
るのかもしれん。
",[],金属齿轮……。,,MATCH,22,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_041A90,7,stream=0x41000;block=0xA90;text=7,"[""stream=0x41000;block=0xA90;text=7""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]","金属の歯車…。
","嫌な予感がする。ここで行われていることと何か関係があ
るのかもしれん。
","まさか、核兵器と？
",[],我有种不祥的预感。也许它和这里正在发生的事情有什么联系。,,MATCH,104,84,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_041A90,8,stream=0x41000;block=0xA90;text=8,"[""stream=0x41000;block=0xA90;text=8""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]","嫌な予感がする。ここで行われていることと何か関係があ
るのかもしれん。
","まさか、核兵器と？
","…考えていても仕方ない。そこにそいつがいたら作戦を練
り直すだけだ。斥候がいない以上、自分で行くしかない。
",[],难道……和核武器有关？,,MATCH,28,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_041A90,9,stream=0x41000;block=0xA90;text=9,"[""stream=0x41000;block=0xA90;text=9""]",1,BRIEFING FILES,"[""stream=0x41000;block=0xA90;block_file=0x41A90;text_base=0x41ADC;capacity=1024""]","まさか、核兵器と？
","…考えていても仕方ない。そこにそいつがいたら作戦を練
り直すだけだ。斥候がいない以上、自分で行くしかない。
","気をつけてくれよ、スネーク…。
",[],……光想也没用。如果那家伙真在那里，只要重新制定作战计划。既然没有侦察兵，就只能亲自去。,,MATCH,158,132,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
