file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_MISSION_BLOCK_375000,0,stream=0x375000;block=0x0;text=0,"[""stream=0x375000;block=0x0;text=0""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]",,"スネーク…。
","<R=あの女,ストレンジラブ>に、まんまとやられた。
",[],,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Snake…,"[""Snake…""]","Snake...
","[""Snake...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x375000; ENG blocks=0x38C3B0; ENG source rows=0x38C3B0#0; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_375000,1,stream=0x375000;block=0x0;text=1,"[""stream=0x375000;block=0x0;text=1""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]","スネーク…。
","<R=あの女,ストレンジラブ>に、まんまとやられた。
","気にするな。まだ挽回できる。
","[""<R=あの女,ストレンジラブ>""]",,,NOT_CHECKED,69,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,她把我玩弄于股掌之间…,"[""她把我玩弄于股掌之间…""]","She played me like a piano...
","[""She played me like a piano...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x375000; ENG blocks=0x38C3B0; ENG source rows=0x38C3B0#1; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_375000,2,stream=0x375000;block=0x0;text=2,"[""stream=0x375000;block=0x0;text=2""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]","<R=あの女,ストレンジラブ>に、まんまとやられた。
","気にするな。まだ挽回できる。
","…あんたにその意志があればだが。
",[],,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,别在意了。你会讨回来的。,"[""别在意了。你会讨回来的。""]","Forget about it. You'll get 'em back.
","[""Forget about it. You'll get 'em back.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x375000; ENG blocks=0x38C3B0; ENG source rows=0x38C3B0#2; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_375000,3,stream=0x375000;block=0x0;text=3,"[""stream=0x375000;block=0x0;text=3""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]","気にするな。まだ挽回できる。
","…あんたにその意志があればだが。
","俺の意志は決まっている。
",[],,,NOT_CHECKED,49,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,前提是，你得有去做这件事的意志。,"[""前提是，你得有去做这件事的意志。""]","That is, as long as you've got the will to
do it.
","[""That is, as long as you've got the will to\ndo it.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x375000; ENG blocks=0x38C3B0; ENG source rows=0x38C3B0#3; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_375000,4,stream=0x375000;block=0x0;text=4,"[""stream=0x375000;block=0x0;text=4""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]","…あんたにその意志があればだが。
","俺の意志は決まっている。
","そうか…。
",[],,,NOT_CHECKED,37,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,我不会放弃的。,"[""我不会放弃的。""]","I'm not giving up.
","[""I'm not giving up.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x375000; ENG blocks=0x38C3B0; ENG source rows=0x38C3B0#4; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_375000,5,stream=0x375000;block=0x0;text=5,"[""stream=0x375000;block=0x0;text=5""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]","俺の意志は決まっている。
","そうか…。
","ヒューイに位置を確認した。
ピースウォーカーの最終実験基地は、
その<R=研究施設,ラボ>から北に15マイル。
",[],,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,好吧，那…,"[""好吧，那…""]","All right, then...
","[""All right, then...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x375000; ENG blocks=0x38C3B0; ENG source rows=0x38C3B0#5; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_375000,6,stream=0x375000;block=0x0;text=6,"[""stream=0x375000;block=0x0;text=6""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]","そうか…。
","ヒューイに位置を確認した。
ピースウォーカーの最終実験基地は、
その<R=研究施設,ラボ>から北に15マイル。
","岩石採掘場に偽装している地下基地だ。
そこに潜入して、今度こそAIを破壊すればいい。
","[""<R=研究施設,ラボ>""]",,,NOT_CHECKED,148,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"和平行者的最终测试基地位于
那个实验室以北15英里处。","[""和平行者的最终测试基地位于\n那个实验室以北15英里处。""]","The final testing base for Peace Walker is
15 miles to the north of that lab.
","[""The final testing base for Peace Walker is\n15 miles to the north of that lab.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x375000; ENG blocks=0x38C3B0; ENG source rows=0x38C3B0#7; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_375000,7,stream=0x375000;block=0x0;text=7,"[""stream=0x375000;block=0x0;text=7""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]","ヒューイに位置を確認した。
ピースウォーカーの最終実験基地は、
その<R=研究施設,ラボ>から北に15マイル。
","岩石採掘場に偽装している地下基地だ。
そこに潜入して、今度こそAIを破壊すればいい。
","わかった。
",[],,,NOT_CHECKED,121,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"那是一处伪装成采石场的地下设施。你只需要潜入进去，
这次彻底摧毁那个AI。","[""那是一处伪装成采石场的地下设施。你只需要潜入进去，\n这次彻底摧毁那个AI。""]","It's an underground facility disguised as a
rock quarry.
All you need to do is sneak in and
destroy the AI for good this time.
","[""It's an underground facility disguised as a\nrock quarry.\nAll you need to do is sneak in and\ndestroy the AI for good this time.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x375000; ENG blocks=0x38C3B0,0x38C3B0; ENG source rows=0x38C3B0#8,0x38C3B0#9; block_semantic_score=1.000000."
BRIEFING_MISSION_BLOCK_375000,8,stream=0x375000;block=0x0;text=8,"[""stream=0x375000;block=0x0;text=8""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]","岩石採掘場に偽装している地下基地だ。
そこに潜入して、今度こそAIを破壊すればいい。
","わかった。
","スネーク…。
本当に<R=ママルポッド,あれ>を壊せるか？
",[],,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,没错。,"[""没错。""]","Right.
","[""Right.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x375000; ENG blocks=0x38C3B0; ENG source rows=0x38C3B0#10; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_375000,9,stream=0x375000;block=0x0;text=9,"[""stream=0x375000;block=0x0;text=9""]",1,d3220_m0240_mrd,"[""stream=0x375000;block=0x0;block_file=0x375000;text_base=0x375104;capacity=3728""]","わかった。
","スネーク…。
本当に<R=ママルポッド,あれ>を壊せるか？
","ああ。
","[""<R=ママルポッド,あれ>""]",,,NOT_CHECKED,76,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Snake，你能摧毁它，对吧？,"[""Snake，你能摧毁它，对吧？""]","Snake, you can destroy it, right?
","[""Snake, you can destroy it, right?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x375000; ENG blocks=0x38C3B0; ENG source rows=0x38C3B0#11; block_semantic_score=1.000000.
