file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_06A5D0,0,stream=0x6A000;block=0x5D0;text=0,"[""stream=0x6A000;block=0x5D0;text=0""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]",,"ピースウォーカーになぜ自爆機能が必要なんだ？
","スネーク、君も見たろう？　ピースウォーカーの頭部にあ
った、あの禍々しい球体を。
",[],为什么Peace Walker需要自爆功能？,,MATCH,67,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_06A5D0,1,stream=0x6A000;block=0x5D0;text=1,"[""stream=0x6A000;block=0x5D0;text=1""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]","ピースウォーカーになぜ自爆機能が必要なんだ？
","スネーク、君も見たろう？　ピースウォーカーの頭部にあ
った、あの禍々しい球体を。
","ああ。
",[],Snake，你也看见了吧？Peace Walker头部那个不祥的球体。,,MATCH,119,71,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_06A5D0,2,stream=0x6A000;block=0x5D0;text=2,"[""stream=0x6A000;block=0x5D0;text=2""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]","スネーク、君も見たろう？　ピースウォーカーの頭部にあ
った、あの禍々しい球体を。
","ああ。
","あれは水爆なんだ。
",[],嗯。,,MATCH,10,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_06A5D0,3,stream=0x6A000;block=0x5D0;text=3,"[""stream=0x6A000;block=0x5D0;text=3""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]","ああ。
","あれは水爆なんだ。
","水爆！？　あの巨大なボールが、水爆だって言うのか。い
ったい、どれだけの破壊力が…。
",[],那是一枚氢弹。,,MATCH,28,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_06A5D0,4,stream=0x6A000;block=0x5D0;text=4,"[""stream=0x6A000;block=0x5D0;text=4""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]","あれは水爆なんだ。
","水爆！？　あの巨大なボールが、水爆だって言うのか。い
ったい、どれだけの破壊力が…。
","馬鹿馬鹿しいだろう？　オーバーキルも甚だしい。戦略的
な価値を考えるなら、もっと小さな爆弾で十分だ。
",[],氢弹！？你是说那个巨大的球体就是氢弹？到底有多大的破坏力……。,,MATCH,125,93,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_06A5D0,5,stream=0x6A000;block=0x5D0;text=5,"[""stream=0x6A000;block=0x5D0;text=5""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]","水爆！？　あの巨大なボールが、水爆だって言うのか。い
ったい、どれだけの破壊力が…。
","馬鹿馬鹿しいだろう？　オーバーキルも甚だしい。戦略的
な価値を考えるなら、もっと小さな爆弾で十分だ。
","ソ連の“ツァーリ・ボンバ”に対抗したい、というだけの
爆弾と言っていい。
",[],"很荒唐吧？过度杀伤也该有个限度。
若考虑战略价值，更小的炸弹就足够了。",,MATCH,149,103,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_06A5D0,6,stream=0x6A000;block=0x5D0;text=6,"[""stream=0x6A000;block=0x5D0;text=6""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]","馬鹿馬鹿しいだろう？　オーバーキルも甚だしい。戦略的
な価値を考えるなら、もっと小さな爆弾で十分だ。
","ソ連の“ツァーリ・ボンバ”に対抗したい、というだけの
爆弾と言っていい。
","お互い競争の歯止めが利かなくなったんだな。
",[],可以说，那只不过是为了和苏联的“沙皇炸弹”抗衡而造的炸弹。,,MATCH,107,87,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_06A5D0,7,stream=0x6A000;block=0x5D0;text=7,"[""stream=0x6A000;block=0x5D0;text=7""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]","ソ連の“ツァーリ・ボンバ”に対抗したい、というだけの
爆弾と言っていい。
","お互い競争の歯止めが利かなくなったんだな。
","進化の袋小路…サーベルタイガー状態さ。
",[],双方的竞争都已经刹不住车了。,,MATCH,64,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_06A5D0,8,stream=0x6A000;block=0x5D0;text=8,"[""stream=0x6A000;block=0x5D0;text=8""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]","お互い競争の歯止めが利かなくなったんだな。
","進化の袋小路…サーベルタイガー状態さ。
","もちろん、そんな大きな爆弾はミサイルに積めない。爆撃
機も無理だ。そこで、ピースウォーカーの出番というわけ
だ。
",[],进化的死胡同……就像剑齿虎。,,MATCH,58,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_06A5D0,9,stream=0x6A000;block=0x5D0;text=9,"[""stream=0x6A000;block=0x5D0;text=9""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0x5D0;block_file=0x6A5D0;text_base=0x6A61C;capacity=968""]","進化の袋小路…サーベルタイガー状態さ。
","もちろん、そんな大きな爆弾はミサイルに積めない。爆撃
機も無理だ。そこで、ピースウォーカーの出番というわけ
だ。
","敵地まで歩いて行き、水爆を抱えて自爆、か。
",[],"当然，那么大的炸弹装不上导弹，轰炸机也载不了。
所以才轮到Peace Walker出场。",,MATCH,165,106,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
