file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_05B2E0,0,stream=0x5B000;block=0x2E0;text=0,"[""stream=0x5B000;block=0x2E0;text=0""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]",,"セシール、君は録音するときに何とかって機材を使ってる
と言ってたな。その、カセット…。
","カセットデンスケ？
",[],,,NOT_CHECKED,128,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"Cécile，你之前说用来做那些
录音的机器，是什么来着？","[""Cécile，你之前说用来做那些\n录音的机器，是什么来着？""]","Cécile, what's that machine you said you use to
make those recordings of yours?
","[""Cécile, what's that machine you said you use to\nmake those recordings of yours?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5B2E0; ENG blocks=0xE8030; ENG source rows=0xE8030#0; block_semantic_score=0.139469.
BRIEFING_FILES_BLOCK_05B2E0,1,stream=0x5B000;block=0x2E0;text=1,"[""stream=0x5B000;block=0x2E0;text=1""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]","セシール、君は録音するときに何とかって機材を使ってる
と言ってたな。その、カセット…。
","カセットデンスケ？
","そう、それだ。一体そりゃ何だ？
",[],,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,一种盒式录音机…差不多那种东西。,"[""一种盒式录音机…差不多那种东西。""]","A cassette... something or other.
","[""A cassette... something or other.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5B2E0; ENG blocks=0xE8030; ENG source rows=0xE8030#1; block_semantic_score=0.139469.
BRIEFING_FILES_BLOCK_05B2E0,2,stream=0x5B000;block=0x2E0;text=2,"[""stream=0x5B000;block=0x2E0;text=2""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]","カセットデンスケ？
","そう、それだ。一体そりゃ何だ？
","去年、日本のソニーっていう会社が発売した<R=可搬型,ポータブル>録音機
よ。
",[],,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,对，就是那个。那玩意儿到底是什么？,"[""对，就是那个。那玩意儿到底是什么？""]","Yeah, that. What is that thing, anyway?
","[""Yeah, that. What is that thing, anyway?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5B2E0; ENG blocks=0xE8030; ENG source rows=0xE8030#3; block_semantic_score=0.139469.
BRIEFING_FILES_BLOCK_05B2E0,3,stream=0x5B000;block=0x2E0;text=3,"[""stream=0x5B000;block=0x2E0;text=3""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]","そう、それだ。一体そりゃ何だ？
","去年、日本のソニーっていう会社が発売した<R=可搬型,ポータブル>録音機
よ。
","コンパクトカセットを使うから、今までのオープンリール
機より、だいぶ軽いの。
","[""<R=可搬型,ポータブル>""]",,,NOT_CHECKED,106,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"是日本索尼公司去年推出的
一种便携式录音设备。","[""是日本索尼公司去年推出的\n一种便携式录音设备。""]","A portable recording device released last year by a
Japanese company: Sony.
","[""A portable recording device released last year by a\nJapanese company: Sony.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5B2E0; ENG blocks=0xE8030; ENG source rows=0xE8030#4; block_semantic_score=0.139469.
BRIEFING_FILES_BLOCK_05B2E0,4,stream=0x5B000;block=0x2E0;text=4,"[""stream=0x5B000;block=0x2E0;text=4""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]","去年、日本のソニーっていう会社が発売した<R=可搬型,ポータブル>録音機
よ。
","コンパクトカセットを使うから、今までのオープンリール
機より、だいぶ軽いの。
","それでも5kg位はあるから持ち運ぶとダイエットにちょう
どいいのよ！
",[],,,NOT_CHECKED,113,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"它用的是盒式磁带，
所以比开盘式录音机轻得多。","[""它用的是盒式磁带，\n所以比开盘式录音机轻得多。""]","It uses compact cassettes, making it far lighter
than open reel machines.
","[""It uses compact cassettes, making it far lighter\nthan open reel machines.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5B2E0; ENG blocks=0xE8030; ENG source rows=0xE8030#5; block_semantic_score=0.139469.
BRIEFING_FILES_BLOCK_05B2E0,5,stream=0x5B000;block=0x2E0;text=5,"[""stream=0x5B000;block=0x2E0;text=5""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]","コンパクトカセットを使うから、今までのオープンリール
機より、だいぶ軽いの。
","それでも5kg位はあるから持ち運ぶとダイエットにちょう
どいいのよ！
","ほう。
",[],,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"虽然还是有5公斤重，
但这点锻炼量累不死我！","[""虽然还是有5公斤重，\n但这点锻炼量累不死我！""]","It still weighs 5 kilograms, but the exercise won't
kill me!
","[""It still weighs 5 kilograms, but the exercise won't\nkill me!\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5B2E0; ENG blocks=0xE8030; ENG source rows=0xE8030#6; block_semantic_score=0.139469.
BRIEFING_FILES_BLOCK_05B2E0,6,stream=0x5B000;block=0x2E0;text=6,"[""stream=0x5B000;block=0x2E0;text=6""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]","それでも5kg位はあるから持ち運ぶとダイエットにちょう
どいいのよ！
","ほう。
","使い勝手もいいの。全部のボタンに浮き彫りがしてあって、
手元を見なくても操作できる。
",[],,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,哈。,"[""哈。""]","Ha.
","[""Ha.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5B2E0; ENG blocks=0xE8030; ENG source rows=0xE8030#7; block_semantic_score=0.139469.
BRIEFING_FILES_BLOCK_05B2E0,7,stream=0x5B000;block=0x2E0;text=7,"[""stream=0x5B000;block=0x2E0;text=7""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]","ほう。
","使い勝手もいいの。全部のボタンに浮き彫りがしてあって、
手元を見なくても操作できる。
","ちょっと目を離した隙に珍しい鳥を見失ったら、後悔して
もしきれないでしょ。
",[],,,NOT_CHECKED,125,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,不用看也能操作。,"[""不用看也能操作。""]","allowing you to operate it without looking at it.
","[""allowing you to operate it without looking at it.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5B2E0; ENG blocks=0xE8030; ENG source rows=0xE8030#10; block_semantic_score=0.139469.
BRIEFING_FILES_BLOCK_05B2E0,8,stream=0x5B000;block=0x2E0;text=8,"[""stream=0x5B000;block=0x2E0;text=8""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]","使い勝手もいいの。全部のボタンに浮き彫りがしてあって、
手元を見なくても操作できる。
","ちょっと目を離した隙に珍しい鳥を見失ったら、後悔して
もしきれないでしょ。
","違いない。しかし、どうしてそんな名前なんだ？　まるで
日本人の名前みたいな…。
",[],,,NOT_CHECKED,110,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"你能想象吗？就因为眨了一下眼，
就错过了一生一次的拍摄机会。那也太要命了。","[""你能想象吗？就因为眨了一下眼，\n就错过了一生一次的拍摄机会。那也太要命了。""]","Can you imagine missing the shot of a lifetime
simply because you'd blinked?
That would be devastating.
","[""Can you imagine missing the shot of a lifetime\nsimply because you'd blinked?\nThat would be devastating.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x5B2E0; ENG blocks=0xE8030,0xE8030; ENG source rows=0xE8030#11,0xE8030#12; block_semantic_score=0.139469."
BRIEFING_FILES_BLOCK_05B2E0,9,stream=0x5B000;block=0x2E0;text=9,"[""stream=0x5B000;block=0x2E0;text=9""]",1,BRIEFING FILES,"[""stream=0x5B000;block=0x2E0;block_file=0x5B2E0;text_base=0x5B37C;capacity=2560""]","ちょっと目を離した隙に珍しい鳥を見失ったら、後悔して
もしきれないでしょ。
","違いない。しかし、どうしてそんな名前なんだ？　まるで
日本人の名前みたいな…。
","そいつは俺から説明しよう。
",[],,,NOT_CHECKED,116,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"不过Densuke这个名字是怎么来的？
听起来像个日本名字。","[""不过Densuke这个名字是怎么来的？\n听起来像个日本名字。""]","But where'd they come up with densuke? It sounds
like a Japanese name.
","[""But where'd they come up with densuke? It sounds\nlike a Japanese name.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5B2E0; ENG blocks=0xE8030; ENG source rows=0xE8030#13; block_semantic_score=0.139469.
