file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
00CB1FB7,0,4,4,1,,page:tag:entity2:key00511DE8:ref4:ord4,,Xbox LIVE パーティー セッションへの招待,Xbox LIVE パーティー セッションへの招待：,,Xbox LIVE派对会话邀请,,MATCH,53,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=JPN_UI_LABEL_LOCALIZED; AUX_ENGLISH_ONLY
00CB1FB7,1,10,10,1,,page:tag:entity1:key002DAA9F:ref10:ord4,Xbox LIVE パーティー セッションへの招待,Xbox LIVE パーティー セッションへの招待：,フレンド招待,,Xbox LIVE派对会话邀请：,,MATCH,56,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=JPN_UI_LABEL_LOCALIZED; AUX_ENGLISH_ONLY
00CB1FB7,2,16,16,1,,page:tag:entity3:key005CE75E:ref16:ord4,Xbox LIVE パーティー セッションへの招待：,フレンド招待,フレンド招待：,,邀请好友,,MATCH,18,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=JPN_UI_LABEL_LOCALIZED; AUX_ENGLISH_ONLY
00CB1FB7,3,22,22,1,,page:tag:entity6:key00C096B6:ref22:ord4,フレンド招待,フレンド招待：,"ルームが満員のため
参加することができませんでした。",,邀请好友：,,MATCH,21,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00CB1FB7,4,28,28,1,,page:tag:entity4:key006D3626:ref28:ord4,フレンド招待：,"ルームが満員のため
参加することができませんでした。","HOSTに接続できなかったため、
参加することができませんでした。",,房间已满，无法加入游戏。,,MATCH,76,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00CB1FB7,5,34,34,1,,page:tag:entity0:key0009DCB2:ref34:ord4,"ルームが満員のため
参加することができませんでした。","HOSTに接続できなかったため、
参加することができませんでした。","接続に失敗したため、
参加することができませんでした。",,无法连接到HOST，因此无法加入游戏。,,MATCH,89,49,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00CB1FB7,6,40,40,1,,page:tag:entity5:key007927DC:ref40:ord4,"HOSTに接続できなかったため、
参加することができませんでした。","接続に失敗したため、
参加することができませんでした。",PRIVATE,,连接失败，因此无法加入游戏。,,MATCH,79,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00CB1FB7,7,46,46;274,2,,page:tag:entity86:key00B86524:ref46:ord4;page:tag:entity87:key00BC236D:ref274:ord4,"接続に失敗したため、
参加することができませんでした。",PRIVATE,GLOBAL,,私人,,MATCH,7,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2
00CB1FB7,8,52,52;454,2,,page:tag:entity69:key0080FB5B:ref52:ord4;page:tag:entity104:key00E890FE:ref454:ord4,PRIVATE,GLOBAL,FRIENDS ONLY,,全球,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2
00CB1FB7,9,58,58;472,2,,page:tag:entity106:key00ECC746:ref58:ord4;page:tag:entity68:key008067D6:ref472:ord4,GLOBAL,FRIENDS ONLY,DOMESTIC,,仅限好友,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2
