file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D147608,0,0,0;0;0,3,,page4:tag13:entity0:key00C0CE51:ref0:ord0;page10:tag10:entity0:key00C0CE51:ref0:ord0;page1847:tag13:entity0:key00C0CE51:ref0:ord0,,LOADING POINT,MSF基地,,LOADING POINT,,MATCH,13,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=FIXED_JPN_LOADING_POINT_LABEL_PRESERVED
5D147608,1,1,1;1;1,3,,page4:tag13:entity1:key0008F1C2:ref1:ord0;page10:tag10:entity1:key0008F1C2:ref1:ord0;page1847:tag13:entity1:key0008F1C2:ref1:ord0,LOADING POINT,MSF基地,NEXT AREA [ MSF BASE ],,MSF基地,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_LOCATION_SEMANTICS_LOCALIZED
5D147608,2,2,2;2;2,3,,page4:tag13:entity2:key0012A0D1:ref2:ord0;page10:tag10:entity2:key0012A0D1:ref2:ord0;page1847:tag13:entity2:key0012A0D1:ref2:ord0,MSF基地,NEXT AREA [ MSF BASE ],プラヤ・デル・アルバ,,NEXT AREA [ MSF BASE ],,MATCH,22,22,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=FIXED_JPN_NEXT_AREA_LABEL_PRESERVED_EXACTLY
5D147608,3,3,3;3;3,3,,page4:tag13:entity3:key0008F1C2:ref3:ord0;page10:tag10:entity3:key0008F1C2:ref3:ord0;page1847:tag13:entity3:key0008F1C2:ref3:ord0,NEXT AREA [ MSF BASE ],プラヤ・デル・アルバ,NEXT AREA [ PLAYA DEL ALBA ],,破晓海滩,,MATCH,30,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_LOCATION_SEMANTICS_LOCALIZED
5D147608,4,4,4;4;4,3,,page4:tag13:entity4:key0012A0D1:ref4:ord0;page10:tag10:entity4:key0012A0D1:ref4:ord0;page1847:tag13:entity4:key0012A0D1:ref4:ord0,プラヤ・デル・アルバ,NEXT AREA [ PLAYA DEL ALBA ],ボスケ・デル・アルバ,,NEXT AREA [ PLAYA DEL ALBA ],,MATCH,28,28,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=FIXED_JPN_NEXT_AREA_LABEL_PRESERVED_EXACTLY
5D147608,5,5,5;5;5,3,,page4:tag13:entity5:key0008F1C2:ref5:ord0;page10:tag10:entity5:key0008F1C2:ref5:ord0;page1847:tag13:entity5:key0008F1C2:ref5:ord0,NEXT AREA [ PLAYA DEL ALBA ],ボスケ・デル・アルバ,NEXT AREA [ BOSQUE DEL ALBA ],,破晓森林,,MATCH,30,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_LOCATION_SEMANTICS_LOCALIZED
5D147608,6,6,6;6;6,3,,page4:tag13:entity6:key0012A0D1:ref6:ord0;page10:tag10:entity6:key0012A0D1:ref6:ord0;page1847:tag13:entity6:key0012A0D1:ref6:ord0,ボスケ・デル・アルバ,NEXT AREA [ BOSQUE DEL ALBA ],プエルト・デル・アルバ,,NEXT AREA [ BOSQUE DEL ALBA ],,MATCH,29,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=FIXED_JPN_NEXT_AREA_LABEL_PRESERVED_EXACTLY
5D147608,7,7,7;7;7,3,,page4:tag13:entity7:key0008F1C2:ref7:ord0;page10:tag10:entity7:key0008F1C2:ref7:ord0;page1847:tag13:entity7:key0008F1C2:ref7:ord0,NEXT AREA [ BOSQUE DEL ALBA ],プエルト・デル・アルバ,NEXT AREA [ PUERTO DEL ALBA ],,破晓港,,MATCH,33,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_LOCATION_SEMANTICS_LOCALIZED
5D147608,8,8,8;8;8,3,,page4:tag13:entity8:key0012A0D1:ref8:ord0;page10:tag10:entity8:key0012A0D1:ref8:ord0;page1847:tag13:entity8:key0012A0D1:ref8:ord0,プエルト・デル・アルバ,NEXT AREA [ PUERTO DEL ALBA ],エル・セナガル / ジャングル,,NEXT AREA [ PUERTO DEL ALBA ],,MATCH,29,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=FIXED_JPN_NEXT_AREA_LABEL_PRESERVED_EXACTLY
5D147608,9,9,9;9;9,3,,page4:tag13:entity9:key0008F1C2:ref9:ord0;page10:tag10:entity9:key0008F1C2:ref9:ord0;page1847:tag13:entity9:key0008F1C2:ref9:ord0,NEXT AREA [ PUERTO DEL ALBA ],エル・セナガル / ジャングル,NEXT AREA [ EL CENAGAL: JUNGLE ],,泥沼 / 丛林,,MATCH,39,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_LOCATION_SEMANTICS_LOCALIZED; SOURCE_ASCII_SPACE_SLASH_SPACE_STRUCTURE_PRESERVED
