file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_048EE0,0,stream=0x48000;block=0xEE0;text=0,"[""stream=0x48000;block=0xEE0;text=0""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]",,"<R=ZEKE,ジーク>が起動する前、パスが<R=ZEKE,ジーク>を壊そうとしているの
を目撃したそうだな。
","っ…。
","[""<R=ZEKE,ジーク>"", ""<R=ZEKE,ジーク>""]",,,NOT_CHECKED,128,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_048EE0,1,stream=0x48000;block=0xEE0;text=1,"[""stream=0x48000;block=0xEE0;text=1""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","<R=ZEKE,ジーク>が起動する前、パスが<R=ZEKE,ジーク>を壊そうとしているの
を目撃したそうだな。
","っ…。
","俺が…。
",[],,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_048EE0,2,stream=0x48000;block=0xEE0;text=2,"[""stream=0x48000;block=0xEE0;text=2""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","っ…。
","俺が…。
","俺が止めるべきだったんだ…。
",[],,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_048EE0,3,stream=0x48000;block=0xEE0;text=3,"[""stream=0x48000;block=0xEE0;text=3""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","俺が…。
","俺が止めるべきだったんだ…。
","あのとき俺が、逃げたりしなければ…。
",[],,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_048EE0,4,stream=0x48000;block=0xEE0;text=4,"[""stream=0x48000;block=0xEE0;text=4""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","俺が止めるべきだったんだ…。
","あのとき俺が、逃げたりしなければ…。
","乗り込む前なら拘束できたはずだ…。<R=ZEKE,ジーク>に乗り込ませ
ずに俺が止めれば、彼女は死なずに済んだ…。
",[],,,NOT_CHECKED,55,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_048EE0,5,stream=0x48000;block=0xEE0;text=5,"[""stream=0x48000;block=0xEE0;text=5""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","あのとき俺が、逃げたりしなければ…。
","乗り込む前なら拘束できたはずだ…。<R=ZEKE,ジーク>に乗り込ませ
ずに俺が止めれば、彼女は死なずに済んだ…。
","パスは銃を持っていた。専門的な訓練も受けていただろう。
","[""<R=ZEKE,ジーク>""]",,,NOT_CHECKED,152,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_048EE0,6,stream=0x48000;block=0xEE0;text=6,"[""stream=0x48000;block=0xEE0;text=6""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","乗り込む前なら拘束できたはずだ…。<R=ZEKE,ジーク>に乗り込ませ
ずに俺が止めれば、彼女は死なずに済んだ…。
","パスは銃を持っていた。専門的な訓練も受けていただろう。
","自分を責めるな。丸腰のお前には止められなかったはずだ。
",[],,,NOT_CHECKED,82,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_048EE0,7,stream=0x48000;block=0xEE0;text=7,"[""stream=0x48000;block=0xEE0;text=7""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","パスは銃を持っていた。専門的な訓練も受けていただろう。
","自分を責めるな。丸腰のお前には止められなかったはずだ。
","でも、話だけでもしてたら…。
",[],,,NOT_CHECKED,82,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_048EE0,8,stream=0x48000;block=0xEE0;text=8,"[""stream=0x48000;block=0xEE0;text=8""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","自分を責めるな。丸腰のお前には止められなかったはずだ。
","でも、話だけでもしてたら…。
","俺が誰にも言わないって約束してたら、パスはあんな行動
に出なかったはずだ…。
",[],,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_048EE0,9,stream=0x48000;block=0xEE0;text=9,"[""stream=0x48000;block=0xEE0;text=9""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","でも、話だけでもしてたら…。
","俺が誰にも言わないって約束してたら、パスはあんな行動
に出なかったはずだ…。
","なのに俺は、パスが工作員だったのがショックで、そのま
ま逃げてしまった…。
",[],,,NOT_CHECKED,113,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
