file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C79F3ED,0,,,,,record0:segment0:timing37-98,,"ここは<R=近接戦闘訓練施設,キルハウス>だ",開発した武器の試射はここでするといい,"<R=近接戦闘訓練施設,キルハウス>","这里是<R=近身战斗训练设施,KILL HOUSE>。","<R=近身战斗训练设施,KILL HOUSE>",MATCH,56,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,1,,,,,record0:segment1:timing104-167,"ここは<R=近接戦闘訓練施設,キルハウス>だ",開発した武器の試射はここでするといい,タイムアタックも出来る\n腕試しにどうだ？,,新开发的武器可以在这里试射。,,MATCH,54,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,2,,,,,record0:segment2:timing0-0,開発した武器の試射はここでするといい,タイムアタックも出来る\n腕試しにどうだ？,"訓練用に<R=　隠　顕　,ポップアップ>式の<R=　標　的　,ターゲット>を用意した",,也可以进行计时挑战。\n要不要试试身手？,,MATCH,59,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,3,,,,,record1:segment0:timing0-0,タイムアタックも出来る\n腕試しにどうだ？,"訓練用に<R=　隠　顕　,ポップアップ>式の<R=　標　的　,ターゲット>を用意した","<R=近接戦闘訓練施設,キルハウス>は複数のブースから構成されている","<R=　隠　顕　,ポップアップ> | <R=　標　的　,ターゲット>","为训练准备了<R=弹出式,POP-UP>的<R=目标,TARGET>。","<R=弹出式,POP-UP> | <R=目标,TARGET>",MATCH,106,61,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,4,,,,,record2:segment0:timing69-191,"訓練用に<R=　隠　顕　,ポップアップ>式の<R=　標　的　,ターゲット>を用意した","<R=近接戦闘訓練施設,キルハウス>は複数のブースから構成されている","ブース毎に<R=　標　的　,ターゲット>までの距離が異なる\n状況に応じて武器を切り替える必要があるぞ","<R=近接戦闘訓練施設,キルハウス>","<R=近身战斗训练设施,KILL HOUSE>由多个训练间组成。","<R=近身战斗训练设施,KILL HOUSE>",MATCH,92,66,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,5,,,,,record2:segment1:timing0-0,"<R=近接戦闘訓練施設,キルハウス>は複数のブースから構成されている","ブース毎に<R=　標　的　,ターゲット>までの距離が異なる\n状況に応じて武器を切り替える必要があるぞ",ここは短射程ブースだ,"<R=　標　的　,ターゲット>","每个训练间到<R=目标,TARGET>的距离不同。\n要根据情况切换武器。","<R=目标,TARGET>",MATCH,139,85,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,6,,,,,record3:segment0:timing47-144,"ブース毎に<R=　標　的　,ターゲット>までの距離が異なる\n状況に応じて武器を切り替える必要があるぞ",ここは短射程ブースだ,ハンドガンやショットガンといった\n射程が短い武器のトレーニングに使ってくれ,,这里是近距离训练间。,,MATCH,30,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,7,,,,,record3:segment1:timing0-0,ここは短射程ブースだ,ハンドガンやショットガンといった\n射程が短い武器のトレーニングに使ってくれ,ここは中射程ブース,,用来训练手枪、霰弹枪等\n短射程武器。,,MATCH,110,53,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,8,,,,,record4:segment0:timing43-153,ハンドガンやショットガンといった\n射程が短い武器のトレーニングに使ってくれ,ここは中射程ブース,中射程の武器 アサルトライフルや重機関銃なんかの\n射撃訓練にちょうどいい,,这里是中程训练间。,,MATCH,27,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,9,,,,,record4:segment1:timing0-0,ここは中射程ブース,中射程の武器 アサルトライフルや重機関銃なんかの\n射撃訓練にちょうどいい,ここは長射程ブースだ,,很适合突击步枪、重机枪等\n中射程武器的射击训练。,,MATCH,105,71,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,10,,,,,record5:segment0:timing47-141,中射程の武器 アサルトライフルや重機関銃なんかの\n射撃訓練にちょうどいい,ここは長射程ブースだ,スナイパーライフルやミサイルのような\n射程が長い武器の実射に使う,,这里是远距离训练间。,,MATCH,30,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C79F3ED,11,,,,,record5:segment1:timing0-0,ここは長射程ブースだ,スナイパーライフルやミサイルのような\n射程が長い武器の実射に使う,"ここの<R=　標　的　,ターゲット>は\n武器の<R=照準線,LOS>に乗らないよう配置されている",,用来实射狙击步枪、导弹等\n远射程武器。,,MATCH,95,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
