character,codepoint,unicode_name,production_occurrences,loading_text_count,record_unique_indices,fixture_hits,JPN001C_present,JPN001C_glyph_index,JPN001C_rect,sample_contexts
一,U+4E00,CJK UNIFIED IDEOGRAPH-4E00,13,10,20;22;24;35;36;38;47;50;52;55,,YES,140,"(843,269)-(909,335)",我只想知道一件事——“真相”。 || 在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 杀人换来的肮脏称号，你还一直挂在身上吗？
上,U+4E0A,CJK UNIFIED IDEOGRAPH-4E0A,3,3,24;42;53,,NO,0,"(4,1)-(25,67)",杀人换来的肮脏称号，你还一直挂在身上吗？ || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。 || 我在想，要不要别研究鸟了，自己飞上天空。
下,U+4E0B,CJK UNIFIED IDEOGRAPH-4E0B,4,4,27;28;35;36,,YES,141,"(914,269)-(980,335)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
不,U+4E0D,CJK UNIFIED IDEOGRAPH-4E0D,19,15,21;22;26;27;31;36;37;41;43;44;46;49;51;53;55,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
与,U+4E0E,CJK UNIFIED IDEOGRAPH-4E0E,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
世,U+4E16,CJK UNIFIED IDEOGRAPH-4E16,1,1,45,,YES,142,"(984,269)-(1050,335)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
东,U+4E1C,CJK UNIFIED IDEOGRAPH-4E1C,1,1,35,,NO,0,"(4,1)-(25,67)",你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
个,U+4E2A,CJK UNIFIED IDEOGRAPH-4E2A,4,2,36;38,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || 你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
中,U+4E2D,CJK UNIFIED IDEOGRAPH-4E2D,1,1,39,RAMON_GALVEZ_MENA,YES,143,"(1059,269)-(1125,335)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。
为,U+4E3A,CJK UNIFIED IDEOGRAPH-4E3A,9,7,21;26;32;40;42;47;52,PAZ,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。
