file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3B05B2,0,0,0,1,,page2121:tag1:entity9:key00000009:ref0:ord0,,自らを沈めるというの？,偽装データを止めるために…,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B05B2,1,1,1,1,,page2121:tag1:entity8:key00000008:ref1:ord0,自らを沈めるというの？,偽装データを止めるために…,"<R=“機械の中の幽霊”,ゴースト・イン・ザ・マシーン>…？",,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B05B2,2,2,2,1,,page2121:tag1:entity7:key00000007:ref2:ord0,偽装データを止めるために…,"<R=“機械の中の幽霊”,ゴースト・イン・ザ・マシーン>…？",何故だ…？,"<R=“機械の中の幽霊”,ゴースト・イン・ザ・マシーン>",,,NOT_CHECKED,80,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B05B2,3,3,3,1,,page2121:tag1:entity6:key00000006:ref3:ord0,"<R=“機械の中の幽霊”,ゴースト・イン・ザ・マシーン>…？",何故だ…？,これは… ボス…？ ,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B05B2,4,4,4,1,,page2121:tag1:entity5:key00000005:ref4:ord0,何故だ…？,これは… ボス…？ ,平和という 幻想を,,,,NOT_CHECKED,26,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B05B2,5,5,5,1,,page2121:tag1:entity43:key0000002B:ref5:ord0,これは… ボス…？ ,平和という 幻想を,だからこそ… 願うしかないのね,,,,NOT_CHECKED,25,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B05B2,6,6,6,1,,page2121:tag1:entity42:key0000002A:ref6:ord0,平和という 幻想を,だからこそ… 願うしかないのね,平和は 何処にも存在しない,,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B05B2,7,7,7,1,,page2121:tag1:entity41:key00000029:ref7:ord0,だからこそ… 願うしかないのね,平和は 何処にも存在しない,それでも 唄うしかないのね？,,,,NOT_CHECKED,37,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B05B2,8,8,8,1,,page2121:tag1:entity40:key00000028:ref8:ord0,平和は 何処にも存在しない,それでも 唄うしかないのね？,この歌は…,,,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B05B2,9,9,9,1,,page2121:tag1:entity4:key00000004:ref9:ord0,それでも 唄うしかないのね？,この歌は…,そうでしょ？,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
