file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_MISSION_BLOCK_36DD60,0,stream=0x36D000;block=0xD60;text=0,"[""stream=0x36D000;block=0xD60;text=0""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]",,"スネーク。
あんたが入手したその無線機で、例の少女、
パスと連絡が出来るようにしておいた。
","彼女は大丈夫なのか？
",[],"Snake，我已经设置好你拿到的那台无线电，
现在可以用它联系那个女孩——Paz。",,MATCH,132,105,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_36DD60,1,stream=0x36D000;block=0xD60;text=1,"[""stream=0x36D000;block=0xD60;text=1""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","スネーク。
あんたが入手したその無線機で、例の少女、
パスと連絡が出来るようにしておいた。
","彼女は大丈夫なのか？
","あの娘は俺達が心配するほど、柔じゃないよ。
",[],她没事吧？,,MATCH,31,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_36DD60,2,stream=0x36D000;block=0xD60;text=2,"[""stream=0x36D000;block=0xD60;text=2""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","彼女は大丈夫なのか？
","あの娘は俺達が心配するほど、柔じゃないよ。
","彼女はまだ子供だ…。
",[],那女孩没我们想的那么脆弱。,,MATCH,64,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_36DD60,3,stream=0x36D000;block=0xD60;text=3,"[""stream=0x36D000;block=0xD60;text=3""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","あの娘は俺達が心配するほど、柔じゃないよ。
","彼女はまだ子供だ…。
","だからこそ、有効な情報が得られるかも知れない。
それに今回の、真の依頼主は彼女“<R=平和,ラ・パス>の使者”だ。
…そうだろ？
",[],她毕竟还是个孩子……。,,MATCH,31,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_36DD60,4,stream=0x36D000;block=0xD60;text=4,"[""stream=0x36D000;block=0xD60;text=4""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","彼女はまだ子供だ…。
","だからこそ、有効な情報が得られるかも知れない。
それに今回の、真の依頼主は彼女“<R=平和,ラ・パス>の使者”だ。
…そうだろ？
","…ああ、わかってる。
","[""<R=平和,ラ・パス>""]","正因为如此，说不定反而能从她那里得到有用的情报。而
且这次真正的委托人，就是她——“<R=和平,LA PAZ>的使者”……对吧？","<R=和平,LA PAZ>",MATCH,179,168,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_MISSION_BLOCK_36DD60,5,stream=0x36D000;block=0xD60;text=5,"[""stream=0x36D000;block=0xD60;text=5""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","だからこそ、有効な情報が得られるかも知れない。
それに今回の、真の依頼主は彼女“<R=平和,ラ・パス>の使者”だ。
…そうだろ？
","…ああ、わかってる。
","繋ぐぞ。
",[],……嗯，我知道。,,MATCH,31,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_36DD60,6,stream=0x36D000;block=0xD60;text=6,"[""stream=0x36D000;block=0xD60;text=6""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","…ああ、わかってる。
","繋ぐぞ。
","スネーク…。
",[],我给你接过去。,,MATCH,13,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_36DD60,7,stream=0x36D000;block=0xD60;text=7,"[""stream=0x36D000;block=0xD60;text=7""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","繋ぐぞ。
","スネーク…。
","君か。どこから通信を？
",[],Snake……。,,MATCH,19,14,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_36DD60,8,stream=0x36D000;block=0xD60;text=8,"[""stream=0x36D000;block=0xD60;text=8""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","スネーク…。
","君か。どこから通信を？
","シウダード・コロンの校舎。
先生が、落ち着くまで学校にいろって。
",[],是你啊。你从哪里通信？,,MATCH,34,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_36DD60,9,stream=0x36D000;block=0xD60;text=9,"[""stream=0x36D000;block=0xD60;text=9""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","君か。どこから通信を？
","シウダード・コロンの校舎。
先生が、落ち着くまで学校にいろって。
","先生？　ああ、あいつは…。
…まあ、その方が安全だ。
",[],"Ciudad Colón的校舍。
老师让我在局势平静下来之前待在学校。",,MATCH,95,80,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
