file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7BF2ED,0,,,,,record0:segment0:timing0-0,,拠点は砦の先だ 何とか越えてくれ,砦を越えるんだ\n敵の拠点は その先にある,,基地在要塞后面。想办法越过去。,,MATCH,46,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,1,,,,,record1:segment0:timing0-0,拠点は砦の先だ 何とか越えてくれ,砦を越えるんだ\n敵の拠点は その先にある,砦の上に銃座がない？,,越过要塞。\n敌人的基地就在前面。,,MATCH,57,47,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,2,,,,,record2:segment0:timing0-0,砦を越えるんだ\n敵の拠点は その先にある,砦の上に銃座がない？,銃座に気をつけて！,,要塞上面不是有机枪座吗？,,MATCH,30,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,3,,,,,record3:segment0:timing0-0,砦の上に銃座がない？,銃座に気をつけて！,砦へのハシゴがあるようだな,,小心机枪座！,,MATCH,27,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,4,,,,,record4:segment0:timing53-88,銃座に気をつけて！,砦へのハシゴがあるようだな,だが警戒は厳重だろう,,好像有梯子能上要塞。,,MATCH,39,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,5,,,,,record4:segment1:timing0-0,砦へのハシゴがあるようだな,だが警戒は厳重だろう,ハシゴ以外に道はないか？,,不过戒备应该很森严。,,MATCH,30,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,6,,,,,record5:segment0:timing0-0,だが警戒は厳重だろう,ハシゴ以外に道はないか？,敵はハシゴからの侵入を警戒しているはずよ,,除了梯子就没有别的路吗？,,MATCH,36,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,7,,,,,record6:segment0:timing0-0,ハシゴ以外に道はないか？,敵はハシゴからの侵入を警戒しているはずよ,中央突破は戦闘になる危険性が高い,,敌人肯定会提防有人从梯子入侵。,,MATCH,60,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,8,,,,,record7:segment0:timing0-0,敵はハシゴからの侵入を警戒しているはずよ,中央突破は戦闘になる危険性が高い,他に侵入できる場所はない？,,从中央突破很可能会引发战斗。,,MATCH,48,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,9,,,,,record8:segment0:timing0-0,中央突破は戦闘になる危険性が高い,他に侵入できる場所はない？,そこから中に入れないか？,,没有其他能潜入的地方吗？,,MATCH,39,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,10,,,,,record9:segment0:timing50-85,他に侵入できる場所はない？,そこから中に入れないか？,登るのは無理そうだが…,,不能从那里进去吗？,,MATCH,36,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,11,,,,,record9:segment1:timing0-0,そこから中に入れないか？,登るのは無理そうだが…,そこから外側へ回れる？,,看起来没法爬上去……,,MATCH,33,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,12,,,,,record10:segment0:timing0-0,登るのは無理そうだが…,そこから外側へ回れる？,1階部分と地下部分の間に段差はない？,,能从那里绕到外侧吗？,,MATCH,33,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,13,,,,,record11:segment0:timing0-0,そこから外側へ回れる？,1階部分と地下部分の間に段差はない？,手をかけられそうなところがあれば\nどこからか伝って来れないかしら？,,一楼和地下部分之间没有凸出的落差吗？,,MATCH,52,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,14,,,,,record12:segment0:timing0-0,1階部分と地下部分の間に段差はない？,手をかけられそうなところがあれば\nどこからか伝って来れないかしら？,横からなら砦に侵入できそうだね,,如果有能抓手的地方，\n能不能从某处沿着过去？,,MATCH,98,65,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,15,,,,,record13:segment0:timing0-0,手をかけられそうなところがあれば\nどこからか伝って来れないかしら？,横からなら砦に侵入できそうだね,そのままエルードで奥へ進めない？,,从侧面的话，好像能潜入要塞。,,MATCH,45,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,16,,,,,record14:segment0:timing0-0,横からなら砦に侵入できそうだね,そのままエルードで奥へ進めない？,よし！\nそこから中に入れそうね！,,不能就这样悬挂着往里面移动吗？,,MATCH,48,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,17,,,,,record15:segment0:timing0-0,そのままエルードで奥へ進めない？,よし！\nそこから中に入れそうね！,そのまま基地の奥を目指して！,,好！\n看起来能从那里进去！,,MATCH,47,38,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,18,,,,,record16:segment0:timing0-0,よし！\nそこから中に入れそうね！,そのまま基地の奥を目指して！,ここを抜ければ敵の拠点だ\n頼むぞ,,就这样往基地深处前进！,,MATCH,42,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,19,,,,,record17:segment0:timing0-0,そのまま基地の奥を目指して！,ここを抜ければ敵の拠点だ\n頼むぞ,敵の拠点は目の前にある\nあと少しだ！,,穿过这里就是敌人的基地。\n拜托了。,,MATCH,47,50,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,20,,,,,record18:segment0:timing0-0,ここを抜ければ敵の拠点だ\n頼むぞ,敵の拠点は目の前にある\nあと少しだ！,上手く偽装したもんだ\nこれじゃ衛星からでも捉えられない…,,敌人的基地就在眼前。\n只差一点！,,MATCH,53,47,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,21,,,,,record19:segment0:timing0-0,敵の拠点は目の前にある\nあと少しだ！,上手く偽装したもんだ\nこれじゃ衛星からでも捉えられない…,銃座を使うには 近づいてアイコンが出てから\n<I=ACT>を押すんだ！,,伪装得真好。\n这样连卫星都发现不了……,,MATCH,83,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,22,,,,,record20:segment0:timing0-0,上手く偽装したもんだ\nこれじゃ衛星からでも捉えられない…,銃座を使うには 近づいてアイコンが出てから\n<I=ACT>を押すんだ！,敵を狙うには<I=CAMERA>を使え,<I=ACT>,要使用机枪座，靠近后等图标出现，\n再按<I=ACT>！,<I=ACT>,MATCH,88,66,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,23,,,,,record21:segment0:timing0-0;record23:segment0:timing0-0;record24:segment0:timing0-0,銃座を使うには 近づいてアイコンが出てから\n<I=ACT>を押すんだ！,敵を狙うには<I=CAMERA>を使え,<I=AIM>でズーム <I=ATK>で攻撃だ！,<I=CAMERA>,用<I=CAMERA>瞄准敌人。,<I=CAMERA>,MATCH,37,28,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=3; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2ED,24,,,,,record22:segment0:timing0-0,敵を狙うには<I=CAMERA>を使え,<I=AIM>でズーム <I=ATK>で攻撃だ！,敵を狙うには<I=CAMERA>を使え,<I=AIM> | <I=ATK>,用<I=AIM>缩放，按<I=ATK>攻击！,<I=AIM> | <I=ATK>,MATCH,42,38,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
