character,codepoint,occurrences,screenshot,JPN0007,JPN000E,JPN001C,JPN00C7,MLG0007,MLG000E,resource
我,U+6211,3,37:VISIBLE;39:VISIBLE,NO,NO,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:VISIBLE/39:VISIBLE
们,U+4EEC,3,37:MISSING_AS_DOT;39:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT/39:MISSING_AS_DOT
只,U+53EA,1,37:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
会,U+4F1A,1,37:MISSING_AS_DOT,NO,YES,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
战,U+6218,1,37:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
斗,U+6597,1,37:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
但,U+4F46,1,37:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
要,U+8981,2,37:VISIBLE;39:VISIBLE,YES,YES,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:VISIBLE/39:VISIBLE
活,U+6D3B,1,37:MISSING_AS_DOT,NO,NO,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
得,U+5F97,1,37:MISSING_AS_DOT,YES,NO,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
不,U+4E0D,1,37:MISSING_AS_DOT,YES,YES,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
受,U+53D7,1,37:MISSING_AS_DOT,YES,NO,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
国,U+56FD,1,37:VISIBLE,YES,NO,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:VISIBLE
家,U+5BB6,1,37:VISIBLE,NO,NO,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:VISIBLE
局,U+5C40,1,37:MISSING_AS_DOT,NO,NO,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
势,U+52BF,1,37:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
摆,U+6446,1,37:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
布,U+5E03,1,37:MISSING_AS_DOT,NO,NO,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#37:MISSING_AS_DOT
中,U+4E2D,1,39:VISIBLE,YES,NO,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:VISIBLE
美,U+7F8E,3,39:VISIBLE,NO,NO,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:VISIBLE
洲,U+6D32,1,39:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
是,U+662F,1,39:MISSING_AS_DOT,NO,NO,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
连,U+8FDE,1,39:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
接,U+63A5,1,39:MISSING_AS_DOT,YES,NO,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
北,U+5317,1,39:VISIBLE,NO,NO,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:VISIBLE
大,U+5927,2,39:VISIBLE,YES,YES,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:VISIBLE
陆,U+9646,2,39:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
和,U+548C,1,39:VISIBLE,NO,NO,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:VISIBLE
南,U+5357,1,39:VISIBLE,YES,NO,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:VISIBLE
的,U+7684,1,39:MISSING_AS_DOT,YES,YES,NO,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
脐,U+8110,1,39:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
带,U+5E26,1,39:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
想,U+60F3,1,39:VISIBLE,NO,NO,YES,YES,YES,YES,LOOSE_OLANG/00D0C740.csv#39:VISIBLE
这,U+8FD9,1,39:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
里,U+91CC,1,39:MISSING_AS_DOT,NO,NO,NO,NO,YES,YES,LOOSE_OLANG/00D0C740.csv#39:MISSING_AS_DOT
