file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3B050D,0,0,0,1,,page2094:tag14:entity9:key00000009:ref0:ord0,,"彼女こそが<R=英雄,ヒーロー>よ","<R=名誉,オナー>も命も捧げた","<R=英雄,ヒーロー>","她才是真正的<R=英雄,ヒーロー>","<R=英雄,ヒーロー>",MATCH,41,41,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; RUBY_PRESERVED; JAPANESE_READING_ヒーロー_PRESERVED; AUX_SHIFT_REJECTED
5D3B050D,1,1,1,1,,page2094:tag14:entity8:key00000008:ref1:ord0,"彼女こそが<R=英雄,ヒーロー>よ","<R=名誉,オナー>も命も捧げた",祖国のため,"<R=名誉,オナー>","<R=荣誉,オナー>与生命都献出了","<R=荣誉,オナー>",MATCH,38,41,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; RUBY_PRESERVED; JAPANESE_READING_オナー_PRESERVED; AUX_SHIFT_REJECTED
5D3B050D,2,2,2,1,,page2094:tag14:entity7:key00000007:ref2:ord0,"<R=名誉,オナー>も命も捧げた",祖国のため,全ては 国のため,,为了祖国,,MATCH,15,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; AUX_SHIFT_REJECTED
5D3B050D,3,3,3,1,,page2094:tag14:entity6:key00000006:ref3:ord0,祖国のため,全ては 国のため,"<R=帰還報告,デブリーフィング>",,一切都是 为了国家,,MATCH,22,25,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; SOURCE_INTERNAL_ASCII_SPACE_PRESERVED; AUX_SHIFT_REJECTED
5D3B050D,4,4,4,1,,page2094:tag14:entity5:key00000005:ref4:ord0,全ては 国のため,"<R=帰還報告,デブリーフィング>",彼女の…,"<R=帰還報告,デブリーフィング>","<R=归还报告,デブリーフィング>","<R=归还报告,デブリーフィング>",MATCH,41,41,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; RUBY_PRESERVED; JAPANESE_READING_デブリーフィング_PRESERVED; REVIEW_TERM_DEBRIEFING_DISPLAY
5D3B050D,5,5,5,1,,page2094:tag14:entity4:key00000004:ref5:ord0,"<R=帰還報告,デブリーフィング>",彼女の…,あなたの心だけに残す…,,她的…,,MATCH,12,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; AUX_SHIFT_REJECTED
5D3B050D,6,6,6,1,,page2094:tag14:entity3:key00000003:ref6:ord0,彼女の…,あなたの心だけに残す…,誰にも伝えられる事のない,,只留在你的心中…,,MATCH,33,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3B050D,7,7,7,1,,page2094:tag14:entity2:key00000002:ref7:ord0,あなたの心だけに残す…,誰にも伝えられる事のない,"彼女こそが 真の<R=愛国者,パトリオット>",,无法告诉任何人的,,MATCH,36,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; AUX_SHIFT_REJECTED
5D3B050D,8,8,8,1,,page2094:tag14:entity10:key0000000A:ref8:ord0,誰にも伝えられる事のない,"彼女こそが 真の<R=愛国者,パトリオット>",これは 歴史には記録されない,"<R=愛国者,パトリオット>","她才是 真正的<R=爱国者,パトリオット>","<R=爱国者,パトリオット>",MATCH,54,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; SOURCE_INTERNAL_ASCII_SPACE_PRESERVED; RUBY_PRESERVED; JAPANESE_READING_パトリオット_PRESERVED; AUX_SHIFT_REJECTED
5D3B050D,9,9,9,1,,page2094:tag14:entity1:key00000001:ref9:ord0,"彼女こそが 真の<R=愛国者,パトリオット>",これは 歴史には記録されない,スネーク,,这件事 不会被历史记录,,MATCH,40,31,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; SOURCE_INTERNAL_ASCII_SPACE_PRESERVED; AUX_SHIFT_REJECTED
5D3B050D,10,10,10,1,,page2094:tag14:entity0:key00000000:ref10:ord0,これは 歴史には記録されない,スネーク,協力者が要る,,Snake,,MATCH,12,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; SNAKE_FIXED_IDENTITY; AUX_COMBINED_LINE_REJECTED
5D3B050D,11,11,11,1,,page2094:tag14:entity14:key00000003:ref11:ord0,スネーク,協力者が要る,どうする？,,需要协助者,,MATCH,18,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3B050D,12,12,12,1,,page2094:tag14:entity13:key00000002:ref12:ord0,協力者が要る,どうする？,ゲートは手薄だが…,,怎么办？,,MATCH,15,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3B050D,13,13,13,1,,page2094:tag14:entity12:key00000001:ref13:ord0,どうする？,ゲートは手薄だが…,様子がおかしい,,大门防守薄弱但是…,,MATCH,27,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; QA_NO_EXTRA_ASCII_SPACE
5D3B050D,14,14,14,1,,page2094:tag14:entity11:key00000000:ref14:ord0,ゲートは手薄だが…,様子がおかしい,"わかった
俺もあそこがなくなっては 困るからな ",,情况不对,,MATCH,21,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3B050D,15,15,15,1,,page2094:tag14:entity24:key00000009:ref15:ord0,様子がおかしい,"わかった
俺もあそこがなくなっては 困るからな ",みんなあんたを信じている,,"明白了
那里要是没了 我也会很困扰的 ",,MATCH,66,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; NEWLINE_INTERNAL_AND_TRAILING_ASCII_SPACES_PRESERVED
5D3B050D,16,16,16,1,,page2094:tag14:entity23:key00000008:ref16:ord0,"わかった
俺もあそこがなくなっては 困るからな ",みんなあんたを信じている,ああ…,,大家都相信你,,MATCH,36,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3B050D,17,17,17,1,,page2094:tag14:entity22:key00000007:ref17:ord0,みんなあんたを信じている,ああ…,"核の<R=目標,ターゲット>はMSFのマザーベースだ
避難しなくていいのか？",,嗯…,,MATCH,9,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; AUX_SHIFT_REJECTED
