character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
!,U+0021,EXCLAMATION MARK,Po,Basic Latin,134,LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG,OHD/1E4C1146#53: GO!GO!GO! || OHD/1E4C1146#54: GO!GO!GO!! || OHD/1E4C1146#55: GO!GO!GO!!! || OHD/1E4C1146#56: GO!GO!GO!!!! || OHD/1E4C1146#218: VICBOSS!,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
"""",U+0022,QUOTATION MARK,Po,Basic Latin,436,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,"LOOSE_OLANG/007E2F18#4079: ""MGS-PW""MainTheme || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6890: 在MotherBase・射击训练场尽可能快速射击更多靶子（目标）。禁止支援补给、支援攻击。时间限制：03'00""目标数：不定 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6896: 在MotherBase・KillHouse尽可能快速射中最后的靶子（目标）。仅限SINGLE。禁止支援补给、支援攻击。时间限制：05'00""目标数：24 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6908: 在尼加拉瓜美军导弹基地，用富尔顿回收营救美军士兵。他遭到苏联制压部队袭击并负伤。时间限制：04'00""（直到美军士兵死亡。被敌人发现进入警报状态时-00'30""）必要装备品：富尔顿回收装置目标数：1 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6911: 使尼加拉瓜美军导弹基地指定区域内的所有敌方佣兵失去行动能力。也可采用击晕、睡眠、HoldUp等非杀伤手段。时间限制：05'00""（被敌人发现进入警报状态时-00'30""）目标数：5",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
#,U+0023,NUMBER SIGN,Po,Basic Latin,22,SLOT_OLANG | STAGEDAT_OLANG,"STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9758: #关于“医疗班” || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#19328: #关于“医疗班” || STAGEDAT_OLANG/LANG_TITLE_NAMEENTRY.OLANG#22846: 请输入15个字符以内的玩家名称。※只能使用大写英文字母、数字，以及部分符号（!""#$&'()=@[];:,./?_^+-）。 || SLOT_OLANG/5D06A8D5#22934: #已向职员赠送礼物。 || SLOT_OLANG/5D06A8D5#22936: #????",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
$,U+0024,DOLLAR SIGN,Sc,Basic Latin,1,STAGEDAT_OLANG,"STAGEDAT_OLANG/LANG_TITLE_NAMEENTRY.OLANG#22846: 请输入15个字符以内的玩家名称。※只能使用大写英文字母、数字，以及部分符号（!""#$&'()=@[];:,./?_^+-）。",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
%,U+0025,PERCENT SIGN,Po,Basic Latin,293,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4946: OUTEROPS通关率超过%时授予。（英雄度增加） || LOOSE_OLANG/007E2F18#4947: OUTEROPS通关率超过%时授予。（英雄度增加） || STAGEDAT_OLANG/LANG_MYOUTER_DEVELOP.OLANG#9598: (无需)不过，开发中的武器进度会恢复为0%。请注意。 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9752: 反之，当“FOOD”低于100%时，人员士气会逐渐下降。 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9754: 当“FOOD”达到100%以上时，表示所有人员都能获得充足食物，人员士气会上升。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
&,U+0026,AMPERSAND,Po,Basic Latin,16,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4179: G&J || LOOSE_OLANG/007E2F18#5111: 键盘&鼠标操作类型 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8526: Guns&Jungle迷彩 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#9035: G&J || STAGEDAT_OLANG/LANG_DEMOTELOP4.OLANG#11854: CHARACTER&MECHANICALDESIGN,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
',U+0027,APOSTROPHE,Po,Basic Latin,437,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,"YPK_GTT/1C677327#88: Jet'aime… || LOOSE_OLANG/007E2F18#4065: Destiny'sCall || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6890: 在MotherBase・射击训练场尽可能快速射击更多靶子（目标）。禁止支援补给、支援攻击。时间限制：03'00""目标数：不定 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6896: 在MotherBase・KillHouse尽可能快速射中最后的靶子（目标）。仅限SINGLE。禁止支援补给、支援攻击。时间限制：05'00""目标数：24 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6908: 在尼加拉瓜美军导弹基地，用富尔顿回收营救美军士兵。他遭到苏联制压部队袭击并负伤。时间限制：04'00""（直到美军士兵死亡。被敌人发现进入警报状态时-00'30""）必要装备品：富尔顿回收装置目标数：1",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
(,U+0028,LEFT PARENTHESIS,Ps,Basic Latin,1577,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4076: 恋爱抑止力(AcousticInstrumentalVersion) || LOOSE_OLANG/007E2F18#4168: NKD(DPM) || LOOSE_OLANG/007E2F18#4169: NKD(T.B) || LOOSE_OLANG/007E2F18#4170: NKD(WATR) || LOOSE_OLANG/007E2F18#4171: NKD(GRN),CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
),U+0029,RIGHT PARENTHESIS,Pe,Basic Latin,1565,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4076: 恋爱抑止力(AcousticInstrumentalVersion) || LOOSE_OLANG/007E2F18#4168: NKD(DPM) || LOOSE_OLANG/007E2F18#4169: NKD(T.B) || LOOSE_OLANG/007E2F18#4170: NKD(WATR) || LOOSE_OLANG/007E2F18#4171: NKD(GRN),CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
*,U+002A,ASTERISK,Po,Basic Latin,60,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_TITLEMENU.OLANG#22915: 请选择语言。*注：过场动画中可按SELECT按钮开启/关闭字幕。 || SLOT_OLANG/5D06A8D5#22951: *log_type_34 || SLOT_OLANG/5D514128#37696: 胁迫所有敌方雇佣兵，地点在金果香蕉种植园的分拣棚。杀死、击晕或麻醉敌人将直接导致任务失败。触发警报也会直接导致任务失败。指定武器：香蕉目标数：6*香蕉会在开始任务时自动装备。不允许使用其他武器。*这是任务。别拿食物开玩笑！ || SLOT_OLANG/5D514128#37741: 胁迫所有敌方雇佣兵，地点在矿山基地的地下通道。杀死、击晕或麻醉敌人将直接导致任务失败。触发警报也会直接导致任务失败。指定武器：香蕉目标数：9*香蕉会在开始任务时自动装备。不允许使用其他武器。*这是任务。别拿食物开玩笑！ || SLOT_OLANG/5D514128#37744: 胁迫所有敌方雇佣兵，地点在破晓港地区。杀死、击晕或麻醉敌人将直接导致任务失败。触发警报也会直接导致任务失败。指定武器：香蕉目标数：7*香蕉会在开始任务时自动装备。不允许使用其他武器。*这是任务。别拿食物开玩笑！,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
