file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_07CA30,0,stream=0x7C000;block=0xA30;text=0,"[""stream=0x7C000;block=0xA30;text=0""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]",,"初の宇宙飛行へ向けて、訓練の日々が続いた。
","ザ・ボスは過酷な訓練に耐え、私はそれをサポートした。
幸せな日々だった。
",[],,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"接下来的日子，我们为首次
太空飞行不知疲倦地训练。","[""接下来的日子，我们为首次\n太空飞行不知疲倦地训练。""]","The days that followed were spent training
tirelessly for our first space flight.
","[""The days that followed were spent training\ntirelessly for our first space flight.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x7CA30; ENG blocks=0x107150; ENG source rows=0x107150#0; block_semantic_score=0.216532.
BRIEFING_FILES_BLOCK_07CA30,1,stream=0x7C000;block=0xA30;text=1,"[""stream=0x7C000;block=0xA30;text=1""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]","初の宇宙飛行へ向けて、訓練の日々が続いた。
","ザ・ボスは過酷な訓練に耐え、私はそれをサポートした。
幸せな日々だった。
","そして4月12日。彼女の乗った飛行船は大気圏の外へ出た。
",[],,,NOT_CHECKED,107,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"The Boss经受了考验
人类极限的适应训练，而我支持着她。那是一段幸福的日子。","[""The Boss经受了考验\n人类极限的适应训练，而我支持着她。那是一段幸福的日子。""]","The Boss endured conditioning that tested the
limits of human capability,
and I supported her. Those were happy days.
","[""The Boss endured conditioning that tested the\nlimits of human capability,\nand I supported her. Those were happy days.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x7CA30; ENG blocks=0x107150,0x107150; ENG source rows=0x107150#1,0x107150#2; block_semantic_score=0.216532."
BRIEFING_FILES_BLOCK_07CA30,2,stream=0x7C000;block=0xA30;text=2,"[""stream=0x7C000;block=0xA30;text=2""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]","ザ・ボスは過酷な訓練に耐え、私はそれをサポートした。
幸せな日々だった。
","そして4月12日。彼女の乗った飛行船は大気圏の外へ出た。
","わずか20分の弾道飛行とは言え、準備期間の短さから考え
れば、奇跡と言ってよかった。人類初の宇宙飛行。我々は
歓喜した。
",[],,,NOT_CHECKED,79,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"4月12日，搭载The Boss的
飞船离开了地球大气层。","[""4月12日，搭载The Boss的\n飞船离开了地球大气层。""]","On April 12th, the spacecraft carrying The Boss
left the Earth's atmosphere.
","[""On April 12th, the spacecraft carrying The Boss\nleft the Earth's atmosphere.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x7CA30; ENG blocks=0x107150; ENG source rows=0x107150#3; block_semantic_score=0.216532.
BRIEFING_FILES_BLOCK_07CA30,3,stream=0x7C000;block=0xA30;text=3,"[""stream=0x7C000;block=0xA30;text=3""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]","そして4月12日。彼女の乗った飛行船は大気圏の外へ出た。
","わずか20分の弾道飛行とは言え、準備期間の短さから考え
れば、奇跡と言ってよかった。人類初の宇宙飛行。我々は
歓喜した。
","だが、帰途に悲劇は起きた。
",[],,,NOT_CHECKED,173,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"虽然只是20分钟的弹道飞行，
但这简直堪称奇迹，考虑到我们拥有的时间如此之少。
第一个进入太空的人类。
我们欣喜若狂。","[""虽然只是20分钟的弹道飞行，\n但这简直堪称奇迹，考虑到我们拥有的时间如此之少。\n第一个进入太空的人类。\n我们欣喜若狂。""]","Although it was only 20 minutes of ballistic flight,
it was nothing short of miraculous,
considering how little time we'd had. The first
human in space. We were ecstatic.
","[""Although it was only 20 minutes of ballistic flight,\nit was nothing short of miraculous,\nconsidering how little time we'd had. The first\nhuman in space. We were ecstatic.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x7CA30; ENG blocks=0x107150,0x107150; ENG source rows=0x107150#4,0x107150#5; block_semantic_score=0.216532."
BRIEFING_FILES_BLOCK_07CA30,4,stream=0x7C000;block=0xA30;text=4,"[""stream=0x7C000;block=0xA30;text=4""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]","わずか20分の弾道飛行とは言え、準備期間の短さから考え
れば、奇跡と言ってよかった。人類初の宇宙飛行。我々は
歓喜した。
","だが、帰途に悲劇は起きた。
","再突入時に外壁が変形。突入角が僅かにずれた。原因が、
急ごしらえの窓にあることは明白だった。
",[],,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,然而，出事了。,"[""然而，出事了。""]","Then something went wrong.
","[""Then something went wrong.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x7CA30; ENG blocks=0x107150; ENG source rows=0x107150#6; block_semantic_score=0.216532.
BRIEFING_FILES_BLOCK_07CA30,5,stream=0x7C000;block=0xA30;text=5,"[""stream=0x7C000;block=0xA30;text=5""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]","だが、帰途に悲劇は起きた。
","再突入時に外壁が変形。突入角が僅かにずれた。原因が、
急ごしらえの窓にあることは明白だった。
","彼女の乗った宇宙船は、想定地点を大幅に外れて着水した。
",[],,,NOT_CHECKED,137,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,再入角度略有偏差，导致外壳变形。,"[""再入角度略有偏差，导致外壳变形。""]","The reentry angle was slightly off, warping the
outer hull.
","[""The reentry angle was slightly off, warping the\nouter hull.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x7CA30; ENG blocks=0x107150; ENG source rows=0x107150#7; block_semantic_score=0.216532.
BRIEFING_FILES_BLOCK_07CA30,6,stream=0x7C000;block=0xA30;text=6,"[""stream=0x7C000;block=0xA30;text=6""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]","再突入時に外壁が変形。突入角が僅かにずれた。原因が、
急ごしらえの窓にあることは明白だった。
","彼女の乗った宇宙船は、想定地点を大幅に外れて着水した。
","祈るような気持ちで着水地点へ急行する我々の耳に、ラジ
オのニュースが木霊していた。
",[],,,NOT_CHECKED,82,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"原因很清楚——是我们匆匆
安装的舷窗出了问题。","[""原因很清楚——是我们匆匆\n安装的舷窗出了问题。""]","The cause was clear - it was the
hastily-constructed window we'd installed.
","[""The cause was clear - it was the\nhastily-constructed window we'd installed.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x7CA30; ENG blocks=0x107150; ENG source rows=0x107150#8; block_semantic_score=0.216532.
BRIEFING_FILES_BLOCK_07CA30,7,stream=0x7C000;block=0xA30;text=7,"[""stream=0x7C000;block=0xA30;text=7""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]","彼女の乗った宇宙船は、想定地点を大幅に外れて着水した。
","祈るような気持ちで着水地点へ急行する我々の耳に、ラジ
オのニュースが木霊していた。
","それはボストーク・ロケットの打ち上げ成功を告げるニュ
ースだった。飛行士はユーリイ・ガガーリン。我々はタッ
チの差で、ソ連に先を越されたのだ。
",[],,,NOT_CHECKED,122,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"她的返回舱远远偏离了预计溅落点。当我们冲向返回舱时，
广播里传来了突发新闻。","[""她的返回舱远远偏离了预计溅落点。当我们冲向返回舱时，\n广播里传来了突发新闻。""]","Her capsule missed the projected splashdown point
by a long shot.
As we raced towards the capsule, a breaking news
broadcast came over the radio.
","[""Her capsule missed the projected splashdown point\nby a long shot.\nAs we raced towards the capsule, a breaking news\nbroadcast came over the radio.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x7CA30; ENG blocks=0x107150,0x107150; ENG source rows=0x107150#9,0x107150#10; block_semantic_score=0.216532."
BRIEFING_FILES_BLOCK_07CA30,8,stream=0x7C000;block=0xA30;text=8,"[""stream=0x7C000;block=0xA30;text=8""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]","祈るような気持ちで着水地点へ急行する我々の耳に、ラジ
オのニュースが木霊していた。
","それはボストーク・ロケットの打ち上げ成功を告げるニュ
ースだった。飛行士はユーリイ・ガガーリン。我々はタッ
チの差で、ソ連に先を越されたのだ。
","到着したとき、既に宇宙船は海中に飲み込まれていた。ザ・
ボスは海上に浮いていた。
",[],,,NOT_CHECKED,210,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"那是关于东方号火箭
发射成功的新闻报道，由宇航员尤里·加加林驾驶。他们以
极其微小的差距抢先我们进入了太空。","[""那是关于东方号火箭\n发射成功的新闻报道，由宇航员尤里·加加林驾驶。他们以\n极其微小的差距抢先我们进入了太空。""]","It was the news report of the successful launch of
the Vostock rocket,
piloted by the cosmonaut Yuri Gagarin. They'd
beaten us into space by the slimmest of margins.
","[""It was the news report of the successful launch of\nthe Vostock rocket,\npiloted by the cosmonaut Yuri Gagarin. They'd\nbeaten us into space by the slimmest of margins.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x7CA30; ENG blocks=0x107150,0x107150; ENG source rows=0x107150#11,0x107150#12; block_semantic_score=0.216532."
BRIEFING_FILES_BLOCK_07CA30,9,stream=0x7C000;block=0xA30;text=9,"[""stream=0x7C000;block=0xA30;text=9""]",1,BRIEFING FILES,"[""stream=0x7C000;block=0xA30;block_file=0x7CA30;text_base=0x7CB38;capacity=5828""]","それはボストーク・ロケットの打ち上げ成功を告げるニュ
ースだった。飛行士はユーリイ・ガガーリン。我々はタッ
チの差で、ソ連に先を越されたのだ。
","到着したとき、既に宇宙船は海中に飲み込まれていた。ザ・
ボスは海上に浮いていた。
","その後のことはよく覚えていない。
",[],,,NOT_CHECKED,119,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"我们赶到时，返回舱
已经沉入了波涛之下。The Boss漂浮在水面上。","[""我们赶到时，返回舱\n已经沉入了波涛之下。The Boss漂浮在水面上。""]","When we arrived, the capsule had already
disappeared beneath the waves.
The Boss was floating on the surface.
","[""When we arrived, the capsule had already\ndisappeared beneath the waves.\nThe Boss was floating on the surface.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x7CA30; ENG blocks=0x107150,0x107150; ENG source rows=0x107150#13,0x107150#14; block_semantic_score=0.216532."
