file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5DB9910A,0,0,0;0;0;0;0;0,6,,page4:tag8:entity1:key0001F113:ref0:ord0;page10:tag7:entity1:key0001F113:ref0:ord0;page16:tag10:entity1:key0001F113:ref0:ord0;page34:tag18:entity1:key0001F113:ref0:ord0;page64:tag14:entity1:key0001F113:ref0:ord0;page1847:tag7:entity1:key0001F113:ref0:ord0,,はい,現在のミッションを最初からやり直しますか？,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,YES,"[""YES""]",YES,"[""YES""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB9910A,1,1,1;1;1;1;1;1,6,,page4:tag8:entity4:key006BB005:ref1:ord0;page10:tag7:entity4:key006BB005:ref1:ord0;page16:tag10:entity4:key006BB005:ref1:ord0;page34:tag18:entity4:key006BB005:ref1:ord0;page64:tag14:entity4:key006BB005:ref1:ord0;page1847:tag7:entity4:key006BB005:ref1:ord0,はい,現在のミッションを最初からやり直しますか？,いいえ,,,,NOT_CHECKED,63,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,RESTART MISSION,"[""RESTART MISSION""]",RESTART MISSION,"[""RESTART MISSION""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB9910A,2,2,2;2;2;2;2;2,6,,page4:tag8:entity0:key00000E2F:ref2:ord0;page10:tag7:entity0:key00000E2F:ref2:ord0;page16:tag10:entity0:key00000E2F:ref2:ord0;page34:tag18:entity0:key00000E2F:ref2:ord0;page64:tag14:entity0:key00000E2F:ref2:ord0;page1847:tag7:entity0:key00000E2F:ref2:ord0,現在のミッションを最初からやり直しますか？,いいえ,現在のミッションを終了し、ミッション選択画面へ戻りますか？,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,NO,"[""NO""]",NO,"[""NO""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB9910A,3,3,3;3;3;3;3;3,6,,page4:tag8:entity2:key00346D94:ref3:ord0;page10:tag7:entity2:key00346D94:ref3:ord0;page16:tag10:entity2:key00346D94:ref3:ord0;page34:tag18:entity2:key00346D94:ref3:ord0;page64:tag14:entity2:key00346D94:ref3:ord0;page1847:tag7:entity2:key00346D94:ref3:ord0,いいえ,現在のミッションを終了し、ミッション選択画面へ戻りますか？,xxx,,,,NOT_CHECKED,87,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,END MISSION AND RETURN TO SELECTION SCREEN,"[""END MISSION AND RETURN TO SELECTION SCREEN""]",END MISSION AND RETURN TO SELECTION SCREEN,"[""END MISSION AND RETURN TO SELECTION SCREEN""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB9910A,4,4,4;7;17;44;4;7;17;44;4;7;17;44;4;7;17;44;4;7;17;44;4;7;17;44,24,,page4:tag8:entity3:key00579231:ref4:ord0;page4:tag8:entity13:key008ECF11:ref7:ord0;page4:tag8:entity12:key0080113C:ref17:ord0;page4:tag8:entity47:key007F849B:ref44:ord0;page10:tag7:entity3:key00579231:ref4:ord0;page10:tag7:entity13:key008ECF11:ref7:ord0;page10:tag7:entity12:key0080113C:ref17:ord0;page10:tag7:entity47:key007F849B:ref44:ord0;page16:tag10:entity3:key00579231:ref4:ord0;page16:tag10:entity13:key008ECF11:ref7:ord0;page16:tag10:entity12:key0080113C:ref17:ord0;page16:tag10:entity47:key007F849B:ref44:ord0;page34:tag18:entity3:key00579231:ref4:ord0;page34:tag18:entity13:key008ECF11:ref7:ord0;page34:tag18:entity12:key0080113C:ref17:ord0;page34:tag18:entity47:key007F849B:ref44:ord0;page64:tag14:entity3:key00579231:ref4:ord0;page64:tag14:entity13:key008ECF11:ref7:ord0;page64:tag14:entity12:key0080113C:ref17:ord0;page64:tag14:entity47:key007F849B:ref44:ord0;page1847:tag7:entity3:key00579231:ref4:ord0;page1847:tag7:entity13:key008ECF11:ref7:ord0;page1847:tag7:entity12:key0080113C:ref17:ord0;page1847:tag7:entity47:key007F849B:ref44:ord0,現在のミッションを終了し、ミッション選択画面へ戻りますか？,xxx,武器の切替設定,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=24,,[],xxx,"[""xxx""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB9910A,5,5,5;5;5;5;5;5,6,,page4:tag8:entity16:key00B8E28D:ref5:ord0;page10:tag7:entity16:key00B8E28D:ref5:ord0;page16:tag10:entity16:key00B8E28D:ref5:ord0;page34:tag18:entity16:key00B8E28D:ref5:ord0;page64:tag14:entity16:key00B8E28D:ref5:ord0;page1847:tag7:entity16:key00B8E28D:ref5:ord0,xxx,武器の切替設定,肩越しカメラ・上下,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,武器选择设置,"[""武器选择设置""]",Weapon Select Settings,"[""Weapon Select Settings""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB9910A,6,6,6;6;6;6;6;6,6,,page4:tag8:entity26:key00EC76C9:ref6:ord0;page10:tag7:entity26:key00EC76C9:ref6:ord0;page16:tag10:entity26:key00EC76C9:ref6:ord0;page34:tag18:entity26:key00EC76C9:ref6:ord0;page64:tag14:entity26:key00EC76C9:ref6:ord0;page1847:tag7:entity26:key00EC76C9:ref6:ord0,武器の切替設定,肩越しカメラ・上下,xxx,,,,NOT_CHECKED,27,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,瞄准视角：上下,"[""瞄准视角：上下""]",Aim Mode View: Up/Down,"[""Aim Mode View: Up/Down""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB9910A,7,8,8;8;8;8;8;8,6,,page4:tag8:entity25:key00EC75B7:ref8:ord0;page10:tag7:entity25:key00EC75B7:ref8:ord0;page16:tag10:entity25:key00EC75B7:ref8:ord0;page34:tag18:entity25:key00EC75B7:ref8:ord0;page64:tag14:entity25:key00EC75B7:ref8:ord0;page1847:tag7:entity25:key00EC75B7:ref8:ord0,xxx,肩越しカメラ・左右,カメラ切替時の移動方向,,,,NOT_CHECKED,27,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,瞄准视角：左右,"[""瞄准视角：左右""]",Aim Mode View: Left/Right,"[""Aim Mode View: Left/Right""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB9910A,8,9,9;9;9;9;9;9,6,,page4:tag8:entity21:key00D55D45:ref9:ord0;page10:tag7:entity21:key00D55D45:ref9:ord0;page16:tag10:entity21:key00D55D45:ref9:ord0;page34:tag18:entity21:key00D55D45:ref9:ord0;page64:tag14:entity21:key00D55D45:ref9:ord0;page1847:tag7:entity21:key00D55D45:ref9:ord0,肩越しカメラ・左右,カメラ切替時の移動方向,ゲーム字幕の表示,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,瞄准视角初始方向,"[""瞄准视角初始方向""]",Aim Mode Initial Direction,"[""Aim Mode Initial Direction""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB9910A,9,10,10;10;10;10;10;10,6,,page4:tag8:entity24:key00E6DA15:ref10:ord0;page10:tag7:entity24:key00E6DA15:ref10:ord0;page16:tag10:entity24:key00E6DA15:ref10:ord0;page34:tag18:entity24:key00E6DA15:ref10:ord0;page64:tag14:entity24:key00E6DA15:ref10:ord0;page1847:tag7:entity24:key00E6DA15:ref10:ord0,カメラ切替時の移動方向,ゲーム字幕の表示,システム音声（スネーク・アウト）,,,,NOT_CHECKED,24,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,DISPLAY SUBTITLES,"[""DISPLAY SUBTITLES""]",DISPLAY SUBTITLES,"[""DISPLAY SUBTITLES""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
