file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_045AF0,0,stream=0x45000;block=0xAF0;text=0,"[""stream=0x45000;block=0xAF0;text=0""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]",,"ケツァールを見たのか、スネーク？
","ああ。
",[],,,NOT_CHECKED,49,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你看到绿咬鹃了吗，Snake？,"[""你看到绿咬鹃了吗，Snake？""]","Did you see a quetzal, Snake?
","[""Did you see a quetzal, Snake?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x45AF0; ENG blocks=0xD3750; ENG source rows=0xD3750#0; block_semantic_score=0.243100.
BRIEFING_FILES_BLOCK_045AF0,1,stream=0x45000;block=0xAF0;text=1,"[""stream=0x45000;block=0xAF0;text=1""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","ケツァールを見たのか、スネーク？
","ああ。
","どうだった？　蛇に似ていたか？
",[],,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,嗯。,"[""嗯。""]","Yep.
","[""Yep.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x45AF0; ENG blocks=0xD3750; ENG source rows=0xD3750#1; block_semantic_score=0.243100.
BRIEFING_FILES_BLOCK_045AF0,2,stream=0x45000;block=0xAF0;text=2,"[""stream=0x45000;block=0xAF0;text=2""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","ああ。
","どうだった？　蛇に似ていたか？
","蛇？　いや、蛇には見えなかったが。
",[],,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_045AF0,3,stream=0x45000;block=0xAF0;text=3,"[""stream=0x45000;block=0xAF0;text=3""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","どうだった？　蛇に似ていたか？
","蛇？　いや、蛇には見えなかったが。
","そうか…。やっぱりケツァルコアトルとは別なんだな。
",[],,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你觉得呢？它看起来像蛇吗？,"[""你觉得呢？它看起来像蛇吗？""]","What do you think? Did it look like a snake?
","[""What do you think? Did it look like a snake?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x45AF0; ENG blocks=0xD3750; ENG source rows=0xD3750#2; block_semantic_score=0.243100.
BRIEFING_FILES_BLOCK_045AF0,4,stream=0x45000;block=0xAF0;text=4,"[""stream=0x45000;block=0xAF0;text=4""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","蛇？　いや、蛇には見えなかったが。
","そうか…。やっぱりケツァルコアトルとは別なんだな。
","ケツァルコアトル？
",[],,,NOT_CHECKED,76,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_045AF0,5,stream=0x45000;block=0xAF0;text=5,"[""stream=0x45000;block=0xAF0;text=5""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","そうか…。やっぱりケツァルコアトルとは別なんだな。
","ケツァルコアトル？
","マヤ・アステカ文明に伝わる、羽のある蛇のことさ。
",[],,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,咦？不像，一点也不像蛇。,"[""咦？不像，一点也不像蛇。""]","Huh? No, it didn't look like a snake.
","[""Huh? No, it didn't look like a snake.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x45AF0; ENG blocks=0xD3750; ENG source rows=0xD3750#3; block_semantic_score=0.243100.
BRIEFING_FILES_BLOCK_045AF0,6,stream=0x45000;block=0xAF0;text=6,"[""stream=0x45000;block=0xAF0;text=6""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","ケツァルコアトル？
","マヤ・アステカ文明に伝わる、羽のある蛇のことさ。
","羽のある蛇…。
",[],,,NOT_CHECKED,73,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"哦，是吗？…那它肯定
和羽蛇神不一样。","[""哦，是吗？…那它肯定\n和羽蛇神不一样。""]","Oh, really? ...Must be different from the
quetzalcoatl, then.
","[""Oh, really? ...Must be different from the\nquetzalcoatl, then.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x45AF0; ENG blocks=0xD3750; ENG source rows=0xD3750#4; block_semantic_score=0.243100.
BRIEFING_FILES_BLOCK_045AF0,7,stream=0x45000;block=0xAF0;text=7,"[""stream=0x45000;block=0xAF0;text=7""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","マヤ・アステカ文明に伝わる、羽のある蛇のことさ。
","羽のある蛇…。
","変わってるだろ？　きっと<R=未確認動物,UMA>だぜ。
",[],,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,羽蛇神？,"[""羽蛇神？""]","Quetzalcoatl?
","[""Quetzalcoatl?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x45AF0; ENG blocks=0xD3750; ENG source rows=0xD3750#5; block_semantic_score=0.243100.
BRIEFING_FILES_BLOCK_045AF0,8,stream=0x45000;block=0xAF0;text=8,"[""stream=0x45000;block=0xAF0;text=8""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","羽のある蛇…。
","変わってるだろ？　きっと<R=未確認動物,UMA>だぜ。
","アマンダ達は、ケツァルコアトルはケツァールを神格化し
たんだなんて言うけど、蛇と鳥を見間違えるわけがない。
","[""<R=未確認動物,UMA>""]",,,NOT_CHECKED,69,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,很奇怪对吧？我打赌那是未知生物。,"[""很奇怪对吧？我打赌那是未知生物。""]","Weird, right? I bet it's a UMA.
","[""Weird, right? I bet it's a UMA.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x45AF0; ENG blocks=0xD3750; ENG source rows=0xD3750#8; block_semantic_score=0.243100.
BRIEFING_FILES_BLOCK_045AF0,9,stream=0x45000;block=0xAF0;text=9,"[""stream=0x45000;block=0xAF0;text=9""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","変わってるだろ？　きっと<R=未確認動物,UMA>だぜ。
","アマンダ達は、ケツァルコアトルはケツァールを神格化し
たんだなんて言うけど、蛇と鳥を見間違えるわけがない。
","むしろ、ケツァルコアトルを見た人が伝えた伝承が先にあ
って、ケツァールより先に神のイメージができたんじゃな
いかな？
",[],,,NOT_CHECKED,158,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"Amanda和大家都说，
羽蛇神是绿咬鹃化身的神。","[""Amanda和大家都说，\n羽蛇神是绿咬鹃化身的神。""]","Amanda and everybody says Quetzalcoatl is a
quetzal in the form of a god.
","[""Amanda and everybody says Quetzalcoatl is a\nquetzal in the form of a god.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x45AF0; ENG blocks=0xD3750; ENG source rows=0xD3750#9; block_semantic_score=0.243100.
BRIEFING_FILES_BLOCK_045AF0,10,stream=0x45000;block=0xAF0;text=10,"[""stream=0x45000;block=0xAF0;text=10""]",1,BRIEFING FILES,"[""stream=0x45000;block=0xAF0;block_file=0x45AF0;text_base=0x45B60;capacity=1696""]","アマンダ達は、ケツァルコアトルはケツァールを神格化し
たんだなんて言うけど、蛇と鳥を見間違えるわけがない。
","むしろ、ケツァルコアトルを見た人が伝えた伝承が先にあ
って、ケツァールより先に神のイメージができたんじゃな
いかな？
","それからそのあとに、その神のイメージに近い鳥ってこと
で、ケツァールが命名されたんだと思う。
",[],,,NOT_CHECKED,171,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"有人在见到绿咬鹃之前，
先看到了那个东西，并把它奉为神明。","[""有人在见到绿咬鹃之前，\n先看到了那个东西，并把它奉为神明。""]","Somebody saw it and adopted it as their god,
before they saw the quetzal.
","[""Somebody saw it and adopted it as their god,\nbefore they saw the quetzal.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x45AF0; ENG blocks=0xD3750; ENG source rows=0xD3750#12; block_semantic_score=0.243100.
