file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_003FD0,0,stream=0x3000;block=0xFD0;text=0,"[""stream=0x3000;block=0xFD0;text=0""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]",,"第二次大戦以降、世界規模の大戦がなくなったのは核兵器
誕生のためだと言われている。
","戦争になったら相手は核を撃つかもしれない。そう考える
と安易な武力衝突はできなくなる。
",[],,,NOT_CHECKED,122,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,自二战以来全球规模冲突的原因。,"[""自二战以来全球规模冲突的原因。""]","conflict on a global scale since World War II.
","[""conflict on a global scale since World War II.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3FD0; ENG blocks=0x984E0; ENG source rows=0x984E0#1; block_semantic_score=0.159477.
BRIEFING_FILES_BLOCK_003FD0,1,stream=0x3000;block=0xFD0;text=1,"[""stream=0x3000;block=0xFD0;text=1""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]","第二次大戦以降、世界規模の大戦がなくなったのは核兵器
誕生のためだと言われている。
","戦争になったら相手は核を撃つかもしれない。そう考える
と安易な武力衝突はできなくなる。
","特に<R=大陸間弾道ミサイル,ICBM>ができてからは、どこにいても安
心できなくなった。
",[],,,NOT_CHECKED,128,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,多少让人很难挑起武装冲突。,"[""多少让人很难挑起武装冲突。""]","sort of makes it tough to start an armed conflict.
","[""sort of makes it tough to start an armed conflict.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3FD0; ENG blocks=0x984E0; ENG source rows=0x984E0#3; block_semantic_score=0.159477.
BRIEFING_FILES_BLOCK_003FD0,2,stream=0x3000;block=0xFD0;text=2,"[""stream=0x3000;block=0xFD0;text=2""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]","戦争になったら相手は核を撃つかもしれない。そう考える
と安易な武力衝突はできなくなる。
","特に<R=大陸間弾道ミサイル,ICBM>ができてからは、どこにいても安
心できなくなった。
","そのぶん軍事費は膨れあがったが…。
","[""<R=大陸間弾道ミサイル,ICBM>""]",,,NOT_CHECKED,116,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"尤其是现在他们已经
有了洲际弹道导弹。","[""尤其是现在他们已经\n有了洲际弹道导弹。""]","Especially now that they've got inter-continental
ballistic missiles.
","[""Especially now that they've got inter-continental\nballistic missiles.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3FD0; ENG blocks=0x984E0; ENG source rows=0x984E0#4; block_semantic_score=0.159477.
BRIEFING_FILES_BLOCK_003FD0,3,stream=0x3000;block=0xFD0;text=3,"[""stream=0x3000;block=0xFD0;text=3""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]","特に<R=大陸間弾道ミサイル,ICBM>ができてからは、どこにいても安
心できなくなった。
","そのぶん軍事費は膨れあがったが…。
","先制攻撃を受けないためには、自分たちの核の力を誇示す
るしかないからな。
",[],,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"当然，这一切也导致了
军费开支的飙升…","[""当然，这一切也导致了\n军费开支的飙升…""]","Of course, all that has caused military expenditures
to skyrocket...
","[""Of course, all that has caused military expenditures\nto skyrocket...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3FD0; ENG blocks=0x984E0; ENG source rows=0x984E0#6; block_semantic_score=0.159477.
BRIEFING_FILES_BLOCK_003FD0,4,stream=0x3000;block=0xFD0;text=4,"[""stream=0x3000;block=0xFD0;text=4""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]","そのぶん軍事費は膨れあがったが…。
","先制攻撃を受けないためには、自分たちの核の力を誇示す
るしかないからな。
","おかげで核兵器の威力は飛躍的に進歩した。
",[],,,NOT_CHECKED,107,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"唉，要防范先发制人的打击，
唯一的办法就是炫耀自己的核武库。","[""唉，要防范先发制人的打击，\n唯一的办法就是炫耀自己的核武库。""]","Well, the only way to ward off a preemptive strike
is to flaunt your own nuclear stockpile.
","[""Well, the only way to ward off a preemptive strike\nis to flaunt your own nuclear stockpile.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3FD0; ENG blocks=0x984E0; ENG source rows=0x984E0#7; block_semantic_score=0.159477.
BRIEFING_FILES_BLOCK_003FD0,5,stream=0x3000;block=0xFD0;text=5,"[""stream=0x3000;block=0xFD0;text=5""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]","先制攻撃を受けないためには、自分たちの核の力を誇示す
るしかないからな。
","おかげで核兵器の威力は飛躍的に進歩した。
","破壊力だけじゃない。遠く離れた目標に正確に命中させる
技術もだ。
",[],,,NOT_CHECKED,61,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"不只是破坏力，
瞄准技术方面也是如此。","[""不只是破坏力，\n瞄准技术方面也是如此。""]","Not just with regards to destructive power, but in
terms of targeting technology, too.
","[""Not just with regards to destructive power, but in\nterms of targeting technology, too.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3FD0; ENG blocks=0x984E0; ENG source rows=0x984E0#9; block_semantic_score=0.159477.
BRIEFING_FILES_BLOCK_003FD0,6,stream=0x3000;block=0xFD0;text=6,"[""stream=0x3000;block=0xFD0;text=6""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]","おかげで核兵器の威力は飛躍的に進歩した。
","破壊力だけじゃない。遠く離れた目標に正確に命中させる
技術もだ。
","宇宙開発競争はそのデモンストレーションでもあった。
",[],,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"现在他们能精确打击地球
另一端的目标。","[""现在他们能精确打击地球\n另一端的目标。""]","Now they can hit a target halfway across the
world with pinpoint accuracy.
","[""Now they can hit a target halfway across the\nworld with pinpoint accuracy.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3FD0; ENG blocks=0x984E0; ENG source rows=0x984E0#10; block_semantic_score=0.159477.
BRIEFING_FILES_BLOCK_003FD0,7,stream=0x3000;block=0xFD0;text=7,"[""stream=0x3000;block=0xFD0;text=7""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]","破壊力だけじゃない。遠く離れた目標に正確に命中させる
技術もだ。
","宇宙開発競争はそのデモンストレーションでもあった。
","その結果が<R=相互確証破壊,MAD>か。
",[],,,NOT_CHECKED,76,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"从某种意义上说，太空竞赛就是
那种技术进步的一个展示。","[""从某种意义上说，太空竞赛就是\n那种技术进步的一个展示。""]","In a way, the space race was a demonstration of
that technological progress.
","[""In a way, the space race was a demonstration of\nthat technological progress.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3FD0; ENG blocks=0x984E0; ENG source rows=0x984E0#11; block_semantic_score=0.159477.
BRIEFING_FILES_BLOCK_003FD0,8,stream=0x3000;block=0xFD0;text=8,"[""stream=0x3000;block=0xFD0;text=8""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]","宇宙開発競争はそのデモンストレーションでもあった。
","その結果が<R=相互確証破壊,MAD>か。
","核抑止の究極形だ。撃ち返されて自滅することがわかって
いれば誰も核なんて撃たない。
","[""<R=相互確証破壊,MAD>""]",,,NOT_CHECKED,48,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"而这一切的结果，
就是我们现在有了相互保证的毁灭…","[""而这一切的结果，\n就是我们现在有了相互保证的毁灭…""]","And as a result of all that, we now have mutually
assured destruction...
","[""And as a result of all that, we now have mutually\nassured destruction...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3FD0; ENG blocks=0x984E0; ENG source rows=0x984E0#12; block_semantic_score=0.159477.
BRIEFING_FILES_BLOCK_003FD0,9,stream=0x3000;block=0xFD0;text=9,"[""stream=0x3000;block=0xFD0;text=9""]",1,BRIEFING FILES,"[""stream=0x3000;block=0xFD0;block_file=0x3FD0;text_base=0x401C;capacity=1040""]","その結果が<R=相互確証破壊,MAD>か。
","核抑止の究極形だ。撃ち返されて自滅することがわかって
いれば誰も核なんて撃たない。
","…わからんぞ。誰かが間違って核のボタンを押す可能性も
ゼロじゃない。
",[],,,NOT_CHECKED,122,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"这是威慑力的终极形态。没人会在明知自己会遭到毁灭性
报复的情况下，去发射核弹。","[""这是威慑力的终极形态。没人会在明知自己会遭到毁灭性\n报复的情况下，去发射核弹。""]","It's the ultimate form of deterrence.
No one's going to launch their nukes knowing
they'll be obliterated in return.
","[""It's the ultimate form of deterrence.\nNo one's going to launch their nukes knowing\nthey'll be obliterated in return.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x3FD0; ENG blocks=0x984E0,0x984E0; ENG source rows=0x984E0#13,0x984E0#14; block_semantic_score=0.159477."
