file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_05DD90,0,stream=0x5D000;block=0xD90;text=0,"[""stream=0x5D000;block=0xD90;text=0""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]",,"雲霧林と言えばヒゲドリも有名ね。
","ヒゲドリ？　髭でも生えてるのか？
",[],说到云雾林，三肉垂钟雀，也就是“胡须鸟”也很有名。,,MATCH,49,75,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05DD90,1,stream=0x5D000;block=0xD90;text=1,"[""stream=0x5D000;block=0xD90;text=1""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]","雲霧林と言えばヒゲドリも有名ね。
","ヒゲドリ？　髭でも生えてるのか？
","スネーク、あなたのお髭と一緒よ。
",[],胡须鸟？它还长胡子吗？,,MATCH,49,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05DD90,2,stream=0x5D000;block=0xD90;text=2,"[""stream=0x5D000;block=0xD90;text=2""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]","ヒゲドリ？　髭でも生えてるのか？
","スネーク、あなたのお髭と一緒よ。
","は？
",[],Snake，跟你的胡子一样哦。,,MATCH,49,35,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05DD90,3,stream=0x5D000;block=0xD90;text=3,"[""stream=0x5D000;block=0xD90;text=3""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]","スネーク、あなたのお髭と一緒よ。
","は？
","まあ正確には毛じゃなくて肉垂れだけど、見た目は髭その
もの。
",[],哈？,,MATCH,7,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05DD90,4,stream=0x5D000;block=0xD90;text=4,"[""stream=0x5D000;block=0xD90;text=4""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]","は？
","まあ正確には毛じゃなくて肉垂れだけど、見た目は髭その
もの。
","肉垂れ？
",[],准确来说那不是毛，而是肉垂，不过看上去简直就是胡子。,,MATCH,89,78,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05DD90,5,stream=0x5D000;block=0xD90;text=5,"[""stream=0x5D000;block=0xD90;text=5""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]","まあ正確には毛じゃなくて肉垂れだけど、見た目は髭その
もの。
","肉垂れ？
","うん。しかもオスにしか生えない。
",[],肉垂？,,MATCH,13,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05DD90,6,stream=0x5D000;block=0xD90;text=6,"[""stream=0x5D000;block=0xD90;text=6""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]","肉垂れ？
","うん。しかもオスにしか生えない。
","結構なことだ。髭は男の命だからな。そいつも雲霧林にい
るのか？
",[],嗯，而且只有雄鸟才有。,,MATCH,49,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05DD90,7,stream=0x5D000;block=0xD90;text=7,"[""stream=0x5D000;block=0xD90;text=7""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]","うん。しかもオスにしか生えない。
","結構なことだ。髭は男の命だからな。そいつも雲霧林にい
るのか？
","普段は低地の熱帯雨林にいるけど、繁殖期になると高地の
雲霧林に移るの。
",[],很好。胡子可是男人的命。那家伙也生活在云雾林吗？,,MATCH,92,72,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05DD90,8,stream=0x5D000;block=0xD90;text=8,"[""stream=0x5D000;block=0xD90;text=8""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]","結構なことだ。髭は男の命だからな。そいつも雲霧林にい
るのか？
","普段は低地の熱帯雨林にいるけど、繁殖期になると高地の
雲霧林に移るの。
","それからヒゲドリは、ともかく鳴き声が大きいので有名よ。
それもボーンとかキーンとか金属的な音で、ちょっと鳥の
声には聞こえない感じなの。
",[],平时生活在低地热带雨林，不过到了繁殖期就会迁往高地云雾林。,,MATCH,104,87,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05DD90,9,stream=0x5D000;block=0xD90;text=9,"[""stream=0x5D000;block=0xD90;text=9""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0xD90;block_file=0x5DD90;text_base=0x5DDE0;capacity=852""]","普段は低地の熱帯雨林にいるけど、繁殖期になると高地の
雲霧林に移るの。
","それからヒゲドリは、ともかく鳴き声が大きいので有名よ。
それもボーンとかキーンとか金属的な音で、ちょっと鳥の
声には聞こえない感じなの。
","さすがの私も、あの鳴き声はちょっとマネできないわ。
",[],"另外，胡须鸟还以叫声特别响亮而闻名。
声音是“砰——”“锵——”这种金属般的音色，听起来都不像鸟叫。",,MATCH,201,148,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
