file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AF9AD,0,0,0,1,,page1934:tag8:entity9:key00000009:ref0:ord0,,次に「核を自分からは絶対に撃たないこと」,まず「核を持っていること」,,,,NOT_CHECKED,60,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,1,1,1,1,,page1934:tag8:entity8:key00000008:ref1:ord0,次に「核を自分からは絶対に撃たないこと」,まず「核を持っていること」,核抑止力を実証するためには『核抑止の三原則』が必要だ,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,2,2,2,1,,page1934:tag8:entity7:key00000007:ref2:ord0,まず「核を持っていること」,核抑止力を実証するためには『核抑止の三原則』が必要だ,"だが『完全なる抑止力』を誕生させるためには 
私達の力を世界に向けて証明する必要があるのだ",,,,NOT_CHECKED,78,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,3,3,3,1,,page1934:tag8:entity6:key00000006:ref3:ord0,核抑止力を実証するためには『核抑止の三原則』が必要だ,"だが『完全なる抑止力』を誕生させるためには 
私達の力を世界に向けて証明する必要があるのだ",だから 僕は開発に協力したんだ,,,,NOT_CHECKED,131,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,4,4,4,1,,page1934:tag8:entity5:key00000005:ref4:ord0,"だが『完全なる抑止力』を誕生させるためには 
私達の力を世界に向けて証明する必要があるのだ",だから 僕は開発に協力したんだ,私達の目標は『完全なる抑止力』の実現にある,,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,5,5,5,1,,page1934:tag8:entity4:key00000004:ref5:ord0,だから 僕は開発に協力したんだ,私達の目標は『完全なる抑止力』の実現にある,そうだ その考え方には異論はない,,,,NOT_CHECKED,63,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,6,6,6,1,,page1934:tag8:entity3:key00000003:ref6:ord0,私達の目標は『完全なる抑止力』の実現にある,そうだ その考え方には異論はない,撃たせないための抑止力を創る そういう約束だったろ？,,,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,7,7,7,1,,page1934:tag8:entity2:key00000002:ref7:ord0,そうだ その考え方には異論はない,撃たせないための抑止力を創る そういう約束だったろ？,"だからどうしても 
実際に核を撃てることを見せてやる必要があるのだ",,,,NOT_CHECKED,76,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,8,8,8,1,,page1934:tag8:entity14:key0000000E:ref8:ord0,撃たせないための抑止力を創る そういう約束だったろ？,"だからどうしても 
実際に核を撃てることを見せてやる必要があるのだ","私達の新しい抑止力が
世界に受け入れられたことにはならない",,,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,9,9,9,1,,page1934:tag8:entity13:key0000000D:ref9:ord0,"だからどうしても 
実際に核を撃てることを見せてやる必要があるのだ","私達の新しい抑止力が
世界に受け入れられたことにはならない",この3つを完全に実行出来ることを 証明しなければ,,,,NOT_CHECKED,85,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,10,10,10,1,,page1934:tag8:entity12:key0000000C:ref10:ord0,"私達の新しい抑止力が
世界に受け入れられたことにはならない",この3つを完全に実行出来ることを 証明しなければ,「核を撃たれたら 絶対に核を撃ち返す」ことだ,,,,NOT_CHECKED,68,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,11,11,11,1,,page1934:tag8:entity11:key0000000B:ref11:ord0,この3つを完全に実行出来ることを 証明しなければ,「核を撃たれたら 絶対に核を撃ち返す」ことだ,そして最も重要なのは…,,,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,12,12,12,1,,page1934:tag8:entity10:key0000000A:ref12:ord0,「核を撃たれたら 絶対に核を撃ち返す」ことだ,そして最も重要なのは…,もういい 変更は決定事項だ,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,13,13,13,1,,page1934:tag8:entity1:key00000001:ref13:ord0,そして最も重要なのは…,もういい 変更は決定事項だ,待ってくれ！　話が違う！,,,,NOT_CHECKED,37,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,14,14,14,1,,page1934:tag8:entity0:key00000000:ref14:ord0,もういい 変更は決定事項だ,待ってくれ！　話が違う！,僕の創造物に そんな事はさせない！,,,,NOT_CHECKED,36,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,15,15,15,1,,page1934:tag8:entity17:key00000002:ref15:ord0,待ってくれ！　話が違う！,僕の創造物に そんな事はさせない！,そうだ そのために私達が人類最後の核を撃つのだ！,,,,NOT_CHECKED,49,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,16,16,16,1,,page1934:tag8:entity16:key00000001:ref16:ord0,僕の創造物に そんな事はさせない！,そうだ そのために私達が人類最後の核を撃つのだ！,決して…核が使われないのが抑止力じゃないのか…！,,,,NOT_CHECKED,70,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,17,17,17,1,,page1934:tag8:entity15:key00000000:ref17:ord0,そうだ そのために私達が人類最後の核を撃つのだ！,決して…核が使われないのが抑止力じゃないのか…！,"科学と 安全保障の世界で 
人類の歴史に名を残す事になる！",,,,NOT_CHECKED,72,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,18,18,18,1,,page1934:tag8:entity27:key00000009:ref18:ord0,決して…核が使われないのが抑止力じゃないのか…！,"科学と 安全保障の世界で 
人類の歴史に名を残す事になる！","これが成功すれば お前はこの学会を 
大手を振って歩くことができる",,,,NOT_CHECKED,81,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,19,19,19,1,,page1934:tag8:entity26:key00000008:ref19:ord0,"科学と 安全保障の世界で 
人類の歴史に名を残す事になる！","これが成功すれば お前はこの学会を 
大手を振って歩くことができる",盗作の件も黙っていればいい事だ,,,,NOT_CHECKED,93,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,20,20,20,1,,page1934:tag8:entity25:key00000007:ref20:ord0,"これが成功すれば お前はこの学会を 
大手を振って歩くことができる",盗作の件も黙っていればいい事だ,博士 いいか！　私の言う通りに 大人しくしてるんだ,,,,NOT_CHECKED,45,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,21,21,21,1,,page1934:tag8:entity24:key00000006:ref21:ord0,盗作の件も黙っていればいい事だ,博士 いいか！　私の言う通りに 大人しくしてるんだ,"…盗作？　違う 元はと言えば二足歩行の
アイデアはあんたが東側から盗んできたんじゃないか！？",,,,NOT_CHECKED,71,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,22,22,22,1,,page1934:tag8:entity23:key00000005:ref22:ord0,博士 いいか！　私の言う通りに 大人しくしてるんだ,"…盗作？　違う 元はと言えば二足歩行の
アイデアはあんたが東側から盗んできたんじゃないか！？",　,,,,NOT_CHECKED,134,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,23,23,23;24;31;32;38;39;43;51,8,,page1934:tag8:entity22:key00000004:ref23:ord0;page1934:tag8:entity21:key00000003:ref24:ord0;page1934:tag8:entity38:key00000007:ref31:ord0;page1934:tag8:entity37:key00000006:ref32:ord0;page1934:tag8:entity31:key00000000:ref38:ord0;page1934:tag8:entity39:key00000000:ref39:ord0;page1934:tag8:entity40:key00000000:ref43:ord0;page1934:tag8:entity51:key00000000:ref51:ord0,"…盗作？　違う 元はと言えば二足歩行の
アイデアはあんたが東側から盗んできたんじゃないか！？",　,盗作だろうが？,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=8
5D3AF9AD,24,25,25,1,,page1934:tag8:entity20:key00000002:ref25:ord0,　,盗作だろうが？,"実際に 撃てる事を証明出来なければ 
このピースウォーカーは抑止力にはならない",,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,25,26,26,1,,page1934:tag8:entity30:key0000000C:ref26:ord0,盗作だろうが？,"実際に 撃てる事を証明出来なければ 
このピースウォーカーは抑止力にはならない",博士！,,,,NOT_CHECKED,111,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,26,27,27,1,,page1934:tag8:entity29:key0000000B:ref27:ord0,"実際に 撃てる事を証明出来なければ 
このピースウォーカーは抑止力にはならない",博士！,そんなのは御免だ！,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,27,28,28,1,,page1934:tag8:entity28:key0000000A:ref28:ord0,博士！,そんなのは御免だ！,…そもそも アレはお前のアイデアではない,,,,NOT_CHECKED,27,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,28,29,29,1,,page1934:tag8:entity19:key00000001:ref29:ord0,そんなのは御免だ！,…そもそも アレはお前のアイデアではない,創造物？  ,,,,NOT_CHECKED,58,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF9AD,29,30,30,1,,page1934:tag8:entity18:key00000000:ref30:ord0,…そもそも アレはお前のアイデアではない,創造物？  ,　,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
