file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D24C900,0,0,0,1,,page52:tag6:entity4:key001ACB4F:ref0:ord0,,USER NAME,SEARCH HOST,,USER NAME,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_UI_IDENTITY_PRESERVED_EXACTLY
5D24C900,1,1,1,1,,page52:tag6:entity1:key000A39AC:ref1:ord0,USER NAME,SEARCH HOST,CREATE HOST,,SEARCH HOST,,MATCH,11,11,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_UI_IDENTITY_PRESERVED_EXACTLY; AUX_HOST_SEARCH_REORDERING_REJECTED
5D24C900,2,2,2,1,,page52:tag6:entity24:key00E03D5F:ref2:ord0,SEARCH HOST,CREATE HOST,TRADE,,CREATE HOST,,MATCH,11,11,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_UI_IDENTITY_PRESERVED_EXACTLY
5D24C900,3,3,3,1,,page52:tag6:entity22:key00D737CC:ref3:ord0,CREATE HOST,TRADE,TRADE LOBBY,,TRADE,,MATCH,5,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_UI_IDENTITY_PRESERVED_EXACTLY
5D24C900,4,4,4,1,,page52:tag6:entity11:key005F03F5:ref4:ord0,TRADE,TRADE LOBBY,  SEARCH HOST,,TRADE LOBBY,,MATCH,11,11,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_UI_IDENTITY_PRESERVED_EXACTLY
5D24C900,5,5,5,1,,page52:tag6:entity23:key00DEC424:ref5:ord0,TRADE LOBBY,  SEARCH HOST,他のプレイヤーとスタッフをトレードします。,,  SEARCH HOST,,MATCH,13,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_TWO_LEADING_ASCII_SPACES_AND_FIXED_UI_IDENTITY_PRESERVED
5D24C900,6,6,6,1,,page52:tag6:entity14:key008715D3:ref6:ord0,  SEARCH HOST,他のプレイヤーとスタッフをトレードします。,トレードを行う相手を選んでください。『SEARCH HOST』でチャンネルの変更が行えます。,,与其他玩家交易人员。,,MATCH,63,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_STAFF_TRADE_DESCRIPTION_LOCALIZED; PERIOD_PRESERVED
5D24C900,7,7,7,1,,page52:tag6:entity21:key00D71EB4:ref7:ord0,他のプレイヤーとスタッフをトレードします。,トレードを行う相手を選んでください。『SEARCH HOST』でチャンネルの変更が行えます。,チャンネルを選択してください。,,请选择要进行交易的对象。可通过『SEARCH HOST』切换频道。,,MATCH,116,77,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_SEARCH_HOST_FIXED_IDENTITY_AND_CORNER_QUOTES_PRESERVED; TWO_SENTENCE_SEMANTICS_PRESERVED
5D24C900,8,8,8;27,2,,page52:tag6:entity28:key00F2450A:ref8:ord0;page52:tag6:entity13:key0085C256:ref27:ord0,トレードを行う相手を選んでください。『SEARCH HOST』でチャンネルの変更が行えます。,チャンネルを選択してください。, ,,请选择频道。,,MATCH,45,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_CHANNEL_SELECTION_PROMPT_LOCALIZED
5D24C900,9,9,9;10,2,,page52:tag6:entity26:key00E5CB1A:ref9:ord0;page52:tag6:entity25:key00E5CB19:ref10:ord0,チャンネルを選択してください。, ,　,, ,,MATCH,1,1,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_EXACT_SINGLE_ASCII_SPACE_PLACEHOLDER_PRESERVED; AUX_EMPTY_REJECTED
