file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_02FE70,0,stream=0x2F000;block=0xE70;text=0,"[""stream=0x2F000;block=0xE70;text=0""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]",,"<R=蛙,ソモサ>一家がニカラグアを牛耳るようになってから、もう40年
にもなる。
","<R=国家警備隊,グァルディア>を使って、やりたい放題よ。
","[""<R=蛙,ソモサ>""]","<R=蛤蟆,SOMOZA>一家掌控尼加拉瓜，已经有40年了。","<R=蛤蟆,SOMOZA>",MATCH,108,64,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_INSULT_WORDPLAY_PRESERVED
BRIEFING_FILES_BLOCK_02FE70,1,stream=0x2F000;block=0xE70;text=1,"[""stream=0x2F000;block=0xE70;text=1""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]","<R=蛙,ソモサ>一家がニカラグアを牛耳るようになってから、もう40年
にもなる。
","<R=国家警備隊,グァルディア>を使って、やりたい放題よ。
","お前達も、<R=国家警備隊,グァルディア>に追われて<R=ここ,コスタリカ>へ来たと。
","[""<R=国家警備隊,グァルディア>""]","他们仗着<R=国民警卫队,LA GUARDIA>，想干什么就干什么。","<R=国民警卫队,LA GUARDIA>",MATCH,78,72,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_LOCALIZED_LATIN_READING;JPN_DO_AS_THEY_PLEASE_PRIMARY
BRIEFING_FILES_BLOCK_02FE70,2,stream=0x2F000;block=0xE70;text=2,"[""stream=0x2F000;block=0xE70;text=2""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]","<R=国家警備隊,グァルディア>を使って、やりたい放題よ。
","お前達も、<R=国家警備隊,グァルディア>に追われて<R=ここ,コスタリカ>へ来たと。
","ええ。奴らは何もかも奪った。土地も、家も、仕事も…。
","[""<R=国家警備隊,グァルディア>"", ""<R=ここ,コスタリカ>""]","你们也是被<R=国民警卫队,LA GUARDIA>追赶，才逃到<R=这里,COSTA RICA>来的吧。","<R=国民警卫队,LA GUARDIA> | <R=这里,COSTA RICA>",MATCH,110,96,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_LOCALIZED;COSTA_RICA_READING_PRESERVED
BRIEFING_FILES_BLOCK_02FE70,3,stream=0x2F000;block=0xE70;text=3,"[""stream=0x2F000;block=0xE70;text=3""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]","お前達も、<R=国家警備隊,グァルディア>に追われて<R=ここ,コスタリカ>へ来たと。
","ええ。奴らは何もかも奪った。土地も、家も、仕事も…。
","ソモサのものか。
",[],对。他们夺走了一切。土地、房子、工作……,,MATCH,79,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_02FE70,4,stream=0x2F000;block=0xE70;text=4,"[""stream=0x2F000;block=0xE70;text=4""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]","ええ。奴らは何もかも奪った。土地も、家も、仕事も…。
","ソモサのものか。
","そう。法律もね。判事だって抱き込まれてる。逆らえば殺
される。
",[],都成索摩查的了？,,MATCH,25,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_QUESTION_TONE_PRIMARY
BRIEFING_FILES_BLOCK_02FE70,5,stream=0x2F000;block=0xE70;text=5,"[""stream=0x2F000;block=0xE70;text=5""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]","ソモサのものか。
","そう。法律もね。判事だって抱き込まれてる。逆らえば殺
される。
","みんな<R=国家警備隊,グァルディア>の顔色を窺って生きてる。それでも、連
中の虫の居所が悪けりゃ殴られるけど。
",[],对，连法律也是。法官都被收买了。反抗就会被杀。,,MATCH,92,69,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_02FE70,6,stream=0x2F000;block=0xE70;text=6,"[""stream=0x2F000;block=0xE70;text=6""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]","そう。法律もね。判事だって抱き込まれてる。逆らえば殺
される。
","みんな<R=国家警備隊,グァルディア>の顔色を窺って生きてる。それでも、連
中の虫の居所が悪けりゃ殴られるけど。
","それで国を変えようと？
","[""<R=国家警備隊,グァルディア>""]","大家都得看<R=国民警卫队,LA GUARDIA>的脸色活着。
即便这样，只要他们心情不好，照样会挨打。","<R=国民警卫队,LA GUARDIA>",MATCH,157,124,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_LOCALIZED_LATIN_READING
BRIEFING_FILES_BLOCK_02FE70,7,stream=0x2F000;block=0xE70;text=7,"[""stream=0x2F000;block=0xE70;text=7""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]","みんな<R=国家警備隊,グァルディア>の顔色を窺って生きてる。それでも、連
中の虫の居所が悪けりゃ殴られるけど。
","それで国を変えようと？
","それだけじゃない。ソモサは、その権力を使って私腹を肥
やし続けてきた。
",[],所以你们才想改变这个国家？,,MATCH,34,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_QUESTION_TONE_PRIMARY
BRIEFING_FILES_BLOCK_02FE70,8,stream=0x2F000;block=0xE70;text=8,"[""stream=0x2F000;block=0xE70;text=8""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]","それで国を変えようと？
","それだけじゃない。ソモサは、その権力を使って私腹を肥
やし続けてきた。
","他人の土地を接収しては一族のものにして、今じゃ国の農
地の半分近くが、ソモサ一家に。
",[],不只是这样。索摩查一直利用手中的权力中饱私囊。,,MATCH,104,69,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_02FE70,9,stream=0x2F000;block=0xE70;text=9,"[""stream=0x2F000;block=0xE70;text=9""]",1,BRIEFING FILES,"[""stream=0x2F000;block=0xE70;block_file=0x2FE70;text_base=0x2FED4;capacity=1568""]","それだけじゃない。ソモサは、その権力を使って私腹を肥
やし続けてきた。
","他人の土地を接収しては一族のものにして、今じゃ国の農
地の半分近くが、ソモサ一家に。
","どうすることも出来なかった。だけど。
",[],"他们没收别人的土地，变成家族的财产。
如今全国近一半的农地都落到了索摩查一家手里。",,MATCH,125,121,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
