file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_MISSION_BLOCK_372F00,0,stream=0x372000;block=0xF00;text=0,"[""stream=0x372000;block=0xF00;text=0""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]",,"スネーク、博士の回収が完了した。
","ヒューイ、調子はどうだ？
",[],Snake，博士已经回收完毕。,,MATCH,49,35,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_372F00,1,stream=0x372000;block=0xF00;text=1,"[""stream=0x372000;block=0xF00;text=1""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]","スネーク、博士の回収が完了した。
","ヒューイ、調子はどうだ？
","快適だ。
…凄い所だね。見直したよ、ボス。
",[],Huey，感觉怎么样？,,MATCH,37,25,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_372F00,2,stream=0x372000;block=0xF00;text=2,"[""stream=0x372000;block=0xF00;text=2""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]","ヒューイ、調子はどうだ？
","快適だ。
…凄い所だね。見直したよ、ボス。
","スネークと呼べ。
",[],很舒服。……这里真厉害啊。Boss，我对你刮目相看了。,,MATCH,62,73,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_372F00,3,stream=0x372000;block=0xF00;text=3,"[""stream=0x372000;block=0xF00;text=3""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]","快適だ。
…凄い所だね。見直したよ、ボス。
","スネークと呼べ。
","そう言うけど、ここではみんな陰で“ボス”って
呼んでるよ。
",[],叫我Snake。,,MATCH,25,14,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_372F00,4,stream=0x372000;block=0xF00;text=4,"[""stream=0x372000;block=0xF00;text=4""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]","スネークと呼べ。
","そう言うけど、ここではみんな陰で“ボス”って
呼んでるよ。
","……。
",[],嘴上这么说，可这里大家私下都叫你“Boss”。,,MATCH,86,61,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_372F00,5,stream=0x372000;block=0xF00;text=5,"[""stream=0x372000;block=0xF00;text=5""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]","そう言うけど、ここではみんな陰で“ボス”って
呼んでるよ。
","……。
","ところでスネーク、
もしここの技術開発に力を入れたいなら、
是非僕を研究開発部門に配属してくれ。
",[],……。,,MATCH,10,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_372F00,6,stream=0x372000;block=0xF00;text=6,"[""stream=0x372000;block=0xF00;text=6""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]","……。
","ところでスネーク、
もしここの技術開発に力を入れたいなら、
是非僕を研究開発部門に配属してくれ。
","きっと役に立てる。
",[],"话说回来，Snake，如果你想加强这里的技术开发，
一定要把我分配到研发部门。",,MATCH,141,105,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_372F00,7,stream=0x372000;block=0xF00;text=7,"[""stream=0x372000;block=0xF00;text=7""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]","ところでスネーク、
もしここの技術開発に力を入れたいなら、
是非僕を研究開発部門に配属してくれ。
","きっと役に立てる。
","資材や設計図なんかの準備が整えば、
二足歩行メカの開発も始められるんだけど…。
",[],我一定能派上用场。,,MATCH,28,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_372F00,8,stream=0x372000;block=0xF00;text=8,"[""stream=0x372000;block=0xF00;text=8""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]","きっと役に立てる。
","資材や設計図なんかの準備が整えば、
二足歩行メカの開発も始められるんだけど…。
","それはありがたいが、いいのか？
科学が戦争に利用されても？
",[],"只要材料和设计图之类准备齐全，
就能开始开发双足步行机甲了……。",,MATCH,116,94,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_372F00,9,stream=0x372000;block=0xF00;text=9,"[""stream=0x372000;block=0xF00;text=9""]",1,d2230_m0170_mrd,"[""stream=0x372000;block=0xF00;block_file=0x372F00;text_base=0x372F60;capacity=1156""]","資材や設計図なんかの準備が整えば、
二足歩行メカの開発も始められるんだけど…。
","それはありがたいが、いいのか？
科学が戦争に利用されても？
","自分の過去の過ちを抑制する為に、使うんだ。
",[],"那当然帮大忙了，不过真的没关系吗？
就算科学被用于战争？",,MATCH,86,82,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
