file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_08FF20,0,stream=0x8F000;block=0xF20;text=0,"[""stream=0x8F000;block=0xF20;text=0""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]",,"ソ連の「ボストーク」に負けるわけにはいかない。
","NASAはテストの工程を大幅に省いて、飛行日程を繰り上
げることにした。
",[],绝不能输给苏联的“Vostok”。,,MATCH,70,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08FF20,1,stream=0x8F000;block=0xF20;text=1,"[""stream=0x8F000;block=0xF20;text=1""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]","ソ連の「ボストーク」に負けるわけにはいかない。
","NASAはテストの工程を大幅に省いて、飛行日程を繰り上
げることにした。
","ぎりぎりまで繰り上げて、発射時刻は翌日未明。<R=NASAの飛行場,ケープ・カナベラル>
では真夜中の発射になる。
",[],NASA决定大幅省略测试流程，把飞行日程提前。,,MATCH,99,61,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08FF20,2,stream=0x8F000;block=0xF20;text=2,"[""stream=0x8F000;block=0xF20;text=2""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]","NASAはテストの工程を大幅に省いて、飛行日程を繰り上
げることにした。
","ぎりぎりまで繰り上げて、発射時刻は翌日未明。<R=NASAの飛行場,ケープ・カナベラル>
では真夜中の発射になる。
","飛行コースは、東に最も移動距離が長いパターンが選ばれ
た。『窓』から少しでも地球の昼の部分が見えるように。
","[""<R=NASAの飛行場,ケープ・カナベラル>""]","他们把日程压到了极限，发射定在第二天凌晨。
对<R=NASA的发射场,CAPE CANAVERAL>来说，这将是一次午夜发射。","<R=NASA的发射场,CAPE CANAVERAL>",MATCH,152,141,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_08FF20,3,stream=0x8F000;block=0xF20;text=3,"[""stream=0x8F000;block=0xF20;text=3""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]","ぎりぎりまで繰り上げて、発射時刻は翌日未明。<R=NASAの飛行場,ケープ・カナベラル>
では真夜中の発射になる。
","飛行コースは、東に最も移動距離が長いパターンが選ばれ
た。『窓』から少しでも地球の昼の部分が見えるように。
","ザ・ボスも搭乗手続きを2割以上省略して、<R=宇宙船,マーキュリー>に乗り
込んだ。
",[],"飞行路线选择了向东移动距离最长的方案，
好让她至少能从“窗户”看到一点地球的白昼部分。",,MATCH,158,127,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08FF20,4,stream=0x8F000;block=0xF20;text=4,"[""stream=0x8F000;block=0xF20;text=4""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]","飛行コースは、東に最も移動距離が長いパターンが選ばれ
た。『窓』から少しでも地球の昼の部分が見えるように。
","ザ・ボスも搭乗手続きを2割以上省略して、<R=宇宙船,マーキュリー>に乗り
込んだ。
","時刻も、コースも危険。テストも不十分。でも、NASAに
選択の余地はなかった。
","[""<R=宇宙船,マーキュリー>""]","The Boss也省略了两成以上的登舱程序，直接进入<R=宇宙船,MERCURY>。","<R=宇宙船,MERCURY>",MATCH,113,86,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_08FF20,5,stream=0x8F000;block=0xF20;text=5,"[""stream=0x8F000;block=0xF20;text=5""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]","ザ・ボスも搭乗手続きを2割以上省略して、<R=宇宙船,マーキュリー>に乗り
込んだ。
","時刻も、コースも危険。テストも不十分。でも、NASAに
選択の余地はなかった。
","ザ・ボス自身、地球に帰れるとは思っていなかった。
",[],"无论发射时间还是航线都很危险，测试也不充分。
可是NASA已经别无选择。",,MATCH,108,98,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08FF20,6,stream=0x8F000;block=0xF20;text=6,"[""stream=0x8F000;block=0xF20;text=6""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]","時刻も、コースも危険。テストも不十分。でも、NASAに
選択の余地はなかった。
","ザ・ボス自身、地球に帰れるとは思っていなかった。
","二度とは帰れぬ旅。彼女の扱いは、あのライカ犬も同然だ
ったの。
",[],就连The Boss自己，也没想过还能回到地球。,,MATCH,73,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08FF20,7,stream=0x8F000;block=0xF20;text=7,"[""stream=0x8F000;block=0xF20;text=7""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]","ザ・ボス自身、地球に帰れるとは思っていなかった。
","二度とは帰れぬ旅。彼女の扱いは、あのライカ犬も同然だ
ったの。
","それでも彼女は<R=　船　,マーキュリー>に乗った。
",[],这是一趟无法归来的旅程。她受到的待遇，和那只莱卡犬没有两样。,,MATCH,92,90,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08FF20,8,stream=0x8F000;block=0xF20;text=8,"[""stream=0x8F000;block=0xF20;text=8""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]","二度とは帰れぬ旅。彼女の扱いは、あのライカ犬も同然だ
ったの。
","それでも彼女は<R=　船　,マーキュリー>に乗った。
","「誰かが最初の一人になるのだ。運命が私を選んだのなら、
受け入れよう。祖国のために。そして世界の均衡のために」。
","[""<R=　船　,マーキュリー>""]","即便如此，她还是登上了<R=船,MERCURY>。","<R=船,MERCURY>",MATCH,69,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_08FF20,9,stream=0x8F000;block=0xF20;text=9,"[""stream=0x8F000;block=0xF20;text=9""]",1,BRIEFING FILES,"[""stream=0x8F000;block=0xF20;block_file=0x8FF20;text_base=0x8FFA0;capacity=2504""]","それでも彼女は<R=　船　,マーキュリー>に乗った。
","「誰かが最初の一人になるのだ。運命が私を選んだのなら、
受け入れよう。祖国のために。そして世界の均衡のために」。
","そうザ・ボスは言っていた。
",[],"她说：“总要有人成为第一个。如果命运选择了我，那我就接受。
为了祖国，也为了世界的平衡。”",,MATCH,167,133,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
