file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_086E20,0,stream=0x86000;block=0xE20;text=0,"[""stream=0x86000;block=0xE20;text=0""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]",,"マザーベースでちょっとしたお祭りが行われることになっ
た。
","普段戦いに明け暮れているスネークたちが、年に一度くら
いはゆっくりと平和な日を過ごそうという趣旨らしい。
",[],Mother Base决定举办一场小小的庆典。,,MATCH,86,47,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_086E20,1,stream=0x86000;block=0xE20;text=1,"[""stream=0x86000;block=0xE20;text=1""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]","マザーベースでちょっとしたお祭りが行われることになっ
た。
","普段戦いに明け暮れているスネークたちが、年に一度くら
いはゆっくりと平和な日を過ごそうという趣旨らしい。
","話の経緯はよくわからないが、スネークとミラーの間でそ
ういう話になったのだという。
",[],"据说是因为Snake他们平日总在战斗，
至少一年一次，想悠闲地度过一个和平的日子。",,MATCH,155,111,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_086E20,2,stream=0x86000;block=0xE20;text=2,"[""stream=0x86000;block=0xE20;text=2""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]","普段戦いに明け暮れているスネークたちが、年に一度くら
いはゆっくりと平和な日を過ごそうという趣旨らしい。
","話の経緯はよくわからないが、スネークとミラーの間でそ
ういう話になったのだという。
","これにはみんなが賛成だった。娯楽の少ないマザーベース
だけに、誰もがイベントは歓迎なのだろう。
",[],"我不太清楚事情的来龙去脉，
只听说Snake和Miller商量后就这么决定了。",,MATCH,122,93,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_086E20,3,stream=0x86000;block=0xE20;text=3,"[""stream=0x86000;block=0xE20;text=3""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]","話の経緯はよくわからないが、スネークとミラーの間でそ
ういう話になったのだという。
","これにはみんなが賛成だった。娯楽の少ないマザーベース
だけに、誰もがイベントは歓迎なのだろう。
","しかし、それはいいとして、いつの間にか私が歌を歌うこ
とになっているとは…。
",[],"大家都赞成。
Mother Base本来就没多少娱乐，谁都会欢迎这种活动吧。",,MATCH,140,90,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_086E20,4,stream=0x86000;block=0xE20;text=4,"[""stream=0x86000;block=0xE20;text=4""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]","これにはみんなが賛成だった。娯楽の少ないマザーベース
だけに、誰もがイベントは歓迎なのだろう。
","しかし、それはいいとして、いつの間にか私が歌を歌うこ
とになっているとは…。
","「俺たちは名前が同じじゃないか。平和ってことで」とミ
ラーは言った。
",[],这倒是无所谓，可我怎么不知不觉间也被安排上台唱歌了……。,,MATCH,113,84,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_086E20,5,stream=0x86000;block=0xE20;text=5,"[""stream=0x86000;block=0xE20;text=5""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]","しかし、それはいいとして、いつの間にか私が歌を歌うこ
とになっているとは…。
","「俺たちは名前が同じじゃないか。平和ってことで」とミ
ラーは言った。
","「あとザドルノフの奴も、平和にちなんだ名前だろ？」。
",[],Miller说：“我们的名字意思不是一样嘛——都是‘和平’。”,,MATCH,101,81,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_086E20,6,stream=0x86000;block=0xE20;text=6,"[""stream=0x86000;block=0xE20;text=6""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]","「俺たちは名前が同じじゃないか。平和ってことで」とミ
ラーは言った。
","「あとザドルノフの奴も、平和にちなんだ名前だろ？」。
","「せっかくの平和の日だし、平和トリオってことでバンド
でもやろうぜ」――というのがミラーの主張だった。
",[],“还有Zadornov那家伙，他的名字不也和和平有关吗？”,,MATCH,79,71,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_086E20,7,stream=0x86000;block=0xE20;text=7,"[""stream=0x86000;block=0xE20;text=7""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]","「あとザドルノフの奴も、平和にちなんだ名前だろ？」。
","「せっかくの平和の日だし、平和トリオってことでバンド
でもやろうぜ」――というのがミラーの主張だった。
","私の意見を確認もせず、ミラーはみんなにその話をしてし
まっており、私が歌うことはすでに確定事項になっていた。
",[],"Miller的主张是：“难得有个和平日，
就以‘和平三人组’的名义组个乐队吧。”",,MATCH,152,106,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_086E20,8,stream=0x86000;block=0xE20;text=8,"[""stream=0x86000;block=0xE20;text=8""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]","「せっかくの平和の日だし、平和トリオってことでバンド
でもやろうぜ」――というのがミラーの主張だった。
","私の意見を確認もせず、ミラーはみんなにその話をしてし
まっており、私が歌うことはすでに確定事項になっていた。
","どうやらミラーは、私が以前甲板で歌っていた声を耳にし
て、それ以来バンドをやりたいと考えていたようだった。
",[],"Miller连我的意见都没问，就已经把这件事告诉了所有人，
于是我唱歌也成了板上钉钉的事。",,MATCH,161,121,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_086E20,9,stream=0x86000;block=0xE20;text=9,"[""stream=0x86000;block=0xE20;text=9""]",1,BRIEFING FILES,"[""stream=0x86000;block=0xE20;block_file=0x86E20;text_base=0x86EA0;capacity=2416""]","私の意見を確認もせず、ミラーはみんなにその話をしてし
まっており、私が歌うことはすでに確定事項になっていた。
","どうやらミラーは、私が以前甲板で歌っていた声を耳にし
て、それ以来バンドをやりたいと考えていたようだった。
","兵士達の期待も高く、今さら断れそうにもない。
",[],看来Miller以前听到过我在甲板上唱歌，从那以后就一直想组乐队。,,MATCH,158,87,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
