file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_07A0B0,0,stream=0x7A000;block=0xB0;text=0,"[""stream=0x7A000;block=0xB0;text=0""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]",,"私は彼女の搭乗に反対した。宇宙線の遮断が不十分だとレ
ポートを書いて提出した。
","だが、上層部の答えはこうだった「<R=彼女,ザ・ボス>は、ネヴァダで既
に被曝している。だから適任だ」。
",[],我反对让她登上飞船。我提交了一份报告，指出宇宙射线屏蔽不足。,,MATCH,116,90,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,1,stream=0x7A000;block=0xB0;text=1,"[""stream=0x7A000;block=0xB0;text=1""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","私は彼女の搭乗に反対した。宇宙線の遮断が不十分だとレ
ポートを書いて提出した。
","だが、上層部の答えはこうだった「<R=彼女,ザ・ボス>は、ネヴァダで既
に被曝している。だから適任だ」。
","あまりに不合理だった。被曝が蓄積されれば、危険度はよ
り高まる。
","[""<R=彼女,ザ・ボス>""]","但高层的回答是：“<R=她,THE BOSS>已经在内华达遭受过辐射，所以她正合适。”","<R=她,THE BOSS>",MATCH,145,103,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_07A0B0,2,stream=0x7A000;block=0xB0;text=2,"[""stream=0x7A000;block=0xB0;text=2""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","だが、上層部の答えはこうだった「<R=彼女,ザ・ボス>は、ネヴァダで既
に被曝している。だから適任だ」。
","あまりに不合理だった。被曝が蓄積されれば、危険度はよ
り高まる。
","だが、スプートニク・ショックから立ち直れない政府の連
中に、理性的な判断は望むべくもなかった。彼らはそれほ
どまでに焦っていた。
",[],这太荒谬了。辐射会累积，暴露得越多，风险只会越高。,,MATCH,95,75,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,3,stream=0x7A000;block=0xB0;text=3,"[""stream=0x7A000;block=0xB0;text=3""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","あまりに不合理だった。被曝が蓄積されれば、危険度はよ
り高まる。
","だが、スプートニク・ショックから立ち直れない政府の連
中に、理性的な判断は望むべくもなかった。彼らはそれほ
どまでに焦っていた。
","ヒトは目に見えないものに、余りにも鈍感だ。だが、私に
は身に沁みていた。
",[],可那些还没从Sputnik震撼中缓过来的政府官员，根本不可能做出理性判断。他们已经慌成那样了。,,MATCH,189,127,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,4,stream=0x7A000;block=0xB0;text=4,"[""stream=0x7A000;block=0xB0;text=4""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","だが、スプートニク・ショックから立ち直れない政府の連
中に、理性的な判断は望むべくもなかった。彼らはそれほ
どまでに焦っていた。
","ヒトは目に見えないものに、余りにも鈍感だ。だが、私に
は身に沁みていた。
","目に見えない紫外線が私の肌を灼くように、宇宙からの重
粒子線は、不可逆なダメージを人間に与えるだろう。
",[],人类对看不见的东西实在太迟钝了。但这点，我有切身体会。,,MATCH,107,81,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,5,stream=0x7A000;block=0xB0;text=5,"[""stream=0x7A000;block=0xB0;text=5""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","ヒトは目に見えないものに、余りにも鈍感だ。だが、私に
は身に沁みていた。
","目に見えない紫外線が私の肌を灼くように、宇宙からの重
粒子線は、不可逆なダメージを人間に与えるだろう。
","要は彼女を使い捨てにすると言うことだ。
",[],就像看不见的紫外线会灼伤我的皮肤一样，来自宇宙的重粒子辐射也会给人体造成不可逆的损伤。,,MATCH,152,129,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,6,stream=0x7A000;block=0xB0;text=6,"[""stream=0x7A000;block=0xB0;text=6""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","目に見えない紫外線が私の肌を灼くように、宇宙からの重
粒子線は、不可逆なダメージを人間に与えるだろう。
","要は彼女を使い捨てにすると言うことだ。
","飛行を控えた身体チェック。その際に私は、ザ・ボスの頭
蓋X線写真に、奇妙な点を見つけた。
",[],说到底，他们就是打算把她当成一次性消耗品。,,MATCH,58,63,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,7,stream=0x7A000;block=0xB0;text=7,"[""stream=0x7A000;block=0xB0;text=7""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","要は彼女を使い捨てにすると言うことだ。
","飛行を控えた身体チェック。その際に私は、ザ・ボスの頭
蓋X線写真に、奇妙な点を見つけた。
","大脳右半球の一部が欠損しているのだ。
",[],在飞行前的身体检查中，我在The Boss的头部X光片上发现了一个奇怪之处。,,MATCH,129,96,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,8,stream=0x7A000;block=0xB0;text=8,"[""stream=0x7A000;block=0xB0;text=8""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","飛行を控えた身体チェック。その際に私は、ザ・ボスの頭
蓋X線写真に、奇妙な点を見つけた。
","大脳右半球の一部が欠損しているのだ。
","彼女の聡明さと驚異的な身体能力からすれば不可解だった
が、ともかくも私はそれを報告することにした。
",[],她的大脑右半球有一部分缺失。,,MATCH,55,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,9,stream=0x7A000;block=0xB0;text=9,"[""stream=0x7A000;block=0xB0;text=9""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","大脳右半球の一部が欠損しているのだ。
","彼女の聡明さと驚異的な身体能力からすれば不可解だった
が、ともかくも私はそれを報告することにした。
","彼女の身体に異常が見つかれば、飛行は取りやめになると
思ったから。
",[],考虑到她的聪明才智和惊人的身体能力，这实在难以解释。无论如何，我决定把这件事报告上去。,,MATCH,146,129,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,10,stream=0x7A000;block=0xB0;text=10,"[""stream=0x7A000;block=0xB0;text=10""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","彼女の聡明さと驚異的な身体能力からすれば不可解だった
が、ともかくも私はそれを報告することにした。
","彼女の身体に異常が見つかれば、飛行は取りやめになると
思ったから。
","…だが、報告へ向かう私を、彼女自身が押しとどめた。
",[],因为我以为，只要发现她身体有异常，飞行就会被取消。,,MATCH,98,75,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,11,stream=0x7A000;block=0xB0;text=11,"[""stream=0x7A000;block=0xB0;text=11""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","彼女の身体に異常が見つかれば、飛行は取りやめになると
思ったから。
","…だが、報告へ向かう私を、彼女自身が押しとどめた。
","「なぜ？　このままモルモットになるつもりなの！？」。
",[],……但就在我准备去报告时，她本人拦住了我。,,MATCH,76,63,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,12,stream=0x7A000;block=0xB0;text=12,"[""stream=0x7A000;block=0xB0;text=12""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","…だが、報告へ向かう私を、彼女自身が押しとどめた。
","「なぜ？　このままモルモットになるつもりなの！？」。
","そう詰め寄る私を、彼女は研究所の屋上に誘った。
",[],“为什么？你就打算这样当他们的实验品吗！？”,,MATCH,79,66,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,13,stream=0x7A000;block=0xB0;text=13,"[""stream=0x7A000;block=0xB0;text=13""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","「なぜ？　このままモルモットになるつもりなの！？」。
","そう詰め寄る私を、彼女は研究所の屋上に誘った。
","満天の星空だった。そこで私は聞いたのだ。彼女が頭に傷
を負ったわけを。
",[],面对我的追问，她把我带上了研究所的屋顶。,,MATCH,70,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,14,stream=0x7A000;block=0xB0;text=14,"[""stream=0x7A000;block=0xB0;text=14""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","そう詰め寄る私を、彼女は研究所の屋上に誘った。
","満天の星空だった。そこで私は聞いたのだ。彼女が頭に傷
を負ったわけを。
","1943年、ロス・アラモス。
",[],那晚繁星满天。也就是在那里，我听她说起了头部受伤的原因。,,MATCH,104,84,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,15,stream=0x7A000;block=0xB0;text=15,"[""stream=0x7A000;block=0xB0;text=15""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","満天の星空だった。そこで私は聞いたのだ。彼女が頭に傷
を負ったわけを。
","1943年、ロス・アラモス。
","特殊部隊に所属していた彼女に、一つの指令が下った。
",[],1943年，洛斯阿拉莫斯。,,MATCH,35,31,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_07A0B0,16,stream=0x7A000;block=0xB0;text=16,"[""stream=0x7A000;block=0xB0;text=16""]",1,BRIEFING FILES,"[""stream=0x7A000;block=0xB0;block_file=0x7A0B0;text_base=0x7A1FC;capacity=8024""]","1943年、ロス・アラモス。
","特殊部隊に所属していた彼女に、一つの指令が下った。
","世界初の原爆開発を目指すマンハッタン計画。その科学者
の中に、ドイツのスパイがいる。その男を消せ、と。
",[],当时隶属于特种部队的她接到了一项命令。,,MATCH,76,57,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
