file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_04BE80,0,stream=0x4B000;block=0xE80;text=0,"[""stream=0x4B000;block=0xE80;text=0""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]",,"恐竜がゾンビになって人を襲ったという伝説もあるんだ。
","ゾンビ？　<R=生きる屍,リビング・デッド>か！？
",[],,,NOT_CHECKED,79,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你听说过有恐龙变成僵尸复活，然后袭击人类的传说吗？,"[""你听说过有恐龙变成僵尸复活，然后袭击人类的传说吗？""]","Have you heard the legend about the dinosaur that
came back to life as a zombie
and attacked people?
","[""Have you heard the legend about the dinosaur that\ncame back to life as a zombie\nand attacked people?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x4BE80; ENG blocks=0xD79A0,0xD79A0; ENG source rows=0xD79A0#0,0xD79A0#1; block_semantic_score=0.121823."
BRIEFING_FILES_BLOCK_04BE80,1,stream=0x4B000;block=0xE80;text=1,"[""stream=0x4B000;block=0xE80;text=1""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","恐竜がゾンビになって人を襲ったという伝説もあるんだ。
","ゾンビ？　<R=生きる屍,リビング・デッド>か！？
","ああ。恐竜が絶滅しても、ゾンビとして生き返ったという
のはあり得る話だ。
","[""<R=生きる屍,リビング・デッド>""]",,,NOT_CHECKED,66,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,僵尸？！你是说那种活死人？,"[""僵尸？！你是说那种活死人？""]","Zombie?! You mean the living dead?
","[""Zombie?! You mean the living dead?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x4BE80; ENG blocks=0xD79A0; ENG source rows=0xD79A0#2; block_semantic_score=0.121823.
BRIEFING_FILES_BLOCK_04BE80,2,stream=0x4B000;block=0xE80;text=2,"[""stream=0x4B000;block=0xE80;text=2""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","ゾンビ？　<R=生きる屍,リビング・デッド>か！？
","ああ。恐竜が絶滅しても、ゾンビとして生き返ったという
のはあり得る話だ。
","待て。恐竜かどうか以前に、そもそもゾンビ自体が現実に
は存在しない。
",[],,,NOT_CHECKED,107,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"是啊。恐龙可能已经灭绝了，但从理论上讲，
有一只变成僵尸复活是可能的。","[""是啊。恐龙可能已经灭绝了，但从理论上讲，\n有一只变成僵尸复活是可能的。""]","Yeah. Dinosaurs may be extinct,
but technically it would be possible for one to
come back to life as a zombie.
","[""Yeah. Dinosaurs may be extinct,\nbut technically it would be possible for one to\ncome back to life as a zombie.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x4BE80; ENG blocks=0xD79A0,0xD79A0; ENG source rows=0xD79A0#3,0xD79A0#4; block_semantic_score=0.121823."
BRIEFING_FILES_BLOCK_04BE80,3,stream=0x4B000;block=0xE80;text=3,"[""stream=0x4B000;block=0xE80;text=3""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","ああ。恐竜が絶滅しても、ゾンビとして生き返ったという
のはあり得る話だ。
","待て。恐竜かどうか以前に、そもそもゾンビ自体が現実に
は存在しない。
","しっかりしてくれよボス！　ハイチの農園じゃ長いことゾ
ンビに仕事をさせてたんだぞ。
",[],,,NOT_CHECKED,101,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"慢着。恐龙是真实存在过，
僵尸嘛…就不太靠谱了。","[""慢着。恐龙是真实存在过，\n僵尸嘛…就不太靠谱了。""]","Not so fast. Dinosaurs were real, zombies... not so
much.
","[""Not so fast. Dinosaurs were real, zombies... not so\nmuch.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x4BE80; ENG blocks=0xD79A0; ENG source rows=0xD79A0#5; block_semantic_score=0.121823.
BRIEFING_FILES_BLOCK_04BE80,4,stream=0x4B000;block=0xE80;text=4,"[""stream=0x4B000;block=0xE80;text=4""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","待て。恐竜かどうか以前に、そもそもゾンビ自体が現実に
は存在しない。
","しっかりしてくれよボス！　ハイチの農園じゃ長いことゾ
ンビに仕事をさせてたんだぞ。
","古来、ハイチにはゾンビパウダーという秘薬が伝わってる
んだ。
",[],,,NOT_CHECKED,122,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"你在说什么啊，Boss！在海地的种植园里，
多年来一直有僵尸被当作奴隶使用。","[""你在说什么啊，Boss！在海地的种植园里，\n多年来一直有僵尸被当作奴隶使用。""]","What are you talking about, Boss!
Zombies have been used as slaves on Haitian
plantations for years.
","[""What are you talking about, Boss!\nZombies have been used as slaves on Haitian\nplantations for years.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x4BE80; ENG blocks=0xD79A0,0xD79A0; ENG source rows=0xD79A0#6,0xD79A0#7; block_semantic_score=0.121823."
BRIEFING_FILES_BLOCK_04BE80,5,stream=0x4B000;block=0xE80;text=5,"[""stream=0x4B000;block=0xE80;text=5""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","しっかりしてくれよボス！　ハイチの農園じゃ長いことゾ
ンビに仕事をさせてたんだぞ。
","古来、ハイチにはゾンビパウダーという秘薬が伝わってる
んだ。
","…そうなのか？
",[],,,NOT_CHECKED,89,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"在海地，一种秘密的僵尸
粉末已经世代相传。","[""在海地，一种秘密的僵尸\n粉末已经世代相传。""]","In Haiti they've handed down a secret zombie
powder for generations.
","[""In Haiti they've handed down a secret zombie\npowder for generations.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x4BE80; ENG blocks=0xD79A0; ENG source rows=0xD79A0#8; block_semantic_score=0.121823.
BRIEFING_FILES_BLOCK_04BE80,6,stream=0x4B000;block=0xE80;text=6,"[""stream=0x4B000;block=0xE80;text=6""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","古来、ハイチにはゾンビパウダーという秘薬が伝わってる
んだ。
","…そうなのか？
","きっと古代人がゾンビパウダーを使って、恐竜をゾンビに
したんだろうな。
",[],,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,…真的假的？,"[""…真的假的？""]","...Really?
","[""...Really?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x4BE80; ENG blocks=0xD79A0; ENG source rows=0xD79A0#9; block_semantic_score=0.121823.
BRIEFING_FILES_BLOCK_04BE80,7,stream=0x4B000;block=0xE80;text=7,"[""stream=0x4B000;block=0xE80;text=7""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","…そうなのか？
","きっと古代人がゾンビパウダーを使って、恐竜をゾンビに
したんだろうな。
","いや、人類が誕生したときにはすでに恐竜は…。
",[],,,NOT_CHECKED,104,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"很久以前的人一定把同样的
东西用在了恐龙遗骸上。","[""很久以前的人一定把同样的\n东西用在了恐龙遗骸上。""]","People from long ago must have used that same
stuff on dinosaur remains.
","[""People from long ago must have used that same\nstuff on dinosaur remains.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x4BE80; ENG blocks=0xD79A0; ENG source rows=0xD79A0#10; block_semantic_score=0.121823.
BRIEFING_FILES_BLOCK_04BE80,8,stream=0x4B000;block=0xE80;text=8,"[""stream=0x4B000;block=0xE80;text=8""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","きっと古代人がゾンビパウダーを使って、恐竜をゾンビに
したんだろうな。
","いや、人類が誕生したときにはすでに恐竜は…。
","その前提が間違ってたんだよ、きっと。
",[],,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"但在人类出现之前数百万年，
恐龙就已经灭绝了——","[""但在人类出现之前数百万年，\n恐龙就已经灭绝了——""]","But dinosaurs had been extinct for millions of
years before the first humans-
","[""But dinosaurs had been extinct for millions of\nyears before the first humans-\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x4BE80; ENG blocks=0xD79A0; ENG source rows=0xD79A0#11; block_semantic_score=0.121823.
BRIEFING_FILES_BLOCK_04BE80,9,stream=0x4B000;block=0xE80;text=9,"[""stream=0x4B000;block=0xE80;text=9""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","いや、人類が誕生したときにはすでに恐竜は…。
","その前提が間違ってたんだよ、きっと。
","…まあとにかく、その恐竜はすごく強かったらしい。そい
つの名はギアレックス。殺しても死なないと言われている。
",[],,,NOT_CHECKED,55,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,…总之，这只僵尸强得离谱。,"[""…总之，这只僵尸强得离谱。""]","...In any case, this zombie was incredibly powerful.
","[""...In any case, this zombie was incredibly powerful.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x4BE80; ENG blocks=0xD79A0; ENG source rows=0xD79A0#13; block_semantic_score=0.121823.
