file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AF60D,0,0,0,1,,page1892:tag14:entity4:key00000004:ref0:ord0,,チコ！,　,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,1,1,1;5,2,,page1892:tag14:entity3:key00000003:ref1:ord0;page1892:tag14:entity8:key00000003:ref5:ord0,チコ！,　,無人の ロボットよ！,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF60D,2,2,2,1,,page1892:tag14:entity2:key00000002:ref2:ord0,　,無人の ロボットよ！,"あれは<R=『新しい人間』,オンブレ・ヌエボ>",,,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,3,3,3,1,,page1892:tag14:entity1:key00000001:ref3:ord0,無人の ロボットよ！,"あれは<R=『新しい人間』,オンブレ・ヌエボ>",馬鹿な！,"<R=『新しい人間』,オンブレ・ヌエボ>",,,NOT_CHECKED,59,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,4,4,4,1,,page1892:tag14:entity0:key00000000:ref4:ord0,"あれは<R=『新しい人間』,オンブレ・ヌエボ>",馬鹿な！,　,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,5,6,6,1,,page1892:tag14:entity7:key00000002:ref6:ord0,　,"拷問されるくらいなら <R=同志,コンパ>に殺された方が幸せ",撃たせろ！,"<R=同志,コンパ>",,,NOT_CHECKED,78,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,6,7,7,1,,page1892:tag14:entity6:key00000001:ref7:ord0,"拷問されるくらいなら <R=同志,コンパ>に殺された方が幸せ",撃たせろ！,あの高さでは死ぬぞ！,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,7,8,8,1,,page1892:tag14:entity5:key00000000:ref8:ord0,撃たせろ！,あの高さでは死ぬぞ！,"チコを追う <R=勝つぞ,ベンセレーモス>！",,,,NOT_CHECKED,30,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,8,9,9,1,,page1892:tag14:entity12:key00000003:ref9:ord0,あの高さでは死ぬぞ！,"チコを追う <R=勝つぞ,ベンセレーモス>！",こっちよ！,"<R=勝つぞ,ベンセレーモス>",,,NOT_CHECKED,54,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,9,10,10,1,,page1892:tag14:entity11:key00000002:ref10:ord0,"チコを追う <R=勝つぞ,ベンセレーモス>！",こっちよ！,命があるうちに あなたに借りを返す,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,10,11,11,1,,page1892:tag14:entity10:key00000001:ref11:ord0,こっちよ！,命があるうちに あなたに借りを返す,ここにいて ,,,,NOT_CHECKED,49,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AF60D,11,12,12,1,,page1892:tag14:entity9:key00000000:ref12:ord0,命があるうちに あなたに借りを返す,ここにいて ,,,,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
