file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AF92D,0,0,0,1,,page1922:tag2:entity9:key00000009:ref0:ord0,,あの子を …また子供扱いして それで喧嘩を,動くな,,那孩子……我又把他当小孩，结果吵了起来。,,MATCH,59,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AF92D,1,1,1,1,,page1922:tag2:entity8:key00000008:ref1:ord0,あの子を …また子供扱いして それで喧嘩を,動くな,チコが…,,别动。,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AF92D,2,2,2;39,2,,page1922:tag2:entity7:key00000007:ref2:ord0;page1922:tag2:entity46:key00000008:ref39:ord0,動くな,チコが…,ああ,,Chico……,,MATCH,12,11,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_PRIMARY
5D3AF92D,3,3,3;29,2,,page1922:tag2:entity6:key00000006:ref3:ord0;page1922:tag2:entity34:key00000010:ref29:ord0,チコが…,ああ,"<R=煙草,シガレット>",,嗯。,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_PRIMARY
5D3AF92D,4,4,4,1,,page1922:tag2:entity5:key00000005:ref4:ord0,ああ,"<R=煙草,シガレット>",ん？,"<R=煙草,シガレット>","<R=烟草,CIGARETTE>","<R=烟草,CIGARETTE>",MATCH,26,20,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY;RUBY_PRESERVED
5D3AF92D,5,5,5,1,,page1922:tag2:entity4:key00000004:ref5:ord0,"<R=煙草,シガレット>",ん？,巻ける？,,嗯？,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AF92D,6,6,6,1,,page1922:tag2:entity3:key00000003:ref6:ord0,ん？,巻ける？,どうした？,,会卷吗？,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AF92D,7,7,7,1,,page1922:tag2:entity2:key00000002:ref7:ord0,巻ける？,どうした？,だからみんなで秘密にしてた,,怎么了？,,MATCH,15,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AF92D,8,8,8,1,,page1922:tag2:entity12:key0000000C:ref8:ord0,どうした？,だからみんなで秘密にしてた,チコには… 知られたくなかったから,,所以大家一直瞒着他。,,MATCH,39,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY;SHIFTED_AUX_REJECTED
5D3AF92D,9,9,9,1,,page1922:tag2:entity11:key0000000B:ref9:ord0,だからみんなで秘密にしてた,チコには… 知られたくなかったから,　,,因为不想让Chico知道……,,MATCH,49,32,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AF92D,10,10,10;49;52;61;66;72,6,,page1922:tag2:entity10:key0000000A:ref10:ord0;page1922:tag2:entity49:key0000000B:ref49:ord0;page1922:tag2:entity38:key00000000:ref52:ord0;page1922:tag2:entity70:key00000009:ref61:ord0;page1922:tag2:entity65:key00000004:ref66:ord0;page1922:tag2:entity75:key0000000E:ref72:ord0,チコには… 知られたくなかったから,　,チコ…,,　,,MATCH,3,3,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6; review_flag=IDEOGRAPHIC_SPACE_SOURCE
5D3AF92D,11,11,11,1,,page1922:tag2:entity1:key00000001:ref11:ord0,　,チコ…,アマンダ！,,Chico……,,MATCH,9,11,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AF92D,12,12,12,1,,page1922:tag2:entity0:key00000000:ref12:ord0,チコ…,アマンダ！,あのバナナ工場…,,Amanda！,,MATCH,15,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AF92D,13,13,13,1,,page1922:tag2:entity17:key00000004:ref13:ord0,アマンダ！,あのバナナ工場…,そこの工場を…？,,那座香蕉工厂……,,MATCH,24,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
