file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D22B9C8,0,0,0;0,2,,page64:tag6:entity31:key00B4F6A5:ref0:ord0;page1847:tag1:entity31:key00B4F6A5:ref0:ord0,,   ,"WLAN/WIRELESSスイッチがOFFになったため
通信を切断しました。",,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,,[],   ,"[""   ""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D22B9C8,1,1,1;15;1;15,4,,page64:tag6:entity30:key00B45145:ref1:ord0;page64:tag6:entity16:key0061F444:ref15:ord0;page1847:tag1:entity30:key00B45145:ref1:ord0;page1847:tag1:entity16:key0061F444:ref15:ord0,   ,"WLAN/WIRELESSスイッチがOFFになったため
通信を切断しました。",スリープモードに入ったため通信を切断しました。,,,,NOT_CHECKED,80,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,由于WLAN/WIRELESS开关已关闭，连接已终止。,"[""由于WLAN/WIRELESS开关已关闭，连接已终止。""]",The connection has been terminated because the WLAN/WIRELESS switch was turned off.,"[""The connection has been terminated because the WLAN/WIRELESS switch was turned off.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D22B9C8,2,2,2;13;16;2;13;16,6,,page64:tag6:entity26:key008E4E0B:ref2:ord0;page64:tag6:entity18:key0065A23D:ref13:ord0;page64:tag6:entity34:key00FE97DB:ref16:ord0;page1847:tag1:entity26:key008E4E0B:ref2:ord0;page1847:tag1:entity18:key0065A23D:ref13:ord0;page1847:tag1:entity34:key00FE97DB:ref16:ord0,"WLAN/WIRELESSスイッチがOFFになったため
通信を切断しました。",スリープモードに入ったため通信を切断しました。,"通信できませんでした。
WLAN/WIRELESSスイッチがOFFになっています。
スイッチをONにしてもう一度お試しください。",,,,NOT_CHECKED,69,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,由于系统进入休眠模式，连接已中断。,"[""由于系统进入休眠模式，连接已中断。""]",The connection was interrupted because the system entered sleep mode.,"[""The connection was interrupted because the system entered sleep mode.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D22B9C8,3,3,3;12;3;12,4,,page64:tag6:entity17:key00645811:ref3:ord0;page64:tag6:entity22:key006D2C97:ref12:ord0;page1847:tag1:entity17:key00645811:ref3:ord0;page1847:tag1:entity22:key006D2C97:ref12:ord0,スリープモードに入ったため通信を切断しました。,"通信できませんでした。
WLAN/WIRELESSスイッチがOFFになっています。
スイッチをONにしてもう一度お試しください。","スリープモードに入ったため
サーチを開始できませんでした。",,,,NOT_CHECKED,152,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,"连接失败。
尚未打开WLAN/WIRELESS开关。
请将开关拨到ON位置后重试。","[""连接失败。\n尚未打开WLAN/WIRELESS开关。\n请将开关拨到ON位置后重试。""]","Connection failed.
The WLAN/WIRELESS switch is not turned on.
Please change the switch to the ON position and try again.","[""Connection failed.\nThe WLAN/WIRELESS switch is not turned on.\nPlease change the switch to the ON position and try again.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D22B9C8,4,4,4;4,2,,page64:tag6:entity12:key004B117C:ref4:ord0;page1847:tag1:entity12:key004B117C:ref4:ord0,"通信できませんでした。
WLAN/WIRELESSスイッチがOFFになっています。
スイッチをONにしてもう一度お試しください。","スリープモードに入ったため
サーチを開始できませんでした。",エラーが発生しました。通信に失敗しました。,,,,NOT_CHECKED,85,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,由于系统进入休眠模式，无法开始连接。,"[""由于系统进入休眠模式，无法开始连接。""]",Unable to start connection because the system entered sleep mode.,"[""Unable to start connection because the system entered sleep mode.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D22B9C8,5,5,5;5,2,,page64:tag6:entity0:key00094D7E:ref5:ord0;page1847:tag1:entity0:key00094D7E:ref5:ord0,"スリープモードに入ったため
サーチを開始できませんでした。",エラーが発生しました。通信に失敗しました。,"WLAN/WIRELESSスイッチがOFFになったため
サーチを中断しました。",,,,NOT_CHECKED,63,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,发生错误。连接失败。,"[""发生错误。连接失败。""]",An error has occurred.  The connection has failed.,"[""An error has occurred.  The connection has failed.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D22B9C8,6,6,6;6,2,,page64:tag6:entity1:key0012C80F:ref6:ord0;page1847:tag1:entity1:key0012C80F:ref6:ord0,エラーが発生しました。通信に失敗しました。,"WLAN/WIRELESSスイッチがOFFになったため
サーチを中断しました。","スリープモードに入ったため
サーチを中断しました。",,,,NOT_CHECKED,83,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,由于WLAN/WIRELESS开关已关闭，搜索已取消。,"[""由于WLAN/WIRELESS开关已关闭，搜索已取消。""]",The search was canceled because the WLAN/WIRELESS switch was turned off.,"[""The search was canceled because the WLAN/WIRELESS switch was turned off.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D22B9C8,7,7,7;7,2,,page64:tag6:entity2:key00191132:ref7:ord0;page1847:tag1:entity2:key00191132:ref7:ord0,"WLAN/WIRELESSスイッチがOFFになったため
サーチを中断しました。","スリープモードに入ったため
サーチを中断しました。","通信エラーが発生したため
サーチを中断しました。",,,,NOT_CHECKED,73,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,由于系统进入休眠模式，搜索已取消。,"[""由于系统进入休眠模式，搜索已取消。""]",The search was canceled because the system entered sleep mode.,"[""The search was canceled because the system entered sleep mode.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D22B9C8,8,8,8;8,2,,page64:tag6:entity33:key00D74D33:ref8:ord0;page1847:tag1:entity33:key00D74D33:ref8:ord0,"スリープモードに入ったため
サーチを中断しました。","通信エラーが発生したため
サーチを中断しました。","WLAN/WIRELESSスイッチがOFFになったため
ホストに参加できませんでした。",,,,NOT_CHECKED,70,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,由于连接错误，搜索已取消。,"[""由于连接错误，搜索已取消。""]",The search was canceled because of a connection error.,"[""The search was canceled because of a connection error.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D22B9C8,9,9,9;9,2,,page64:tag6:entity4:key001E9B99:ref9:ord0;page1847:tag1:entity4:key001E9B99:ref9:ord0,"通信エラーが発生したため
サーチを中断しました。","WLAN/WIRELESSスイッチがOFFになったため
ホストに参加できませんでした。","スリープモードに入ったため
HOSTに参加できませんでした。",,,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,由于WLAN/WIRELESS开关已关闭，无法加入主机。,"[""由于WLAN/WIRELESS开关已关闭，无法加入主机。""]",Unable to join the host because the WLAN/WIRELESS switch has been turned off.,"[""Unable to join the host because the WLAN/WIRELESS switch has been turned off.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
