file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_059DC0,0,stream=0x59000;block=0xDC0;text=0,"[""stream=0x59000;block=0xDC0;text=0""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]",,"「コジマ」とは初めて聞く名前だ。もっとも、フランス人
の知り合い自体が少ないが。よくある名前なのか？
","あまり多くはないわね。
",[],“Cosima”这个名字我还是第一次听说。不过，我本来也没多少法国熟人。这名字常见吗？,,MATCH,149,117,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_059DC0,1,stream=0x59000;block=0xDC0;text=1,"[""stream=0x59000;block=0xDC0;text=1""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]","「コジマ」とは初めて聞く名前だ。もっとも、フランス人
の知り合い自体が少ないが。よくある名前なのか？
","あまり多くはないわね。
","でも、ワーグナーの2番目の奥さんは、コジマ・フランチ
ェスカ・ガエターナ・ワーグナーって名前よ。
",[],不算很常见。,,MATCH,34,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_059DC0,2,stream=0x59000;block=0xDC0;text=2,"[""stream=0x59000;block=0xDC0;text=2""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]","あまり多くはないわね。
","でも、ワーグナーの2番目の奥さんは、コジマ・フランチ
ェスカ・ガエターナ・ワーグナーって名前よ。
","ほう。
",[],不过，Wagner的第二任妻子就叫Cosima Francesca Gaetana Wagner。,,MATCH,141,73,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_059DC0,3,stream=0x59000;block=0xDC0;text=3,"[""stream=0x59000;block=0xDC0;text=3""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]","でも、ワーグナーの2番目の奥さんは、コジマ・フランチ
ェスカ・ガエターナ・ワーグナーって名前よ。
","ほう。
","日本にも「小島」って苗字は多いぞ。
",[],哦。,,MATCH,10,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_059DC0,4,stream=0x59000;block=0xDC0;text=4,"[""stream=0x59000;block=0xDC0;text=4""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]","ほう。
","日本にも「小島」って苗字は多いぞ。
","カズ！？
",[],日本也有不少姓“小岛（Kojima）”的人。,,MATCH,52,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_059DC0,5,stream=0x59000;block=0xDC0;text=5,"[""stream=0x59000;block=0xDC0;text=5""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]","日本にも「小島」って苗字は多いぞ。
","カズ！？
","いやぁ、奇遇だなあ。君がこんなオリエンタルな名前だな
んて。運命を感じる。
",[],Kaz！？,,MATCH,13,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_059DC0,6,stream=0x59000;block=0xDC0;text=6,"[""stream=0x59000;block=0xDC0;text=6""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]","カズ！？
","いやぁ、奇遇だなあ。君がこんなオリエンタルな名前だな
んて。運命を感じる。
","いや……ははは、そう？
",[],这也太巧了。没想到你有这么东方味十足的名字。我都觉得这是命运了。,,MATCH,110,96,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_059DC0,7,stream=0x59000;block=0xDC0;text=7,"[""stream=0x59000;block=0xDC0;text=7""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]","いやぁ、奇遇だなあ。君がこんなオリエンタルな名前だな
んて。運命を感じる。
","いや……ははは、そう？
","そうだとも！　ほぼそうだ。いい名前だよ。セシール・コ
ジマ・カミナンデス。
",[],不……哈哈，是吗？,,MATCH,34,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_059DC0,8,stream=0x59000;block=0xDC0;text=8,"[""stream=0x59000;block=0xDC0;text=8""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]","いや……ははは、そう？
","そうだとも！　ほぼそうだ。いい名前だよ。セシール・コ
ジマ・カミナンデス。
","…ん？
",[],当然！差不多就是这样。真是个好名字——Cécile Cosima Caminades。,,MATCH,110,84,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_059DC0,9,stream=0x59000;block=0xDC0;text=9,"[""stream=0x59000;block=0xDC0;text=9""]",1,BRIEFING FILES,"[""stream=0x59000;block=0xDC0;block_file=0x59DC0;text_base=0x59E30;capacity=1448""]","そうだとも！　ほぼそうだ。いい名前だよ。セシール・コ
ジマ・カミナンデス。
","…ん？
","セシール・コジマ・カミナンデス…コジマ・カミナンデス
…。
",[],……嗯？,,MATCH,10,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
