file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3B3A9A,0,0,0,1,,page76:tag6:entity0:key00A62240:ref0:ord0,,注視点の移動／上下,注視点移動方法の決定／上下,,视点移动／上下,,MATCH,27,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FULLWIDTH_SLASH_STRUCTURE_PRESERVED; CAMERA_VIEWPOINT_MOVEMENT_SEMANTICS_LOCALIZED
5D3B3A9A,1,1,1,1,,page76:tag6:entity1:key00A62240:ref1:ord0,注視点の移動／上下,注視点移動方法の決定／上下,注視点の移動／左右,,视点移动方式设置／上下,,MATCH,39,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FULLWIDTH_SLASH_STRUCTURE_PRESERVED; CONTROL_METHOD_SETTING_SEMANTICS_LOCALIZED
5D3B3A9A,2,2,2,1,,page76:tag6:entity2:key00A62240:ref2:ord0,注視点移動方法の決定／上下,注視点の移動／左右,注視点移動方法の決定／左右,,视点移动／左右,,MATCH,27,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FULLWIDTH_SLASH_STRUCTURE_PRESERVED; AUX_TRAILING_SPACE_NOT_IMPORTED
5D3B3A9A,3,3,3,1,,page76:tag6:entity3:key00A62240:ref3:ord0,注視点の移動／左右,注視点移動方法の決定／左右,姿勢変更／立ち・しゃがみ・ホフク,,视点移动方式设置／左右,,MATCH,39,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FULLWIDTH_SLASH_STRUCTURE_PRESERVED; CONTROL_METHOD_SETTING_SEMANTICS_LOCALIZED
5D3B3A9A,4,4,4,1,,page76:tag6:entity4:key00A62240:ref4:ord0,注視点移動方法の決定／左右,姿勢変更／立ち・しゃがみ・ホフク,移動,,姿势切换／站立・下蹲・匍匐,,MATCH,48,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FULLWIDTH_SLASH_AND_MIDDOT_SEPARATOR_STRUCTURE_PRESERVED; STANCE_SEQUENCE_FOLLOWS_JPN
5D3B3A9A,5,5,5,1,,page76:tag6:entity5:key00A62240:ref5:ord0,姿勢変更／立ち・しゃがみ・ホフク,移動,ローリング,,移动,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_SIMPLE_MOVEMENT_LABEL_LOCALIZED
5D3B3A9A,6,6,6,1,,page76:tag6:entity6:key00A62240:ref6:ord0,移動,ローリング,打撃攻撃,,翻滚,,MATCH,15,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_ROLLING_LABEL_LOCALIZED
5D3B3A9A,7,7,7,1,,page76:tag6:entity7:key00A62240:ref7:ord0,ローリング,打撃攻撃,スタンロッド,,打击攻击,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_STRIKING_ATTACK_SEMANTICS_LOCALIZED; AUX_GENERIC_PHYSICAL_ATTACK_NOT_FORCED
5D3B3A9A,8,8,8,1,,page76:tag6:entity8:key00A62240:ref8:ord0,打撃攻撃,スタンロッド,CQC／投げ,,电击棒,,MATCH,18,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_STUN_ROD_LABEL_LOCALIZED
5D3B3A9A,9,9,9,1,,page76:tag6:entity9:key00A62240:ref9:ord0,スタンロッド,CQC／投げ,CQC／拘束,,CQC／摔投,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_CQC_IDENTITY_AND_FULLWIDTH_SLASH_PRESERVED
