file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_016AE0,0,stream=0x16000;block=0xAE0;text=0,"[""stream=0x16000;block=0xAE0;text=0""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]",,"スネーク、日本に『言霊』って言葉があるのを知ってるか。
","言霊…？
",[],,,NOT_CHECKED,82,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_016AE0,1,stream=0x16000;block=0xAE0;text=1,"[""stream=0x16000;block=0xAE0;text=1""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]","スネーク、日本に『言霊』って言葉があるのを知ってるか。
","言霊…？
","言葉には霊的な力が宿っていて、それが現実に影響を及ぼ
す…。
",[],,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_016AE0,2,stream=0x16000;block=0xAE0;text=2,"[""stream=0x16000;block=0xAE0;text=2""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]","言霊…？
","言葉には霊的な力が宿っていて、それが現実に影響を及ぼ
す…。
","おいおい、大丈夫か？
",[],,,NOT_CHECKED,89,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_016AE0,3,stream=0x16000;block=0xAE0;text=3,"[""stream=0x16000;block=0xAE0;text=3""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]","言葉には霊的な力が宿っていて、それが現実に影響を及ぼ
す…。
","おいおい、大丈夫か？
","言い方が眉唾っぽかったか。
",[],,,NOT_CHECKED,31,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_016AE0,4,stream=0x16000;block=0xAE0;text=4,"[""stream=0x16000;block=0xAE0;text=4""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]","おいおい、大丈夫か？
","言い方が眉唾っぽかったか。
","だが、仲間からの励ましで予想外の力が出たことはないか？
",[],,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_016AE0,5,stream=0x16000;block=0xAE0;text=5,"[""stream=0x16000;block=0xAE0;text=5""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]","言い方が眉唾っぽかったか。
","だが、仲間からの励ましで予想外の力が出たことはないか？
","逆に、心ない言葉のせいで、実力の半分も出せなかったり。
",[],,,NOT_CHECKED,82,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_016AE0,6,stream=0x16000;block=0xAE0;text=6,"[""stream=0x16000;block=0xAE0;text=6""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]","だが、仲間からの励ましで予想外の力が出たことはないか？
","逆に、心ない言葉のせいで、実力の半分も出せなかったり。
","それならわかる。言葉が人のメンタルに与える影響は大き
い。
",[],,,NOT_CHECKED,82,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_016AE0,7,stream=0x16000;block=0xAE0;text=7,"[""stream=0x16000;block=0xAE0;text=7""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]","逆に、心ない言葉のせいで、実力の半分も出せなかったり。
","それならわかる。言葉が人のメンタルに与える影響は大き
い。
","CO-OPS通信でも同じだ。励ましの言葉を投げかけること
で、いつもより速く走れるかも知れない。
",[],,,NOT_CHECKED,86,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_016AE0,8,stream=0x16000;block=0xAE0;text=8,"[""stream=0x16000;block=0xAE0;text=8""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]","それならわかる。言葉が人のメンタルに与える影響は大き
い。
","CO-OPS通信でも同じだ。励ましの言葉を投げかけること
で、いつもより速く走れるかも知れない。
","瀕死で動けないはずの奴が、立ち上がれるかも知れない…
そうだろ？
",[],,,NOT_CHECKED,131,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_016AE0,9,stream=0x16000;block=0xAE0;text=9,"[""stream=0x16000;block=0xAE0;text=9""]",1,BRIEFING FILES,"[""stream=0x16000;block=0xAE0;block_file=0x16AE0;text_base=0x16B30;capacity=856""]","CO-OPS通信でも同じだ。励ましの言葉を投げかけること
で、いつもより速く走れるかも知れない。
","瀕死で動けないはずの奴が、立ち上がれるかも知れない…
そうだろ？
","なるほど。逆もまた然り、か。
",[],,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
