file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AFD0D,0,0,0,1,,page1968:tag2:entity4:key00000004:ref0:ord0,,"<R=“隠れんぼ”は終わりだ さあ 何者だ？,Fini de jouer a cache-cache. Dit moi qui tu es.>","<R=フランス人か,A French...>","<R=“隠れんぼ”は終わりだ さあ 何者だ？,Fini de jouer a cache-cache. Dit moi qui tu es.>","<R=‘捉迷藏’结束了。说吧，你是谁？,Fini de jouer a cache-cache. Dit moi qui tu es.>","<R=‘捉迷藏’结束了。说吧，你是谁？,Fini de jouer a cache-cache. Dit moi qui tu es.>",MATCH,105,100,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CONTROL_OK
5D3AFD0D,1,1,1,1,,page1968:tag2:entity3:key00000003:ref1:ord0,"<R=“隠れんぼ”は終わりだ さあ 何者だ？,Fini de jouer a cache-cache. Dit moi qui tu es.>","<R=フランス人か,A French...>","<R=私がオニね,C'est moi le loup!>","<R=フランス人か,A French...>","<R=法国人吗,A French...>","<R=法国人吗,A French...>",MATCH,34,28,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CONTROL_OK
5D3AFD0D,2,2,2,1,,page1968:tag2:entity2:key00000002:ref2:ord0,"<R=フランス人か,A French...>","<R=私がオニね,C'est moi le loup!>","<R=見つかっちゃった,Ah, tu m'as trouve!>","<R=私がオニね,C'est moi le loup!>","<R=这次我当鬼,C'est moi le loup!>","<R=这次我当鬼,C'est moi le loup!>",MATCH,38,38,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CONTROL_OK
5D3AFD0D,3,3,3,1,,page1968:tag2:entity1:key00000001:ref3:ord0,"<R=私がオニね,C'est moi le loup!>","<R=見つかっちゃった,Ah, tu m'as trouve!>",…おいっ,"<R=見つかっちゃった,Ah, tu m'as trouve!>","<R=被你找到了,Ah, tu m'as trouve!>","<R=被你找到了,Ah, tu m'as trouve!>",MATCH,48,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CONTROL_OK
5D3AFD0D,4,4,4,1,,page1968:tag2:entity0:key00000000:ref4:ord0,"<R=見つかっちゃった,Ah, tu m'as trouve!>",…おいっ,セシール・コジマ・カミナンデス,,……喂！,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFD0D,5,5,5,1,,page1968:tag2:entity9:key00000004:ref5:ord0,…おいっ,セシール・コジマ・カミナンデス,名前は？　ここで何をしている？ ,,Cécile Cosima Caminades。,,MATCH,45,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFD0D,6,6,6,1,,page1968:tag2:entity8:key00000003:ref6:ord0,セシール・コジマ・カミナンデス,名前は？　ここで何をしている？ ,観光客よ…,,你叫什么？在这里做什么？,,MATCH,46,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFD0D,7,7,7,1,,page1968:tag2:entity7:key00000002:ref7:ord0,名前は？　ここで何をしている？ ,観光客よ…,兵士ではなさそうだが…,,游客……,,MATCH,15,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFD0D,8,8,8,1,,page1968:tag2:entity6:key00000001:ref8:ord0,観光客よ…,兵士ではなさそうだが…,お願い 殺さないで…,,看起来不像士兵……,,MATCH,33,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFD0D,9,9,9,1,,page1968:tag2:entity5:key00000000:ref9:ord0,兵士ではなさそうだが…,お願い 殺さないで…,あなたは誰？,,求你别杀我……,,MATCH,28,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
