file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_MISSION_BLOCK_36DD60,0,stream=0x36D000;block=0xD60;text=0,"[""stream=0x36D000;block=0xD60;text=0""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]",,"スネーク。
あんたが入手したその無線機で、例の少女、
パスと連絡が出来るようにしておいた。
","彼女は大丈夫なのか？
",[],,,NOT_CHECKED,132,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"Snake，我把那台无线电改装过了，
这样你就能联系上我们
那位小姑娘朋友Paz。","[""Snake，我把那台无线电改装过了，\n这样你就能联系上我们\n那位小姑娘朋友Paz。""]","Snake, I rigged that radio so you can
contact our young lady friend Paz.
","[""Snake, I rigged that radio so you can\ncontact our young lady friend Paz.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x36DD60; ENG blocks=0x3861C0; ENG source rows=0x3861C0#0; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_36DD60,1,stream=0x36D000;block=0xD60;text=1,"[""stream=0x36D000;block=0xD60;text=1""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","スネーク。
あんたが入手したその無線機で、例の少女、
パスと連絡が出来るようにしておいた。
","彼女は大丈夫なのか？
","あの娘は俺達が心配するほど、柔じゃないよ。
",[],,,NOT_CHECKED,31,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,她还好吗？,"[""她还好吗？""]","Is she OK?
","[""Is she OK?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x36DD60; ENG blocks=0x3861C0; ENG source rows=0x3861C0#1; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_36DD60,2,stream=0x36D000;block=0xD60;text=2,"[""stream=0x36D000;block=0xD60;text=2""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","彼女は大丈夫なのか？
","あの娘は俺達が心配するほど、柔じゃないよ。
","彼女はまだ子供だ…。
",[],,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,不用担心。她比你想象中更坚强…,"[""不用担心。她比你想象中更坚强…""]","No need to worry. She's tougher than you
think...
","[""No need to worry. She's tougher than you\nthink...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x36DD60; ENG blocks=0x3861C0; ENG source rows=0x3861C0#2; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_36DD60,3,stream=0x36D000;block=0xD60;text=3,"[""stream=0x36D000;block=0xD60;text=3""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","あの娘は俺達が心配するほど、柔じゃないよ。
","彼女はまだ子供だ…。
","だからこそ、有効な情報が得られるかも知れない。
それに今回の、真の依頼主は彼女“<R=平和,ラ・パス>の使者”だ。
…そうだろ？
",[],,,NOT_CHECKED,31,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,终究还是个孩子。,"[""终究还是个孩子。""]","Still just a kid.
","[""Still just a kid.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x36DD60; ENG blocks=0x3861C0; ENG source rows=0x3861C0#3; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_36DD60,4,stream=0x36D000;block=0xD60;text=4,"[""stream=0x36D000;block=0xD60;text=4""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","彼女はまだ子供だ…。
","だからこそ、有効な情報が得られるかも知れない。
それに今回の、真の依頼主は彼女“<R=平和,ラ・パス>の使者”だ。
…そうだろ？
","…ああ、わかってる。
","[""<R=平和,ラ・パス>""]",,,NOT_CHECKED,179,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"这正是她能成为有效情报来源的原因。再说了，那个小小的和平天使，
不就是把这次任务交给我们的人吗？","[""这正是她能成为有效情报来源的原因。再说了，那个小小的和平天使，\n不就是把这次任务交给我们的人吗？""]","Which is exactly why she could be an
effective source of information.
Besides, that little ángel de la paz is the
one who gave us this mission, right?
","[""Which is exactly why she could be an\neffective source of information.\nBesides, that little ángel de la paz is the\none who gave us this mission, right?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x36DD60; ENG blocks=0x3861C0,0x3861C0; ENG source rows=0x3861C0#4,0x3861C0#5; block_semantic_score=1.000000."
BRIEFING_MISSION_BLOCK_36DD60,5,stream=0x36D000;block=0xD60;text=5,"[""stream=0x36D000;block=0xD60;text=5""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","だからこそ、有効な情報が得られるかも知れない。
それに今回の、真の依頼主は彼女“<R=平和,ラ・パス>の使者”だ。
…そうだろ？
","…ああ、わかってる。
","繋ぐぞ。
",[],,,NOT_CHECKED,31,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,…大概是吧。,"[""…大概是吧。""]","...I guess.
","[""...I guess.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x36DD60; ENG blocks=0x3861C0; ENG source rows=0x3861C0#6; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_36DD60,6,stream=0x36D000;block=0xD60;text=6,"[""stream=0x36D000;block=0xD60;text=6""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","…ああ、わかってる。
","繋ぐぞ。
","スネーク…。
",[],,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,我把她接进来。,"[""我把她接进来。""]","I'll put her on.
","[""I'll put her on.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x36DD60; ENG blocks=0x3861C0; ENG source rows=0x3861C0#7; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_36DD60,7,stream=0x36D000;block=0xD60;text=7,"[""stream=0x36D000;block=0xD60;text=7""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","繋ぐぞ。
","スネーク…。
","君か。どこから通信を？
",[],,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Snake…,"[""Snake…""]","Snake...
","[""Snake...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x36DD60; ENG blocks=0x3861C0; ENG source rows=0x3861C0#8; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_36DD60,8,stream=0x36D000;block=0xD60;text=8,"[""stream=0x36D000;block=0xD60;text=8""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","スネーク…。
","君か。どこから通信を？
","シウダード・コロンの校舎。
先生が、落ち着くまで学校にいろって。
",[],,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Paz，你在哪？,"[""Paz，你在哪？""]","Paz. Where are you?
","[""Paz. Where are you?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x36DD60; ENG blocks=0x3861C0; ENG source rows=0x3861C0#9; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_36DD60,9,stream=0x36D000;block=0xD60;text=9,"[""stream=0x36D000;block=0xD60;text=9""]",1,d1010_m0020_mrd,"[""stream=0x36D000;block=0xD60;block_file=0x36DD60;text_base=0x36DE38;capacity=3448""]","君か。どこから通信を？
","シウダード・コロンの校舎。
先生が、落ち着くまで学校にいろって。
","先生？　ああ、あいつは…。
…まあ、その方が安全だ。
",[],,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"科隆城。一所学校。
老师让我待在这儿，等局势平静下来。","[""科隆城。一所学校。\n老师让我待在这儿，等局势平静下来。""]","Ciudad Colón. A school. The teacher told
me to stay here until things quiet down.
","[""Ciudad Colón. A school. The teacher told\nme to stay here until things quiet down.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x36DD60; ENG blocks=0x3861C0; ENG source rows=0x3861C0#10; block_semantic_score=1.000000.
