file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_05D6C0,0,stream=0x5D000;block=0x6C0;text=0,"[""stream=0x5D000;block=0x6C0;text=0""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]",,"マイコドリのことは知ってる？
","いや、聞いたことがない。
",[],,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你听说过娇鹟吗？,"[""你听说过娇鹟吗？""]","Have you heard of the manakins?
","[""Have you heard of the manakins?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0; ENG source rows=0xEA1F0#0; block_semantic_score=0.177937.
BRIEFING_FILES_BLOCK_05D6C0,1,stream=0x5D000;block=0x6C0;text=1,"[""stream=0x5D000;block=0x6C0;text=1""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","マイコドリのことは知ってる？
","いや、聞いたことがない。
","そうなの？　せっかくコスタリカに来たのに、もったいな
い！
",[],,,NOT_CHECKED,37,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,从来没听说过。,"[""从来没听说过。""]","Never.
","[""Never.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0; ENG source rows=0xEA1F0#1; block_semantic_score=0.177937.
BRIEFING_FILES_BLOCK_05D6C0,2,stream=0x5D000;block=0x6C0;text=2,"[""stream=0x5D000;block=0x6C0;text=2""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","いや、聞いたことがない。
","そうなの？　せっかくコスタリカに来たのに、もったいな
い！
","いや、俺は鳥を見に来たわけじゃ…。
",[],,,NOT_CHECKED,86,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"难以置信！你大老远
跑到哥斯达黎加来，","[""难以置信！你大老远\n跑到哥斯达黎加来，""]","Unbelievable! You came all the way to Costa Rica
","[""Unbelievable! You came all the way to Costa Rica\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0; ENG source rows=0xEA1F0#2; block_semantic_score=0.177937.
BRIEFING_FILES_BLOCK_05D6C0,3,stream=0x5D000;block=0x6C0;text=3,"[""stream=0x5D000;block=0x6C0;text=3""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","そうなの？　せっかくコスタリカに来たのに、もったいな
い！
","いや、俺は鳥を見に来たわけじゃ…。
","マイコドリは求愛のダンスが美しいことで知られてるの。
",[],,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,我来这里可不是为了看…,"[""我来这里可不是为了看…""]","I didn't come here to look at...
","[""I didn't come here to look at...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0; ENG source rows=0xEA1F0#4; block_semantic_score=0.177937.
BRIEFING_FILES_BLOCK_05D6C0,4,stream=0x5D000;block=0x6C0;text=4,"[""stream=0x5D000;block=0x6C0;text=4""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","いや、俺は鳥を見に来たわけじゃ…。
","マイコドリは求愛のダンスが美しいことで知られてるの。
","コスタリカの太平洋側にはオレンジマイコドリ、カリブ海
側にはシロクロマイコドリ、中央盆地にはオナガセアオマ
イコドリが生息してると言われてる。
",[],,,NOT_CHECKED,79,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,娇鹟以优美的求偶舞闻名。,"[""娇鹟以优美的求偶舞闻名。""]","Manakins are known for their beautiful courtship
dances.
","[""Manakins are known for their beautiful courtship\ndances.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0; ENG source rows=0xEA1F0#5; block_semantic_score=0.177937.
BRIEFING_FILES_BLOCK_05D6C0,5,stream=0x5D000;block=0x6C0;text=5,"[""stream=0x5D000;block=0x6C0;text=5""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","マイコドリは求愛のダンスが美しいことで知られてるの。
","コスタリカの太平洋側にはオレンジマイコドリ、カリブ海
側にはシロクロマイコドリ、中央盆地にはオナガセアオマ
イコドリが生息してると言われてる。
","中でも特徴的なのはオナガセアオマイコドリね。
",[],,,NOT_CHECKED,210,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,而长尾娇鹟生活在中央盆地。,"[""而长尾娇鹟生活在中央盆地。""]","and the Long-tailed Manakin is in the central basin.
","[""and the Long-tailed Manakin is in the central basin.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0; ENG source rows=0xEA1F0#8; block_semantic_score=0.177937.
BRIEFING_FILES_BLOCK_05D6C0,6,stream=0x5D000;block=0x6C0;text=6,"[""stream=0x5D000;block=0x6C0;text=6""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","コスタリカの太平洋側にはオレンジマイコドリ、カリブ海
側にはシロクロマイコドリ、中央盆地にはオナガセアオマ
イコドリが生息してると言われてる。
","中でも特徴的なのはオナガセアオマイコドリね。
","どう特徴的なんだ？
",[],,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,长尾娇鹟尤其特别。,"[""长尾娇鹟尤其特别。""]","The Long-tailed Manakins are especially distinctive.
","[""The Long-tailed Manakins are especially distinctive.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0; ENG source rows=0xEA1F0#9; block_semantic_score=0.177937.
BRIEFING_FILES_BLOCK_05D6C0,7,stream=0x5D000;block=0x6C0;text=7,"[""stream=0x5D000;block=0x6C0;text=7""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","中でも特徴的なのはオナガセアオマイコドリね。
","どう特徴的なんだ？
","彼らはまず、先輩のオスに弟子入りしてダンスを学ぶのよ。
そしてグループになってメスにダンスを見せる。
",[],,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,它们有什么特别的？,"[""它们有什么特别的？""]","What's special about them?
","[""What's special about them?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0; ENG source rows=0xEA1F0#10; block_semantic_score=0.177937.
BRIEFING_FILES_BLOCK_05D6C0,8,stream=0x5D000;block=0x6C0;text=8,"[""stream=0x5D000;block=0x6C0;text=8""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","どう特徴的なんだ？
","彼らはまず、先輩のオスに弟子入りしてダンスを学ぶのよ。
そしてグループになってメスにダンスを見せる。
","でも、晴れてメスと結ばれるのは師匠だけ。弟子達は7年
間技術を学んで、それから独立して今度は自分が弟子を集
めなくちゃならない。
",[],,,NOT_CHECKED,149,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"首先，每只年轻雄鸟都会找一只
年长雄鸟当师傅，教自己跳舞。然后师傅和徒弟们
聚在一起，为雌鸟跳舞。","[""首先，每只年轻雄鸟都会找一只\n年长雄鸟当师傅，教自己跳舞。然后师傅和徒弟们\n聚在一起，为雌鸟跳舞。""]","First, each young male picks an older male to
teach him how to dance.
Then teachers and pupils all get in a group and
dance for the females.
","[""First, each young male picks an older male to\nteach him how to dance.\nThen teachers and pupils all get in a group and\ndance for the females.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0,0xEA1F0; ENG source rows=0xEA1F0#11,0xEA1F0#12; block_semantic_score=0.177937."
BRIEFING_FILES_BLOCK_05D6C0,9,stream=0x5D000;block=0x6C0;text=9,"[""stream=0x5D000;block=0x6C0;text=9""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","彼らはまず、先輩のオスに弟子入りしてダンスを学ぶのよ。
そしてグループになってメスにダンスを見せる。
","でも、晴れてメスと結ばれるのは師匠だけ。弟子達は7年
間技術を学んで、それから独立して今度は自分が弟子を集
めなくちゃならない。
","7年間…どんなことでも一人前になるには時間がかかる、
ということか。ダンサーでも、兵士でも。
",[],,,NOT_CHECKED,187,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,徒弟们要练习七年技巧，才能独立出去,"[""徒弟们要练习七年技巧，才能独立出去""]","The pupils practice their technique for seven years
before striking out on their own
","[""The pupils practice their technique for seven years\nbefore striking out on their own\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5D6C0; ENG blocks=0xEA1F0; ENG source rows=0xEA1F0#14; block_semantic_score=0.177937.
