file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_03CDD0,0,stream=0x3C000;block=0xDD0;text=0,"[""stream=0x3C000;block=0xDD0;text=0""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]",,"コリブリは手強い相手よ。でも、倒す方法はあるはず。
","特にそこは隠れる場所が多いみたいだし。普通のヘリと戦
ったときと同じ、ゲリラ戦術が有効なはず。
",[],,,NOT_CHECKED,76,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"El colibri虽然强大，
但并非不可战胜。","[""El colibri虽然强大，\n但并非不可战胜。""]","El colibri may be powerful, but he can be defeated.
","[""El colibri may be powerful, but he can be defeated.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0x3CDD0; ENG blocks=0xCD210; ENG source rows=0xCD210#0; block_semantic_score=0.096249.
BRIEFING_FILES_BLOCK_03CDD0,1,stream=0x3C000;block=0xDD0;text=1,"[""stream=0x3C000;block=0xDD0;text=1""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]","コリブリは手強い相手よ。でも、倒す方法はあるはず。
","特にそこは隠れる場所が多いみたいだし。普通のヘリと戦
ったときと同じ、ゲリラ戦術が有効なはず。
","だが、奴の攻撃力は侮れない。
",[],,,NOT_CHECKED,140,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"看起来那里有很多藏身之处。记得你之前跟另一架直升机
交手的情况。游击战术是关键。","[""看起来那里有很多藏身之处。记得你之前跟另一架直升机\n交手的情况。游击战术是关键。""]","Looks like you have a lot of places to hide there.
Remember your fight with the other chopper.
Guerilla tactics will be key.
","[""Looks like you have a lot of places to hide there.\nRemember your fight with the other chopper.\nGuerilla tactics will be key.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,"JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:2; JPN blocks=0x3CDD0; ENG blocks=0xCD210,0xCD210; ENG source rows=0xCD210#1,0xCD210#2; block_semantic_score=0.096249."
BRIEFING_FILES_BLOCK_03CDD0,2,stream=0x3C000;block=0xDD0;text=2,"[""stream=0x3C000;block=0xDD0;text=2""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]","特にそこは隠れる場所が多いみたいだし。普通のヘリと戦
ったときと同じ、ゲリラ戦術が有効なはず。
","だが、奴の攻撃力は侮れない。
","そうね。遺跡の柱程度なら吹き飛ばしてくるかもしれない。
",[],,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,只不过这一架还藏着几手王牌。,"[""只不过这一架还藏着几手王牌。""]","Only this one's got a few more aces up its sleeve.
","[""Only this one's got a few more aces up its sleeve.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0x3CDD0; ENG blocks=0xCD210; ENG source rows=0xCD210#3; block_semantic_score=0.096249.
BRIEFING_FILES_BLOCK_03CDD0,3,stream=0x3C000;block=0xDD0;text=3,"[""stream=0x3C000;block=0xDD0;text=3""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]","だが、奴の攻撃力は侮れない。
","そうね。遺跡の柱程度なら吹き飛ばしてくるかもしれない。
","それに、チコをさらったあの小型機、チコリブリにも注意
して。
",[],,,NOT_CHECKED,82,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,没错。它可能会打掉柱子来压扁你。,"[""没错。它可能会打掉柱子来压扁你。""]","Yes. It might try to crush you by taking out the
pillars.
","[""Yes. It might try to crush you by taking out the\npillars.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0x3CDD0; ENG blocks=0xCD210; ENG source rows=0xCD210#4; block_semantic_score=0.096249.
BRIEFING_FILES_BLOCK_03CDD0,4,stream=0x3C000;block=0xDD0;text=4,"[""stream=0x3C000;block=0xDD0;text=4""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]","そうね。遺跡の柱程度なら吹き飛ばしてくるかもしれない。
","それに、チコをさらったあの小型機、チコリブリにも注意
して。
","チコリブリ…？
",[],,,NOT_CHECKED,89,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"另外，小心那架绑架了Chico的
小飞行器，叫colibrí。","[""另外，小心那架绑架了Chico的\n小飞行器，叫colibrí。""]","Also, watch out for the smaller craft that abducted
Chico, the chicolibrí.
","[""Also, watch out for the smaller craft that abducted\nChico, the chicolibrí.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0x3CDD0; ENG blocks=0xCD210; ENG source rows=0xCD210#5; block_semantic_score=0.096249.
BRIEFING_FILES_BLOCK_03CDD0,5,stream=0x3C000;block=0xDD0;text=5,"[""stream=0x3C000;block=0xDD0;text=5""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]","それに、チコをさらったあの小型機、チコリブリにも注意
して。
","チコリブリ…？
","コリブリの息子って意味よ。あいつに捕まったらとにかく
もがいて暴れるしかない。
",[],,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Chicolibrí…,"[""Chicolibrí…""]","Chicolibrí...
","[""Chicolibrí...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0x3CDD0; ENG blocks=0xCD210; ENG source rows=0xCD210#6; block_semantic_score=0.096249.
BRIEFING_FILES_BLOCK_03CDD0,6,stream=0x3C000;block=0xDD0;text=6,"[""stream=0x3C000;block=0xDD0;text=6""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]","チコリブリ…？
","コリブリの息子って意味よ。あいつに捕まったらとにかく
もがいて暴れるしかない。
","運が良ければ脱出できるかもしれないわ。
",[],,,NOT_CHECKED,116,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"意思是“colibri之子”。
如果它抓住你，你就只能拼命挣脱了。","[""意思是“colibri之子”。\n如果它抓住你，你就只能拼命挣脱了。""]","It means ""son of colibri."" If it gets you, you'll just
have to wriggle your way out.
","[""It means \""son of colibri.\"" If it gets you, you'll just\nhave to wriggle your way out.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0x3CDD0; ENG blocks=0xCD210; ENG source rows=0xCD210#7; block_semantic_score=0.096249.
BRIEFING_FILES_BLOCK_03CDD0,7,stream=0x3C000;block=0xDD0;text=7,"[""stream=0x3C000;block=0xDD0;text=7""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]","コリブリの息子って意味よ。あいつに捕まったらとにかく
もがいて暴れるしかない。
","運が良ければ脱出できるかもしれないわ。
","その前につかまらないようにしたいところだな。
",[],,,NOT_CHECKED,58,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,运气好也许能逃脱。,"[""运气好也许能逃脱。""]","You might get away if you're lucky.
","[""You might get away if you're lucky.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0x3CDD0; ENG blocks=0xCD210; ENG source rows=0xCD210#8; block_semantic_score=0.096249.
BRIEFING_FILES_BLOCK_03CDD0,8,stream=0x3C000;block=0xDD0;text=8,"[""stream=0x3C000;block=0xDD0;text=8""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]","運が良ければ脱出できるかもしれないわ。
","その前につかまらないようにしたいところだな。
","ええ。それがいちばんだわ。
",[],,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,我可不想冒那个险。,"[""我可不想冒那个险。""]","I'd rather not have to take that chance.
","[""I'd rather not have to take that chance.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0x3CDD0; ENG blocks=0xCD210; ENG source rows=0xCD210#9; block_semantic_score=0.096249.
BRIEFING_FILES_BLOCK_03CDD0,9,stream=0x3C000;block=0xDD0;text=9,"[""stream=0x3C000;block=0xDD0;text=9""]",1,BRIEFING FILES,"[""stream=0x3C000;block=0xDD0;block_file=0x3CDD0;text_base=0x3CE18;capacity=744""]","その前につかまらないようにしたいところだな。
","ええ。それがいちばんだわ。
",,[],,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,确实，那样最好。,"[""确实，那样最好。""]","Indeed, that would be best.
","[""Indeed, that would be best.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0x3CDD0; ENG blocks=0xCD210; ENG source rows=0xCD210#10; block_semantic_score=0.096249.
