file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AFE2D,0,0,0,1,,page2037:tag2:entity7:key00000007:ref0:ord0,,"<R=『任務』,ミッション>だけよ ジャック",ただひとつ 絶対に信じられるのは…,"<R=『任務』,ミッション>","只有<R=『任务』,MISSION>，Jack。","<R=『任务』,MISSION>",MATCH,54,40,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY;RUBY_PRESERVED
5D3AFE2D,1,1,1,1,,page2037:tag2:entity6:key00000006:ref1:ord0,"<R=『任務』,ミッション>だけよ ジャック",ただひとつ 絶対に信じられるのは…,組織への誓いか？　人への情か？,,唯一绝对可信的是……,,MATCH,49,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFE2D,2,2,2,1,,page2037:tag2:entity5:key00000005:ref2:ord0,ただひとつ 絶対に信じられるのは…,組織への誓いか？　人への情か？,国か 恩師か？　任務か 思想か？,,是对组织的誓言？还是对人的感情？,,MATCH,45,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFE2D,3,3,3,1,,page2037:tag2:entity4:key00000004:ref3:ord0,組織への誓いか？　人への情か？,国か 恩師か？　任務か 思想か？,国に忠を尽くすか？　それとも私に忠を尽くすか？,,是国家还是恩师？是任务还是思想？,,MATCH,44,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFE2D,4,4,4,1,,page2037:tag2:entity3:key00000003:ref4:ord0,国か 恩師か？　任務か 思想か？,国に忠を尽くすか？　それとも私に忠を尽くすか？,お前はどうだ？,,你要效忠国家，还是效忠我？,,MATCH,69,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFE2D,5,5,5,1,,page2037:tag2:entity2:key00000002:ref5:ord0,国に忠を尽くすか？　それとも私に忠を尽くすか？,お前はどうだ？,自分に忠を尽くした ,,你呢？,,MATCH,21,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFE2D,6,6,6,1,,page2037:tag2:entity1:key00000001:ref6:ord0,お前はどうだ？,自分に忠を尽くした ,亡命ではない,,我忠于自己。 ,,MATCH,28,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY;TRAILING_SPACE_PRESERVED
5D3AFE2D,7,7,7,1,,page2037:tag2:entity0:key00000000:ref7:ord0,自分に忠を尽くした ,亡命ではない,だからこそ 納得のいく答えが欲しい  ,,我并没有叛逃。,,MATCH,18,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFE2D,8,8,8,1,,page2037:tag2:entity17:key00000009:ref8:ord0,亡命ではない,だからこそ 納得のいく答えが欲しい  ,いいか 私は科学者だ,,正因如此，我才想要一个能让我信服的答案。  ,,MATCH,51,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY;TRAILING_SPACES_PRESERVED
5D3AFE2D,9,9,9,1,,page2037:tag2:entity16:key00000008:ref9:ord0,だからこそ 納得のいく答えが欲しい  ,いいか 私は科学者だ,だから こんな真似はしたくない ,,听着，我是科学家。,,MATCH,28,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3AFE2D,10,10,10,1,,page2037:tag2:entity15:key00000007:ref10:ord0,いいか 私は科学者だ,だから こんな真似はしたくない ,私は科学者だ ,,所以我不想做这种事。 ,,MATCH,44,31,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY;SHIFTED_AUX_REJECTED;TRAILING_SPACE_PRESERVED
5D3AFE2D,11,11,11,1,,page2037:tag2:entity14:key00000006:ref11:ord0,だから こんな真似はしたくない ,私は科学者だ ,AIの開発者だが 私はAIではない ,,我是科学家。 ,,MATCH,19,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY;SHIFTED_AUX_REJECTED;TRAILING_SPACE_PRESERVED
