file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7C736D,0,,,,,record0:segment0:timing0-0,,何かロック部分を壊す手段は無いか？,糸鋸だ スネーク\n糸鋸を使えば脱出できる,,有什么办法能破坏那把锁吗？,,MATCH,51,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,1,,,,,record1:segment0:timing0-0,何かロック部分を壊す手段は無いか？,糸鋸だ スネーク\n糸鋸を使えば脱出できる,どうにかしてロックを解除できないか？,,钢丝锯，Snake。\n用钢丝锯就能逃出去。,,MATCH,57,52,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,2,,,,,record2:segment0:timing0-0,糸鋸だ スネーク\n糸鋸を使えば脱出できる,どうにかしてロックを解除できないか？,IDカードはどうした？\nカードを使うんだ スネーク,,不能想办法把锁打开吗？,,MATCH,54,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,3,,,,,record3:segment0:timing0-0,どうにかしてロックを解除できないか？,IDカードはどうした？\nカードを使うんだ スネーク,糸鋸を持っていかれたのか…,,ID卡呢？\n用卡，Snake。,,MATCH,68,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,4,,,,,record4:segment0:timing66-105,IDカードはどうした？\nカードを使うんだ スネーク,糸鋸を持っていかれたのか…,他に何か手はないのか？,,钢丝锯被拿走了吗……,,MATCH,39,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,5,,,,,record4:segment1:timing0-0,糸鋸を持っていかれたのか…,他に何か手はないのか？,IDカードを没収されたか…,,没有别的办法吗？,,MATCH,33,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,6,,,,,record5:segment0:timing74-118,他に何か手はないのか？,IDカードを没収されたか…,他に脱出する手段はないか…,,ID卡也被没收了吗……,,MATCH,35,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,7,,,,,record5:segment1:timing0-0,IDカードを没収されたか…,他に脱出する手段はないか…,糸鋸もIDカードも失ったか…,,还有别的逃脱办法吗……,,MATCH,39,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,8,,,,,record6:segment0:timing71-131,他に脱出する手段はないか…,糸鋸もIDカードも失ったか…,何か別の方法を考えるしかないな,,钢丝锯和ID卡都丢了吗……,,MATCH,38,35,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,9,,,,,record6:segment1:timing0-0,糸鋸もIDカードも失ったか…,何か別の方法を考えるしかないな,じっとしていても仕方がない,,看来只能另想办法了。,,MATCH,45,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,10,,,,,record7:segment0:timing40-112,何か別の方法を考えるしかないな,じっとしていても仕方がない,幸い二人だ\n一人じゃ無理なことも出来る,,光待着也没用。,,MATCH,39,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,11,,,,,record7:segment1:timing119-158,じっとしていても仕方がない,幸い二人だ\n一人じゃ無理なことも出来る,協力して脱出を図るんだ,,好在有两个人。\n一个人办不到的事也能做到。,,MATCH,56,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,12,,,,,record7:segment2:timing0-0,幸い二人だ\n一人じゃ無理なことも出来る,協力して脱出を図るんだ,そこのバディと組んで脱出法を探すんだ\n辺りをよく見ろ 知恵を絞れ,,互相配合，想办法逃出去。,,MATCH,33,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,13,,,,,record8:segment0:timing0-0,協力して脱出を図るんだ,そこのバディと組んで脱出法を探すんだ\n辺りをよく見ろ 知恵を絞れ,協力すれば背の高さよりも上に手が届くはずだ,,和旁边的搭档合作找逃脱方法。\n仔细看看四周，动动脑子。,,MATCH,93,80,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,14,,,,,record9:segment0:timing81-176,そこのバディと組んで脱出法を探すんだ\n辺りをよく見ろ 知恵を絞れ,協力すれば背の高さよりも上に手が届くはずだ,高いところに脱出できそうな開口部はないか？\n探してみろ,,两个人配合的话，应该能碰到比自己身高更高的地方。,,MATCH,63,72,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,15,,,,,record9:segment1:timing0-0,協力すれば背の高さよりも上に手が届くはずだ,高いところに脱出できそうな開口部はないか？\n探してみろ,糸鋸を挽くにはアイコンのボタンを交互に押すんだ,,高处有没有能逃出去的开口？\n找找看。,,MATCH,80,53,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
