file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D2088CC,0,0,0,1,,page76:tag12:entity9:key00000009:ref0:ord0,,"カニンガム…<R=ＦＯＸ,フォックス>の捕虜尋問官？",四週間前まではＣＩＡにいた,"<R=ＦＯＸ,フォックス>","Cunningham…<R=FOX,FOX>的俘虏审讯官？","<R=FOX,FOX>",MATCH,68,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=RUBY_COUNT_ORDER_PRESERVED; JPN_FOX_IDENTITY_LATINIZED_CONSISTENTLY; AUX_SEMANTICS_ONLY
5D2088CC,1,1,1,1,,page76:tag12:entity8:key00000008:ref1:ord0,"カニンガム…<R=ＦＯＸ,フォックス>の捕虜尋問官？",四週間前まではＣＩＡにいた,あんたは？,,直到四周前还在CIA,,MATCH,39,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FOUR_WEEKS_AND_CIA_SEMANTICS_PRESERVED; NO_AUX_ADDED_INTRODUCTION_OR_NEWLINE
5D2088CC,2,2,2,1,,page76:tag12:entity7:key00000007:ref2:ord0,四週間前まではＣＩＡにいた,あんたは？,"…人違いで連れてこられたわけでは
なさそうだな",,你呢？,,MATCH,15,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_SHORT_QUESTION_PRESERVED
5D2088CC,3,3,3,1,,page76:tag12:entity6:key00000006:ref3:ord0,あんたは？,"…人違いで連れてこられたわけでは
なさそうだな","それともスネークと呼ばれるほうが好みかね
…ネイキッド・スネーク",,"…看来并不是抓错人
才把我带到这里的啊",,MATCH,67,55,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_LEADING_ELLIPSIS_AND_SINGLE_NEWLINE_PRESERVED
5D2088CC,4,4,4,1,,page76:tag12:entity5:key00000005:ref4:ord0,"…人違いで連れてこられたわけでは
なさそうだな","それともスネークと呼ばれるほうが好みかね
…ネイキッド・スネーク","とぼけても無駄だ
おまえのことはよく知っている",,"还是说你更喜欢别人叫你Snake呢
…Naked Snake",,MATCH,94,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_SINGLE_NEWLINE_LEADING_SECOND_LINE_ELLIPSIS_AND_NAKED_SNAKE_IDENTITY_PRESERVED; AUX_QUESTION_MARK_NOT_FORCED
5D2088CC,5,5,5,1,,page76:tag12:entity4:key00000004:ref5:ord0,"それともスネークと呼ばれるほうが好みかね
…ネイキッド・スネーク","とぼけても無駄だ
おまえのことはよく知っている",…誰のことだ,,"装傻也没用
你的事我很清楚",,MATCH,67,37,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_SINGLE_NEWLINE_AND_TWO_CLAUSE_STRUCTURE_PRESERVED; AUX_ADDED_BOSS_REJECTED
5D2088CC,6,6,6,1,,page76:tag12:entity3:key00000003:ref6:ord0,"とぼけても無駄だ
おまえのことはよく知っている",…誰のことだ,"いい夢は見られたかね <R=ＢＩＧＢＯＳＳ,ビッグボス>",,…你说的是谁,,MATCH,18,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_LEADING_ELLIPSIS_AND_NO_TERMINAL_PUNCTUATION_PRESERVED
5D2088CC,7,7,7,1,,page76:tag12:entity2:key00000002:ref7:ord0,…誰のことだ,"いい夢は見られたかね <R=ＢＩＧＢＯＳＳ,ビッグボス>",たしかにそうなっているな 表向きは,"<R=ＢＩＧＢＯＳＳ,ビッグボス>","做了个好梦吗 <R=BIGBOSS,BIG BOSS>","<R=BIGBOSS,BIG BOSS>",MATCH,72,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_ASCII_SPACE_BEFORE_RUBY_PRESERVED; RUBY_STYLE_MATCHES_EXISTING_BIGBOSS_MAPPING
5D2088CC,8,8,8,1,,page76:tag12:entity16:key00000010:ref8:ord0,"いい夢は見られたかね <R=ＢＩＧＢＯＳＳ,ビッグボス>",たしかにそうなっているな 表向きは,除隊か,,确实是这样 表面上,,MATCH,49,25,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_AND_NO_TERMINAL_PUNCTUATION_PRESERVED
5D2088CC,9,9,9,1,,page76:tag12:entity15:key0000000F:ref9:ord0,たしかにそうなっているな 表向きは,除隊か,同窓会にしてはずいぶん手荒い歓迎だが,,退役吗,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_IMPLIED_QUESTION_WITH_NO_TERMINAL_PUNCTUATION_PRESERVED; AUX_QUESTION_MARK_REJECTED
5D2088CC,10,10,10,1,,page76:tag12:entity14:key0000000E:ref10:ord0,除隊か,同窓会にしてはずいぶん手荒い歓迎だが,…ＦＯＸを除隊した俺に今更なんの用だ？,,这场同窗会的欢迎还真够粗暴的,,MATCH,54,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_REUNION_ROUGH_WELCOME_SEMANTICS_PRESERVED; NO_AUX_ADDED_GOONS_DETAIL
5D2088CC,11,11,11,1,,page76:tag12:entity13:key0000000D:ref11:ord0,同窓会にしてはずいぶん手荒い歓迎だが,…ＦＯＸを除隊した俺に今更なんの用だ？,そうだな 今はそういうことにしておこう,,…我都已经退出FOX了，现在找我还有什么事？,,MATCH,57,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_LEADING_ELLIPSIS_FOX_IDENTITY_AND_QUESTION_PRESERVED
5D2088CC,12,12,12,1,,page76:tag12:entity12:key0000000C:ref12:ord0,…ＦＯＸを除隊した俺に今更なんの用だ？,そうだな 今はそういうことにしておこう,俺を襲ってきたのもＦＯＸの隊員なのか？,,是啊 现在就先当作是这样吧,,MATCH,55,37,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_AND_PROVISIONAL_SEMANTICS_PRESERVED
5D2088CC,13,13,13,1,,page76:tag12:entity11:key0000000B:ref13:ord0,そうだな 今はそういうことにしておこう,俺を襲ってきたのもＦＯＸの隊員なのか？,知っていてくれたとは光栄だよ スネーク,,袭击我的也是FOX的队员吗？,,MATCH,57,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FOX_ATTACKER_QUESTION_PRESERVED; AUX_ADDED_LINEBREAK_REJECTED
5D2088CC,14,14,14,1,,page76:tag12:entity10:key0000000A:ref14:ord0,俺を襲ってきたのもＦＯＸの隊員なのか？,知っていてくれたとは光栄だよ スネーク,正確なお目覚めだな,,你知道我，真是荣幸啊 Snake,,MATCH,55,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_ASCII_SPACE_BEFORE_SNAKE_PRESERVED; NO_TERMINAL_PUNCTUATION_ADDED
5D2088CC,15,15,15,1,,page76:tag12:entity1:key00000001:ref15:ord0,知っていてくれたとは光栄だよ スネーク,正確なお目覚めだな,薬剤投与後12時間ちょうどか,,醒得很准时啊,,MATCH,27,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CURRENT_ROW_JPN_WAKE_TIMING_SEMANTICS_RESTORED; SHIFTED_AUX_DRUG_LINE_REJECTED
