file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
0005EE2F,0,4,4,1,,page:tag:entity2:key00049DA9:ref4:ord4,,デフォルト,TEXTURE,,默认,,MATCH,15,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_EMPTY_TRANSLATED_FROM_JPN
0005EE2F,1,10,10,1,,page:tag:entity23:key0047C178:ref10:ord4,デフォルト,TEXTURE,ゲーム中に使用する雑誌データを切り替えることができます。,,TEXTURE,,MATCH,7,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=UI_LABEL_TRANSLATED_FROM_JPN; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
0005EE2F,2,16,16,1,,page:tag:entity38:key00E12FEC:ref16:ord4,TEXTURE,ゲーム中に使用する雑誌データを切り替えることができます。,雑誌データ,,可切换游戏中使用的杂志数据。,,MATCH,84,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0005EE2F,3,22,22;128;129,3,,page:tag:entity7:key001889B7:ref22:ord4;page:tag:entity17:key003726D7:ref128:ord8;page:tag:entity17:key003726D7:ref129:ord9,ゲーム中に使用する雑誌データを切り替えることができます。,雑誌データ,VOICE,,杂志数据,,MATCH,15,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=3
0005EE2F,4,28,28,1,,page:tag:entity19:key003A136D:ref28:ord4,雑誌データ,VOICE,ゲーム中に使用するAI兵器の音声データを切り替えることができます。,,VOICE,,MATCH,5,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_UNCHANGED_UI_LABEL_TRANSLATED; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
0005EE2F,5,34,34,1,,page:tag:entity37:key00DBA915:ref34:ord4,VOICE,ゲーム中に使用するAI兵器の音声データを切り替えることができます。,AI兵器音声データ,,可切换游戏中使用的AI兵器语音数据。,,MATCH,95,50,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0005EE2F,6,40,40;244,2,,page:tag:entity31:key0091B2B1:ref40:ord4;page:tag:entity21:key003DB471:ref244:ord4,ゲーム中に使用するAI兵器の音声データを切り替えることができます。,AI兵器音声データ,ALL,,AI兵器语音数据,,MATCH,23,20,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2
0005EE2F,7,46,46,1,,page:tag:entity35:key00B7F4AE:ref46:ord4,AI兵器音声データ,ALL,ゲーム中に使用する雑誌データ・AI兵器音声データを切り替えることができます。,,全部,,MATCH,3,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0005EE2F,8,52,52;142,2,,page:tag:entity30:key007C6806:ref52:ord4;page:tag:entity12:key0027F9E4:ref142:ord4,ALL,ゲーム中に使用する雑誌データ・AI兵器音声データを切り替えることができます。,すべて,,可切换游戏中使用的杂志数据和AI兵器语音数据。,,MATCH,110,65,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2; review_flag=AUX_OMITS_MAGAZINE_DATA;JPN_TRANSLATED_DIRECTLY
0005EE2F,9,58,58,1,,page:tag:entity24:key0050A352:ref58:ord4,ゲーム中に使用する雑誌データ・AI兵器音声データを切り替えることができます。,すべて,"左スティックで画面の表示位置を変更できます。
LTとRTで画面の表示倍率を変更できます。
<I=DEC>で決定します。
<I=△>でデフォルトの表示設定に戻ります。",,全部,,MATCH,9,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0005EE2F,10,64,64,1,,page:tag:entity4:key00094877:ref64:ord4,すべて,"左スティックで画面の表示位置を変更できます。
LTとRTで画面の表示倍率を変更できます。
<I=DEC>で決定します。
<I=△>でデフォルトの表示設定に戻ります。","画面の表示設定を行います。
背景を囲う赤線が画面にピッタリ収まるように調整してください。",<I=DEC> | <I=△>,"可用左摇杆调整画面显示位置。
用LT和RT调整画面显示倍率。
按<I=DEC>确认。
按<I=△>恢复默认显示设置。",<I=DEC> | <I=△>,MATCH,210,138,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=CONTROL_PRESERVED
0005EE2F,11,70,70,1,,page:tag:entity13:key00284A42:ref70:ord4,"左スティックで画面の表示位置を変更できます。
LTとRTで画面の表示倍率を変更できます。
<I=DEC>で決定します。
<I=△>でデフォルトの表示設定に戻ります。","画面の表示設定を行います。
背景を囲う赤線が画面にピッタリ収まるように調整してください。",画面の表示設定を変更することができます。,,"进行画面显示设置。
请调整至环绕背景的红线正好完整显示在屏幕内。",,MATCH,130,94,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0005EE2F,12,76,76,1,,page:tag:entity32:key009E1DF8:ref76:ord4,"画面の表示設定を行います。
背景を囲う赤線が画面にピッタリ収まるように調整してください。",画面の表示設定を変更することができます。,画面表示,,可更改画面显示设置。,,MATCH,60,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0005EE2F,13,82,82,1,,page:tag:entity3:key00069574:ref82:ord4,画面の表示設定を変更することができます。,画面表示,タイトルメニューに戻ります。,,画面显示,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0005EE2F,14,88,88,1,,page:tag:entity25:key0051550B:ref88:ord4,画面表示,タイトルメニューに戻ります。,タイトルメニューに戻る,,返回标题菜单。,,MATCH,42,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0005EE2F,15,94,94,1,,page:tag:entity20:key003DA827:ref94:ord4,タイトルメニューに戻ります。,タイトルメニューに戻る,新潟弁バージョン,,返回标题菜单,,MATCH,33,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0005EE2F,16,100,100,1,,page:tag:entity34:key00AE4365:ref100:ord4,タイトルメニューに戻る,新潟弁バージョン,ヒューマンボイスバージョン,,新潟方言版,,MATCH,24,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_EMPTY_TRANSLATED_FROM_JPN
0005EE2F,17,106,106;160;178;196,4,,page:tag:entity33:key00AE4364:ref106:ord4;page:tag:entity10:key00262CCD:ref160:ord4;page:tag:entity5:key0017B115:ref178:ord4;page:tag:entity0:key0002D356:ref196:ord4,新潟弁バージョン,ヒューマンボイスバージョン,デフォルトボイス,,人声版,,MATCH,39,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=4; review_flag=AUX_WORDING_NORMALIZED
0005EE2F,18,112,112;166;184;202,4,,page:tag:entity36:key00C610C0:ref112:ord4;page:tag:entity22:key003DFA29:ref166:ord4;page:tag:entity15:key002F7E71:ref184:ord4;page:tag:entity9:key001AA0B2:ref202:ord4,ヒューマンボイスバージョン,デフォルトボイス,SFマガジン/2010年7月号,,默认语音,,MATCH,24,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=4
0005EE2F,19,118,118,1,,page:tag:entity16:key00321860:ref118:ord4,デフォルトボイス,SFマガジン/2010年7月号,雑誌データ,,SF杂志/2010年7月号,,MATCH,29,23,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_EMPTY_TRANSLATED_FROM_JPN;TITLE_TERM_REVIEW
