file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_048EE0,0,stream=0x48000;block=0xEE0;text=0,"[""stream=0x48000;block=0xEE0;text=0""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]",,"<R=ZEKE,ジーク>が起動する前、パスが<R=ZEKE,ジーク>を壊そうとしているの
を目撃したそうだな。
","っ…。
","[""<R=ZEKE,ジーク>"", ""<R=ZEKE,ジーク>""]","听说在<R=ZEKE,ZEKE>启动之前，你亲眼看到Paz想破坏<R=ZEKE,ZEKE>。","<R=ZEKE,ZEKE> | <R=ZEKE,ZEKE>",MATCH,128,80,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_048EE0,1,stream=0x48000;block=0xEE0;text=1,"[""stream=0x48000;block=0xEE0;text=1""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","<R=ZEKE,ジーク>が起動する前、パスが<R=ZEKE,ジーク>を壊そうとしているの
を目撃したそうだな。
","っ…。
","俺が…。
",[],呃……。,,MATCH,10,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_048EE0,2,stream=0x48000;block=0xEE0;text=2,"[""stream=0x48000;block=0xEE0;text=2""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","っ…。
","俺が…。
","俺が止めるべきだったんだ…。
",[],是我……。,,MATCH,13,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_048EE0,3,stream=0x48000;block=0xEE0;text=3,"[""stream=0x48000;block=0xEE0;text=3""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","俺が…。
","俺が止めるべきだったんだ…。
","あのとき俺が、逃げたりしなければ…。
",[],本该由我阻止她的……。,,MATCH,43,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_048EE0,4,stream=0x48000;block=0xEE0;text=4,"[""stream=0x48000;block=0xEE0;text=4""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","俺が止めるべきだったんだ…。
","あのとき俺が、逃げたりしなければ…。
","乗り込む前なら拘束できたはずだ…。<R=ZEKE,ジーク>に乗り込ませ
ずに俺が止めれば、彼女は死なずに済んだ…。
",[],如果那时候我没有逃走……。,,MATCH,55,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_048EE0,5,stream=0x48000;block=0xEE0;text=5,"[""stream=0x48000;block=0xEE0;text=5""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","あのとき俺が、逃げたりしなければ…。
","乗り込む前なら拘束できたはずだ…。<R=ZEKE,ジーク>に乗り込ませ
ずに俺が止めれば、彼女は死なずに済んだ…。
","パスは銃を持っていた。専門的な訓練も受けていただろう。
","[""<R=ZEKE,ジーク>""]","在她登上去之前，我明明可以制止她……。
要是我没让她登上<R=ZEKE,ZEKE>，而是由我阻止她，她就不会死了……。","<R=ZEKE,ZEKE>",MATCH,152,149,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_048EE0,6,stream=0x48000;block=0xEE0;text=6,"[""stream=0x48000;block=0xEE0;text=6""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","乗り込む前なら拘束できたはずだ…。<R=ZEKE,ジーク>に乗り込ませ
ずに俺が止めれば、彼女は死なずに済んだ…。
","パスは銃を持っていた。専門的な訓練も受けていただろう。
","自分を責めるな。丸腰のお前には止められなかったはずだ。
",[],Paz当时有枪。大概也受过专业训练。,,MATCH,82,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_048EE0,7,stream=0x48000;block=0xEE0;text=7,"[""stream=0x48000;block=0xEE0;text=7""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","パスは銃を持っていた。専門的な訓練も受けていただろう。
","自分を責めるな。丸腰のお前には止められなかったはずだ。
","でも、話だけでもしてたら…。
",[],别责怪自己。你当时手无寸铁，不可能阻止她。,,MATCH,82,63,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_048EE0,8,stream=0x48000;block=0xEE0;text=8,"[""stream=0x48000;block=0xEE0;text=8""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","自分を責めるな。丸腰のお前には止められなかったはずだ。
","でも、話だけでもしてたら…。
","俺が誰にも言わないって約束してたら、パスはあんな行動
に出なかったはずだ…。
",[],可是，哪怕只是跟她说说话……。,,MATCH,43,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_048EE0,9,stream=0x48000;block=0xEE0;text=9,"[""stream=0x48000;block=0xEE0;text=9""]",1,BRIEFING FILES,"[""stream=0x48000;block=0xEE0;block_file=0x48EE0;text_base=0x48F50;capacity=1612""]","でも、話だけでもしてたら…。
","俺が誰にも言わないって約束してたら、パスはあんな行動
に出なかったはずだ…。
","なのに俺は、パスが工作員だったのがショックで、そのま
ま逃げてしまった…。
",[],如果我答应她绝不告诉任何人，Paz就不会做出那种事了……。,,MATCH,113,81,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
