file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D1A33A6,0,0,0,1,,page238:tag8:entity37:key00B9FF48:ref0:ord0,,UNKNOWN,SCANNING...,,UNKNOWN,,MATCH,7,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_MECHA_SCAN_LABEL_PRESERVED
5D1A33A6,1,1,1,1,,page238:tag8:entity38:key00D99905:ref1:ord0,UNKNOWN,SCANNING...,TJ-CHRYSALIS6000,,SCANNING...,,MATCH,11,11,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_MECHA_SCAN_LABEL_AND_THREE_DOTS_PRESERVED
5D1A33A6,2,2,2,1,,page238:tag8:entity1:key001240D9:ref2:ord0,SCANNING...,TJ-CHRYSALIS6000,CHRYSALIS,,TJ-CHRYSALIS6000,,MATCH,16,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_MECHA_MODEL_IDENTITY_PRESERVED
5D1A33A6,3,3,3,1,,page238:tag8:entity0:key001240D8:ref3:ord0,TJ-CHRYSALIS6000,CHRYSALIS,LIFE,,CHRYSALIS,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_MECHA_IDENTITY_PRESERVED
5D1A33A6,4,4,4,1,,page238:tag8:entity11:key0039D502:ref4:ord0,CHRYSALIS,LIFE,LEVEL,,LIFE,,MATCH,4,4,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_MECHA_SCAN_LABEL_PRESERVED
5D1A33A6,5,5,5,1,,page238:tag8:entity36:key008B0506:ref5:ord0,LIFE,LEVEL, ,,LEVEL,,MATCH,5,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_MECHA_SCAN_LABEL_PRESERVED
5D1A33A6,6,6,6;7;8;9,4,,page238:tag8:entity35:key00796C5C:ref6:ord0;page238:tag8:entity10:key0012DE58:ref7:ord0;page238:tag8:entity34:key0079685C:ref8:ord0;page238:tag8:entity9:key0012DE57:ref9:ord0,LEVEL, ,POD,, ,,MATCH,1,1,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_SINGLE_ASCII_SPACE_PLACEHOLDER_PRESERVED_EXACTLY
5D1A33A6,7,10,10;12,2,,page238:tag8:entity33:key0079649E:ref10:ord0;page238:tag8:entity8:key0012DE56:ref12:ord0, ,POD,P,,POD,,MATCH,3,3,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=FIXED_JPN_MECHA_SCAN_LABEL_PRESERVED
5D1A33A6,8,11,11,1,,page238:tag8:entity32:key0079645C:ref11:ord0,POD,P,POD,,P,,MATCH,1,1,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=FIXED_JPN_MECHA_ATTRIBUTE_CODE_PRESERVED
5D1A33A6,9,13,13;15;25;27;28;30;38,7,,page238:tag8:entity31:key0079609E:ref13:ord0;page238:tag8:entity7:key0012DE55:ref15:ord0;page238:tag8:entity23:key0079509E:ref25:ord0;page238:tag8:entity3:key0012DE51:ref27:ord0;page238:tag8:entity21:key00794C9E:ref28:ord0;page238:tag8:entity2:key0012DE50:ref30:ord0;page238:tag8:entity12:key004EDDB2:ref38:ord0,POD,MOBILITY,M,,MOBILITY,,MATCH,8,8,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=7; review_flag=FIXED_JPN_MECHA_SCAN_LABEL_PRESERVED
