file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DCDD1C4,0,0,0;0,2,,page28:tag2:entity23:key00BE55EF:ref0:ord0;page40:tag1:entity23:key00BE55EF:ref0:ord0,,BRIEFING FILES,・,,BRIEFING FILES,,MATCH,14,14,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=FIXED_JPN_UPPERCASE_UI_LABEL_PRESERVED; AUX_CHINESE_LOCALIZATION_NOT_FORCED
5DCDD1C4,1,1,1;1,2,,page28:tag2:entity14:key006CFDA1:ref1:ord0;page40:tag1:entity14:key006CFDA1:ref1:ord0,BRIEFING FILES,・,このミッションについて$1$2,,・,,MATCH,3,3,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_MIDDLE_DOT_GLYPH_PRESERVED_EXACTLY; AUX_COLON_SUBSTITUTION_REJECTED
5DCDD1C4,2,2,2;2,2,,page28:tag2:entity13:key005CB77E:ref2:ord0;page40:tag1:entity13:key005CB77E:ref2:ord0,・,このミッションについて$1$2,ファイルライブラリ$1$2,$1 | $2,关于本次任务$1$2,$1 | $2,MATCH,37,22,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_PLACEHOLDER_ORDER_AND_ZERO_SPACING_BETWEEN_TEXT_DOLLAR1_DOLLAR2_PRESERVED; AUX_ADDED_SPACES_REJECTED
5DCDD1C4,3,3,3;3,2,,page28:tag2:entity0:key0006DFC8:ref3:ord0;page40:tag1:entity0:key0006DFC8:ref3:ord0,このミッションについて$1$2,ファイルライブラリ$1$2,NEXT,$1 | $2,文件库$1$2,$1 | $2,MATCH,31,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_PLACEHOLDER_ORDER_AND_ADJACENCY_PRESERVED; AUX_ADDED_SPACES_REJECTED
5DCDD1C4,4,4,4;4,2,,page28:tag2:entity21:key00B4BBE3:ref4:ord0;page40:tag1:entity21:key00B4BBE3:ref4:ord0,ファイルライブラリ$1$2,NEXT,スキップ：,,NEXT,,MATCH,4,4,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=FIXED_JPN_UPPERCASE_UI_LABEL_PRESERVED
5DCDD1C4,5,5,5;5,2,,page28:tag2:entity22:key00B5B581:ref5:ord0;page40:tag1:entity22:key00B5B581:ref5:ord0,NEXT,スキップ：,保存：　保存せず終了：,,跳过：,,MATCH,15,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_FULLWIDTH_COLON_PRESERVED; AUX_TRAILING_SPACE_REJECTED
5DCDD1C4,6,6,6;6,2,,page28:tag2:entity10:key002DFD93:ref6:ord0;page40:tag1:entity10:key002DFD93:ref6:ord0,スキップ：,保存：　保存せず終了：,ザドルノフ,,保存：　不保存退出：,,MATCH,33,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_FULLWIDTH_COLONS_AND_SINGLE_IDEOGRAPHIC_SPACE_PRESERVED; AUX_THREE_ASCII_SPACES_REJECTED
5DCDD1C4,7,7,7;7,2,,page28:tag2:entity16:key007C8CCB:ref7:ord0;page40:tag1:entity16:key007C8CCB:ref7:ord0,保存：　保存せず終了：,ザドルノフ,女性２,,Zadornov,,MATCH,15,8,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=ESTABLISHED_CHARACTER_IDENTITY_PRESERVED
5DCDD1C4,8,8,8;8,2,,page28:tag2:entity18:key0081A65E:ref8:ord0;page40:tag1:entity18:key0081A65E:ref8:ord0,ザドルノフ,女性２,女性１,,女性２,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_GENERIC_SPEAKER_LABEL_LOCALIZED_WITH_FULLWIDTH_DIGIT_２_PRESERVED
5DCDD1C4,9,9,9;9,2,,page28:tag2:entity17:key0081A65D:ref9:ord0;page40:tag1:entity17:key0081A65D:ref9:ord0,女性２,女性１,UNKNOWN,,女性１,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2; review_flag=JPN_GENERIC_SPEAKER_LABEL_LOCALIZED_WITH_FULLWIDTH_DIGIT_１_PRESERVED
