file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_MISSION_ENDTELOP.OLANG,0,0,0;0,2,,page15:tag:entity0:key0029E0FC:ref0:ord0;page174:tag:entity0:key0029E0FC:ref0:ord0,,"
MISSION COMPLETE","
TO BE CONTINUED IN THE NEXT MISSION...    ",,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MISSION_ENDTELOP.OLANG,1,1,1;1,2,,page15:tag:entity1:key0029E0FC:ref1:ord0;page174:tag:entity1:key0029E0FC:ref1:ord0,"
MISSION COMPLETE","
TO BE CONTINUED IN THE NEXT MISSION...    ",OPENING/INVESTIGATE THE SUPPLY FACILITY,,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MISSION_ENDTELOP.OLANG,2,2,2;2,2,,page15:tag:entity2:key0029E0FC:ref2:ord0;page174:tag:entity2:key0029E0FC:ref2:ord0,"
TO BE CONTINUED IN THE NEXT MISSION...    ",OPENING/INVESTIGATE THE SUPPLY FACILITY,CONTACT THE SANDINISTA COMANDANTE,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MISSION_ENDTELOP.OLANG,3,3,3;3,2,,page15:tag:entity3:key0029E0FC:ref3:ord0;page174:tag:entity3:key0029E0FC:ref3:ord0,OPENING/INVESTIGATE THE SUPPLY FACILITY,CONTACT THE SANDINISTA COMANDANTE,PURSUE AMANDA,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MISSION_ENDTELOP.OLANG,4,4,4;4,2,,page15:tag:entity4:key0029E0FC:ref4:ord0;page174:tag:entity4:key0029E0FC:ref4:ord0,CONTACT THE SANDINISTA COMANDANTE,PURSUE AMANDA,ARMORED VEHICLE BATTLE: LAV-TYPE G,,,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MISSION_ENDTELOP.OLANG,5,5,5;160;5;160,4,,page15:tag:entity5:key0029E0FC:ref5:ord0;page15:tag:entity160:key0029E0FC:ref160:ord0;page174:tag:entity5:key0029E0FC:ref5:ord0;page174:tag:entity160:key0029E0FC:ref160:ord0,PURSUE AMANDA,ARMORED VEHICLE BATTLE: LAV-TYPE G,RESCUE CHICO,,,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4
LANG_MISSION_ENDTELOP.OLANG,6,6,6;6,2,,page15:tag:entity6:key0029E0FC:ref6:ord0;page174:tag:entity6:key0029E0FC:ref6:ord0,ARMORED VEHICLE BATTLE: LAV-TYPE G,RESCUE CHICO,PURSUE THE JUNGLE TRAIN,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MISSION_ENDTELOP.OLANG,7,7,7;7,2,,page15:tag:entity7:key0029E0FC:ref7:ord0;page174:tag:entity7:key0029E0FC:ref7:ord0,RESCUE CHICO,PURSUE THE JUNGLE TRAIN,TANK BATTLE: T-72U,,,,NOT_CHECKED,23,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MISSION_ENDTELOP.OLANG,8,8,8;133;8;133,4,,page15:tag:entity8:key0029E0FC:ref8:ord0;page15:tag:entity133:key0029E0FC:ref133:ord0;page174:tag:entity8:key0029E0FC:ref8:ord0;page174:tag:entity133:key0029E0FC:ref133:ord0,PURSUE THE JUNGLE TRAIN,TANK BATTLE: T-72U,DESTROY BARRICADE,,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4
LANG_MISSION_ENDTELOP.OLANG,9,9,9;9,2,,page15:tag:entity9:key0029E0FC:ref9:ord0;page174:tag:entity9:key0029E0FC:ref9:ord0,TANK BATTLE: T-72U,DESTROY BARRICADE,INFILTRATE THE CRATER BASE,,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
