file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_00CDC0,0,stream=0xC000;block=0xDC0;text=0,"[""stream=0xC000;block=0xDC0;text=0""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]",,"今日本は、アメリカが持つ核の傘の下にある…。
","そうだな。
",[],现在日本处在美国的核保护伞之下……,,MATCH,67,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
BRIEFING_FILES_BLOCK_00CDC0,1,stream=0xC000;block=0xDC0;text=1,"[""stream=0xC000;block=0xDC0;text=1""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]","今日本は、アメリカが持つ核の傘の下にある…。
","そうだな。
","アメリカは、同盟国が核攻撃を受けたら、相手国を核攻撃
する…そう宣言することで、同盟国への核攻撃を抑止する。
",[],是啊。,,MATCH,16,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
BRIEFING_FILES_BLOCK_00CDC0,2,stream=0xC000;block=0xDC0;text=2,"[""stream=0xC000;block=0xDC0;text=2""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]","そうだな。
","アメリカは、同盟国が核攻撃を受けたら、相手国を核攻撃
する…そう宣言することで、同盟国への核攻撃を抑止する。
","これが核の傘だ。
",[],美国宣称，如果盟国遭到核攻击，就会对攻击方发动核打击……以此威慑针对盟国的核攻击。,,MATCH,161,123,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
BRIEFING_FILES_BLOCK_00CDC0,3,stream=0xC000;block=0xDC0;text=3,"[""stream=0xC000;block=0xDC0;text=3""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]","アメリカは、同盟国が核攻撃を受けたら、相手国を核攻撃
する…そう宣言することで、同盟国への核攻撃を抑止する。
","これが核の傘だ。
","だが、実際にソ連が東京へ核を撃ったとして、アメリカは
本当にモスクワへ核を撃つか？
",[],这就是核保护伞。,,MATCH,25,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;AUX_ADDS_TERM_ORIGIN_IGNORED
BRIEFING_FILES_BLOCK_00CDC0,4,stream=0xC000;block=0xDC0;text=4,"[""stream=0xC000;block=0xDC0;text=4""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]","これが核の傘だ。
","だが、実際にソ連が東京へ核を撃ったとして、アメリカは
本当にモスクワへ核を撃つか？
","モスクワに核を撃てば、確実にソ連はアメリカに報復する
だろう。
",[],可是，如果苏联真的对东京发射核弹，美国真会对莫斯科发射核弹吗？,,MATCH,122,93,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;AUX_REFERENCE_CLIPPED
BRIEFING_FILES_BLOCK_00CDC0,5,stream=0xC000;block=0xDC0;text=5,"[""stream=0xC000;block=0xDC0;text=5""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]","だが、実際にソ連が東京へ核を撃ったとして、アメリカは
本当にモスクワへ核を撃つか？
","モスクワに核を撃てば、確実にソ連はアメリカに報復する
だろう。
","ワシントンD．C．に核を落とされる危険を冒してまで、
日本のために反撃するか？
",[],一旦对莫斯科发动核打击，苏联肯定会报复美国。,,MATCH,92,66,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;AUX_REFERENCE_MERGED
BRIEFING_FILES_BLOCK_00CDC0,6,stream=0xC000;block=0xDC0;text=6,"[""stream=0xC000;block=0xDC0;text=6""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]","モスクワに核を撃てば、確実にソ連はアメリカに報復する
だろう。
","ワシントンD．C．に核を落とされる危険を冒してまで、
日本のために反撃するか？
","…俺にはわからない。
",[],美国真会为了日本，冒着华盛顿D．C．遭到核打击的风险进行反击吗？,,MATCH,112,92,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
BRIEFING_FILES_BLOCK_00CDC0,7,stream=0xC000;block=0xDC0;text=7,"[""stream=0xC000;block=0xDC0;text=7""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]","ワシントンD．C．に核を落とされる危険を冒してまで、
日本のために反撃するか？
","…俺にはわからない。
","どうした。今さら日本のことが気がかりか？
",[],……我不知道。,,MATCH,31,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
BRIEFING_FILES_BLOCK_00CDC0,8,stream=0xC000;block=0xDC0;text=8,"[""stream=0xC000;block=0xDC0;text=8""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]","…俺にはわからない。
","どうした。今さら日本のことが気がかりか？
","そう言うわけじゃないが…。
",[],怎么了？事到如今，你还在担心日本吗？,,MATCH,61,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;AUX_ADDS_AFTER_ALL_THESE_YEARS_IGNORED
BRIEFING_FILES_BLOCK_00CDC0,9,stream=0xC000;block=0xDC0;text=9,"[""stream=0xC000;block=0xDC0;text=9""]",1,BRIEFING FILES,"[""stream=0xC000;block=0xDC0;block_file=0xCDC0;text_base=0xCE18;capacity=1128""]","どうした。今さら日本のことが気がかりか？
","そう言うわけじゃないが…。
","…正直、俺にもわからん。
",[],倒也不是那个意思……,,MATCH,40,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
