file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
LANG_V_THEATER020.OLANG,0,0,0,1,,page11:tag:entity9:key00000009:ref0:ord0,,だが 俺達はカネで買われる事になる,時代が俺達の目的を決める,,,,NOT_CHECKED,49,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,"如果时代需要，我们会成为革命者，
罪犯、恐怖分子。","[""如果时代需要，我们会成为革命者，\n罪犯、恐怖分子。""]","If the times demand it, we'll be revolutionaries,
criminals, terrorists.","[""If the times demand it, we'll be revolutionaries,\ncriminals, terrorists.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_V_THEATER020.OLANG,1,1,1,1,,page11:tag:entity8:key00000008:ref1:ord0,だが 俺達はカネで買われる事になる,時代が俺達の目的を決める,俺達は『国境なき軍隊』…,,,,NOT_CHECKED,36,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,"我们有时不得不出卖
我们自己和我们的服务。","[""我们有时不得不出卖\n我们自己和我们的服务。""]","We will sometimes have to sell 
ourselves and services.","[""We will sometimes have to sell \nourselves and services.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_V_THEATER020.OLANG,2,2,2,1,,page11:tag:entity7:key00000007:ref2:ord0,時代が俺達の目的を決める,俺達は『国境なき軍隊』…,そして 持てぬモノ達の “抑止力”となる,,,,NOT_CHECKED,36,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,"我们是无国界的士兵，
我们的使命由我们所处的时代定义。","[""我们是无国界的士兵，\n我们的使命由我们所处的时代定义。""]","We are soldiers without borders,
our purpose defined by the era we live in.","[""We are soldiers without borders,\nour purpose defined by the era we live in.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_V_THEATER020.OLANG,3,3,3,1,,page11:tag:entity6:key00000006:ref3:ord0,俺達は『国境なき軍隊』…,そして 持てぬモノ達の “抑止力”となる,俺達は必要とされているからこそ 戦う,,,,NOT_CHECKED,56,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,"我们将成为
那些走投无路者的威慑力量。","[""我们将成为\n那些走投无路者的威慑力量。""]","We will be the deterrent for those
with no other recourse.","[""We will be the deterrent for those\nwith no other recourse.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_V_THEATER020.OLANG,4,4,4,1,,page11:tag:entity5:key00000005:ref4:ord0,そして 持てぬモノ達の “抑止力”となる,俺達は必要とされているからこそ 戦う,国のためでも 政府のためでもない,,,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,"我们不需要战斗的理由。
我们战斗，因为有人需要我们。","[""我们不需要战斗的理由。\n我们战斗，因为有人需要我们。""]","We need no reason to fight.
We fight because we are needed.","[""We need no reason to fight.\nWe fight because we are needed.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_V_THEATER020.OLANG,5,5,5,1,,page11:tag:entity4:key00000004:ref5:ord0,俺達は必要とされているからこそ 戦う,国のためでも 政府のためでもない,俺達は必要とされる土地へ赴き 俺達のために戦う,,,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,"不为国家而战，不为政府而战，
而是为我们自己而战。","[""不为国家而战，不为政府而战，\n而是为我们自己而战。""]","fighting not for country, not for government,
but for ourselves.","[""fighting not for country, not for government,\nbut for ourselves.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_V_THEATER020.OLANG,6,6,6,1,,page11:tag:entity3:key00000003:ref6:ord0,国のためでも 政府のためでもない,俺達は必要とされる土地へ赴き 俺達のために戦う,そこには 国も思想も イデオロギーもない,,,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,我们去需要我们的地方，,"[""我们去需要我们的地方，""]","We go where we're needed, ","[""We go where we're needed, ""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_V_THEATER020.OLANG,7,7,7,1,,page11:tag:entity2:key00000002:ref7:ord0,俺達は必要とされる土地へ赴き 俺達のために戦う,そこには 国も思想も イデオロギーもない,"それが俺達の<R=『天国の外側』,アウター・ヘブン>だ",,,,NOT_CHECKED,56,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,我们没有国家，没有哲学，没有意识形态。,"[""我们没有国家，没有哲学，没有意识形态。""]","We have no nation, no philosophy, no ideology. ","[""We have no nation, no philosophy, no ideology. ""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_V_THEATER020.OLANG,8,8,8,1,,page11:tag:entity15:key0000000F:ref8:ord0,そこには 国も思想も イデオロギーもない,"それが俺達の<R=『天国の外側』,アウター・ヘブン>だ","<R=天国,ヘブン>でもあり <R=地獄,ヘル>でもある","<R=『天国の外側』,アウター・ヘブン>",,,NOT_CHECKED,71,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,那就是我们的“世外天国”。,"[""那就是我们的“世外天国”。""]",,[],AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_V_THEATER020.OLANG,9,9,9,1,,page11:tag:entity14:key0000000E:ref9:ord0,"それが俺達の<R=『天国の外側』,アウター・ヘブン>だ","<R=天国,ヘブン>でもあり <R=地獄,ヘル>でもある",ここは俺達にとっては 唯一無二の家,"<R=天国,ヘブン> | <R=地獄,ヘル>",,,NOT_CHECKED,62,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1,这就是世外天堂。,"[""这就是世外天堂。""]",This is Outer Heaven. ,"[""This is Outer Heaven. ""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
