file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_V_THEATER010.OLANG,0,0,0,1,,page11:tag:entity9:key00000009:ref0:ord0,,みんな お前を待ってるんだぞ？　ボス,俺は間違っていた,,,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,1,1,1,1,,page11:tag:entity8:key00000008:ref1:ord0,みんな お前を待ってるんだぞ？　ボス,俺は間違っていた,何を言ってるんだ スネーク？,,,,NOT_CHECKED,24,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,2,2,2,1,,page11:tag:entity7:key00000007:ref2:ord0,俺は間違っていた,何を言ってるんだ スネーク？,迷いは断ち切れた…,,,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,3,3,3,1,,page11:tag:entity6:key00000006:ref3:ord0,何を言ってるんだ スネーク？,迷いは断ち切れた…,スネーク まさか…,,,,NOT_CHECKED,27,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,4,4,4,1,,page11:tag:entity5:key00000005:ref4:ord0,迷いは断ち切れた…,スネーク まさか…,断ち切れたよ,,,,NOT_CHECKED,25,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,5,5,5,1,,page11:tag:entity4:key00000004:ref5:ord0,スネーク まさか…,断ち切れたよ,え…？,,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,6,6,6,1,,page11:tag:entity3:key00000003:ref6:ord0,断ち切れたよ,え…？,"<R=BIGBOSS,ビッグボス>だ",,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,7,7,7,1,,page11:tag:entity23:key00000017:ref7:ord0,え…？,"<R=BIGBOSS,ビッグボス>だ",今日から俺は…,"<R=BIGBOSS,ビッグボス>",,,NOT_CHECKED,30,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,8,8,8,1,,page11:tag:entity22:key00000016:ref8:ord0,"<R=BIGBOSS,ビッグボス>だ",今日から俺は…,ああ そうだ,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,9,9,9,1,,page11:tag:entity21:key00000015:ref9:ord0,今日から俺は…,ああ そうだ,それじゃ…,,,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,10,10,10,1,,page11:tag:entity20:key00000014:ref10:ord0,ああ そうだ,それじゃ…,俺は もう 戻らない…,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,11,11,11,1,,page11:tag:entity2:key00000002:ref11:ord0,それじゃ…,俺は もう 戻らない…,俺は 彼女とは違う未来を生きる,,,,NOT_CHECKED,29,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER010.OLANG,12,12,12,1,,page11:tag:entity19:key00000013:ref12:ord0,俺は もう 戻らない…,俺は 彼女とは違う未来を生きる,俺は 彼女とは違う選択をする,,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
