file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D5CAF77,0,0,0;11;0;11;0;11;0;11;0;11;0;11,12,,page4:tag15:entity3:key002E2357:ref0:ord0;page4:tag15:entity22:key00D57705:ref11:ord0;page10:tag11:entity3:key002E2357:ref0:ord0;page10:tag11:entity22:key00D57705:ref11:ord0;page16:tag14:entity3:key002E2357:ref0:ord0;page16:tag14:entity22:key00D57705:ref11:ord0;page22:tag9:entity3:key002E2357:ref0:ord0;page22:tag9:entity22:key00D57705:ref11:ord0;page46:tag4:entity3:key002E2357:ref0:ord0;page46:tag4:entity22:key00D57705:ref11:ord0;page292:tag12:entity3:key002E2357:ref0:ord0;page292:tag12:entity22:key00D57705:ref11:ord0,,S,M,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=12,,[],S,"[""S""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D5CAF77,1,1,1;1;1;1;1;1,6,,page4:tag15:entity2:key002E2351:ref1:ord0;page10:tag11:entity2:key002E2351:ref1:ord0;page16:tag14:entity2:key002E2351:ref1:ord0;page22:tag9:entity2:key002E2351:ref1:ord0;page46:tag4:entity2:key002E2351:ref1:ord0;page292:tag12:entity2:key002E2351:ref1:ord0,S,M,"ATTENTION
MEMORY TOWER LOCKED. CANNOT TAKE OUT MEMORY DRIVE NOW.",,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,,[],M,"[""M""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D5CAF77,2,2,2;2;2;2;2;2,6,,page4:tag15:entity5:key00462C3E:ref2:ord0;page10:tag11:entity5:key00462C3E:ref2:ord0;page16:tag14:entity5:key00462C3E:ref2:ord0;page22:tag9:entity5:key00462C3E:ref2:ord0;page46:tag4:entity5:key00462C3E:ref2:ord0;page292:tag12:entity5:key00462C3E:ref2:ord0,M,"ATTENTION
MEMORY TOWER LOCKED. CANNOT TAKE OUT MEMORY DRIVE NOW.",MEMORY TOWER LOCKED,,,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,"ATTENTION
MEMORY TOWER LOCKED. CANNOT REMOVE MEMORY DRIVE NOW.","[""ATTENTION\nMEMORY TOWER LOCKED. CANNOT REMOVE MEMORY DRIVE NOW.""]","ATTENTION
MEMORY TOWER LOCKED. CANNOT REMOVE MEMORY DRIVE NOW.","[""ATTENTION\nMEMORY TOWER LOCKED. CANNOT REMOVE MEMORY DRIVE NOW.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D5CAF77,3,3,3;3;3;3;3;3,6,,page4:tag15:entity6:key009C9AA9:ref3:ord0;page10:tag11:entity6:key009C9AA9:ref3:ord0;page16:tag14:entity6:key009C9AA9:ref3:ord0;page22:tag9:entity6:key009C9AA9:ref3:ord0;page46:tag4:entity6:key009C9AA9:ref3:ord0;page292:tag12:entity6:key009C9AA9:ref3:ord0,"ATTENTION
MEMORY TOWER LOCKED. CANNOT TAKE OUT MEMORY DRIVE NOW.",MEMORY TOWER LOCKED,C,,,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,,[],MEMORY TOWER LOCKED,"[""MEMORY TOWER LOCKED""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D5CAF77,4,4,4;4;4;4;4;4,6,,page4:tag15:entity1:key002E2347:ref4:ord0;page10:tag11:entity1:key002E2347:ref4:ord0;page16:tag14:entity1:key002E2347:ref4:ord0;page22:tag9:entity1:key002E2347:ref4:ord0;page46:tag4:entity1:key002E2347:ref4:ord0;page292:tag12:entity1:key002E2347:ref4:ord0,MEMORY TOWER LOCKED,C,A,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,,[],C,"[""C""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D5CAF77,5,5,5;5;5;5;5;5,6,,page4:tag15:entity0:key002E2345:ref5:ord0;page10:tag11:entity0:key002E2345:ref5:ord0;page16:tag14:entity0:key002E2345:ref5:ord0;page22:tag9:entity0:key002E2345:ref5:ord0;page46:tag4:entity0:key002E2345:ref5:ord0;page292:tag12:entity0:key002E2345:ref5:ord0,C,A,TIME + %02d,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,,[],A,"[""A""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D5CAF77,6,6,6;6;6;6;6;6,6,,page4:tag15:entity7:key00AF002F:ref6:ord0;page10:tag11:entity7:key00AF002F:ref6:ord0;page16:tag14:entity7:key00AF002F:ref6:ord0;page22:tag9:entity7:key00AF002F:ref6:ord0;page46:tag4:entity7:key00AF002F:ref6:ord0;page292:tag12:entity7:key00AF002F:ref6:ord0,A,TIME + %02d,Remove Board:<I=×>,,,,NOT_CHECKED,11,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,时间 + %02d,"[""时间 + %02d""]",TIME + %02d,"[""TIME + %02d""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D5CAF77,7,7,7;7;7;7;7;7,6,,page4:tag15:entity4:key003DF22B:ref7:ord0;page10:tag11:entity4:key003DF22B:ref7:ord0;page16:tag14:entity4:key003DF22B:ref7:ord0;page22:tag9:entity4:key003DF22B:ref7:ord0;page46:tag4:entity4:key003DF22B:ref7:ord0;page292:tag12:entity4:key003DF22B:ref7:ord0,TIME + %02d,Remove Board:<I=×>,ZZZ,<I=×>,,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,移除记忆板：<I=×>,"[""移除记忆板：<I=×>""]",Remove Board:<I=×>,"[""Remove Board:<I=×>""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D5CAF77,8,8,8;8;8;8;8;8,6,,page4:tag15:entity15:key008587FB:ref8:ord0;page10:tag11:entity15:key008587FB:ref8:ord0;page16:tag14:entity15:key008587FB:ref8:ord0;page22:tag9:entity15:key008587FB:ref8:ord0;page46:tag4:entity15:key008587FB:ref8:ord0;page292:tag12:entity15:key008587FB:ref8:ord0,Remove Board:<I=×>,ZZZ,WEAPON,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,,[],ZZZ,"[""ZZZ""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D5CAF77,9,9,9;9;9;9;9;9,6,,page4:tag15:entity10:key00519DA7:ref9:ord0;page10:tag11:entity10:key00519DA7:ref9:ord0;page16:tag14:entity10:key00519DA7:ref9:ord0;page22:tag9:entity10:key00519DA7:ref9:ord0;page46:tag4:entity10:key00519DA7:ref9:ord0;page292:tag12:entity10:key00519DA7:ref9:ord0,ZZZ,WEAPON,USE:,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6,WEAPONS,"[""WEAPONS""]",WEAPONS,"[""WEAPONS""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
