file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_005C00,0,stream=0x5000;block=0xC00;text=0,"[""stream=0x5000;block=0xC00;text=0""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]",,"スネーク、差し支えなければ訊きたいんだが。
","なんだ、いつものように図々しくしたらどうだ。
",[],,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,嘿Snake，能问你件事吗？,"[""嘿Snake，能问你件事吗？""]","Hey Snake, mind if I ask you something?
","[""Hey Snake, mind if I ask you something?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5C00; ENG blocks=0x9A230; ENG source rows=0x9A230#0; block_semantic_score=0.212476.
BRIEFING_FILES_BLOCK_005C00,1,stream=0x5000;block=0xC00;text=1,"[""stream=0x5000;block=0xC00;text=1""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]","スネーク、差し支えなければ訊きたいんだが。
","なんだ、いつものように図々しくしたらどうだ。
","…あー、CIAの<R=準軍事部隊,パラミリタリー>に所属していたことがあるんだ
よな。
",[],,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你什么时候开始问我能不能问了？,"[""你什么时候开始问我能不能问了？""]","Since when did you start asking permission?
","[""Since when did you start asking permission?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5C00; ENG blocks=0x9A230; ENG source rows=0x9A230#1; block_semantic_score=0.212476.
BRIEFING_FILES_BLOCK_005C00,2,stream=0x5000;block=0xC00;text=2,"[""stream=0x5000;block=0xC00;text=2""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]","なんだ、いつものように図々しくしたらどうだ。
","…あー、CIAの<R=準軍事部隊,パラミリタリー>に所属していたことがあるんだ
よな。
","そうだ。
","[""<R=準軍事部隊,パラミリタリー>""]",,,NOT_CHECKED,112,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"…哈。话说，你以前是
中情局准军事部队的人吧？","[""…哈。话说，你以前是\n中情局准军事部队的人吧？""]","..Ha. So, you used to be part of a CIA paramilitary
unit, right?
","[""..Ha. So, you used to be part of a CIA paramilitary\nunit, right?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5C00; ENG blocks=0x9A230; ENG source rows=0x9A230#2; block_semantic_score=0.212476.
BRIEFING_FILES_BLOCK_005C00,3,stream=0x5000;block=0xC00;text=3,"[""stream=0x5000;block=0xC00;text=3""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]","…あー、CIAの<R=準軍事部隊,パラミリタリー>に所属していたことがあるんだ
よな。
","そうだ。
","中米でも作戦を？
",[],,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,没错。,"[""没错。""]","That's right.
","[""That's right.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5C00; ENG blocks=0x9A230; ENG source rows=0x9A230#3; block_semantic_score=0.212476.
BRIEFING_FILES_BLOCK_005C00,4,stream=0x5000;block=0xC00;text=4,"[""stream=0x5000;block=0xC00;text=4""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]","そうだ。
","中米でも作戦を？
","いや、それはない。だが、別の部隊は色々やってたようだ。
",[],,,NOT_CHECKED,25,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,在中美洲执行过什么任务吗？,"[""在中美洲执行过什么任务吗？""]","Ever do any ops in Central America?
","[""Ever do any ops in Central America?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5C00; ENG blocks=0x9A230; ENG source rows=0x9A230#4; block_semantic_score=0.212476.
BRIEFING_FILES_BLOCK_005C00,5,stream=0x5000;block=0xC00;text=5,"[""stream=0x5000;block=0xC00;text=5""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]","中米でも作戦を？
","いや、それはない。だが、別の部隊は色々やってたようだ。
","61年のピッグス湾事件は俺もよく覚えている。新聞が派手
に書き立てたからな。
",[],,,NOT_CHECKED,82,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"不，我没亲自去过。
不过有别的部队干了各种各样的事。","[""不，我没亲自去过。\n不过有别的部队干了各种各样的事。""]","No, not personally. But there were other units who
did all kinds of stuff.
","[""No, not personally. But there were other units who\ndid all kinds of stuff.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5C00; ENG blocks=0x9A230; ENG source rows=0x9A230#5; block_semantic_score=0.212476.
BRIEFING_FILES_BLOCK_005C00,6,stream=0x5000;block=0xC00;text=6,"[""stream=0x5000;block=0xC00;text=6""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]","いや、それはない。だが、別の部隊は色々やってたようだ。
","61年のピッグス湾事件は俺もよく覚えている。新聞が派手
に書き立てたからな。
","『ザパタ作戦』。手ひどい結果に終わった。
",[],,,NOT_CHECKED,109,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,我记得61年的猪湾入侵事件。,"[""我记得61年的猪湾入侵事件。""]","I remember the Bay of Pigs invasion back in '61.
","[""I remember the Bay of Pigs invasion back in '61.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5C00; ENG blocks=0x9A230; ENG source rows=0x9A230#6; block_semantic_score=0.212476.
BRIEFING_FILES_BLOCK_005C00,7,stream=0x5000;block=0xC00;text=7,"[""stream=0x5000;block=0xC00;text=7""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]","61年のピッグス湾事件は俺もよく覚えている。新聞が派手
に書き立てたからな。
","『ザパタ作戦』。手ひどい結果に終わった。
","それにボリビアでのゲバラ<R=追討,ハントダウン>。これもCIAが関与したと
言われてるが…。
",[],,,NOT_CHECKED,61,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,当时报纸可是大肆炒作了一番。,"[""当时报纸可是大肆炒作了一番。""]","The papers had a field day with it.
","[""The papers had a field day with it.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5C00; ENG blocks=0x9A230; ENG source rows=0x9A230#7; block_semantic_score=0.212476.
BRIEFING_FILES_BLOCK_005C00,8,stream=0x5000;block=0xC00;text=8,"[""stream=0x5000;block=0xC00;text=8""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]","『ザパタ作戦』。手ひどい結果に終わった。
","それにボリビアでのゲバラ<R=追討,ハントダウン>。これもCIAが関与したと
言われてるが…。
","MSPだとかSOGだとかいった名前も聞くが、俺の原隊、
FOXと似た性格の下部組織がいくつかある。
","[""<R=追討,ハントダウン>""]",,,NOT_CHECKED,124,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"代号""萨帕塔行动""，
是中情局取的代号。整件事全搞砸了。后来切·格瓦拉又在玻利维亚被追杀。","[""代号\""萨帕塔行动\""，\n是中情局取的代号。整件事全搞砸了。后来切·格瓦拉又在玻利维亚被追杀。""]","""Operation Zapata"" - that was the CIA codename.
The whole thing went south.
Then there was Che Guevara being hunted down in
Bolivia.
","[""\""Operation Zapata\"" - that was the CIA codename.\nThe whole thing went south.\nThen there was Che Guevara being hunted down in\nBolivia.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x5C00; ENG blocks=0x9A230,0x9A230; ENG source rows=0x9A230#8,0x9A230#9; block_semantic_score=0.212476."
BRIEFING_FILES_BLOCK_005C00,9,stream=0x5000;block=0xC00;text=9,"[""stream=0x5000;block=0xC00;text=9""]",1,BRIEFING FILES,"[""stream=0x5000;block=0xC00;block_file=0x5C00;text_base=0x5C58;capacity=1092""]","それにボリビアでのゲバラ<R=追討,ハントダウン>。これもCIAが関与したと
言われてるが…。
","MSPだとかSOGだとかいった名前も聞くが、俺の原隊、
FOXと似た性格の下部組織がいくつかある。
","特殊部隊出身の要員に諜報員としての訓練を施し、“<R=否定できる,ディナイアブルな>”
秘密の準軍事作戦に従事させるんだ。
",[],,,NOT_CHECKED,128,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"跟我那支部队类似的单位
还有好几个，比如MSP、SOG…","[""跟我那支部队类似的单位\n还有好几个，比如MSP、SOG…""]","There were several units similar to mine. MSP,
SOG...
","[""There were several units similar to mine. MSP,\nSOG...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x5C00; ENG blocks=0x9A230; ENG source rows=0x9A230#11; block_semantic_score=0.212476.
