file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D8AED23,0,0,0;0,2,,page28:tag7:entity236:key00B4F6A5:ref0:ord0;page64:tag5:entity236:key00B4F6A5:ref0:ord0,,   ,"魂を込められるのは、４つまでです。

他のCO-OPS通信に込められた言霊をはらい、
魂を込め直してください。",,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,1,1,1;1,2,,page28:tag7:entity239:key00E59245:ref1:ord0;page64:tag5:entity239:key00E59245:ref1:ord0,   ,"魂を込められるのは、４つまでです。

他のCO-OPS通信に込められた言霊をはらい、
魂を込め直してください。",戻る ：<I=CAN>,,,,NOT_CHECKED,147,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,2,2,2;2,2,,page28:tag7:entity231:key0083DC9A:ref2:ord0;page64:tag5:entity231:key0083DC9A:ref2:ord0,"魂を込められるのは、４つまでです。

他のCO-OPS通信に込められた言霊をはらい、
魂を込め直してください。",戻る ：<I=CAN>,"戻る ：<I=CAN>
魂を込める/はらう ：<I=△>",<I=CAN>,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,3,3,3;3,2,,page28:tag7:entity226:key003EFD93:ref3:ord0;page64:tag5:entity226:key003EFD93:ref3:ord0,戻る ：<I=CAN>,"戻る ：<I=CAN>
魂を込める/はらう ：<I=△>",VOCALOID,<I=CAN> | <I=△>,,,NOT_CHECKED,54,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,4,4,4;4,2,,page28:tag7:entity233:key009BA58D:ref4:ord0;page64:tag5:entity233:key009BA58D:ref4:ord0,"戻る ：<I=CAN>
魂を込める/はらう ：<I=△>",VOCALOID,SNEAKING,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,5,5,5;5,2,,page28:tag7:entity232:key009AF5F4:ref5:ord0;page64:tag5:entity232:key009AF5F4:ref5:ord0,VOCALOID,SNEAKING,RECOVER,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,6,6,6;6,2,,page28:tag7:entity228:key005402DE:ref6:ord0;page64:tag5:entity228:key005402DE:ref6:ord0,SNEAKING,RECOVER,GREETINGS,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,7,7,7;7,2,,page28:tag7:entity238:key00C99BBA:ref7:ord0;page64:tag5:entity238:key00C99BBA:ref7:ord0,RECOVER,GREETINGS,ETC,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,8,8,8;8,2,,page28:tag7:entity235:key00A9AAA1:ref8:ord0;page64:tag5:entity235:key00A9AAA1:ref8:ord0,GREETINGS,ETC,OTHER COMMANDS,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,9,9,9;9,2,,page28:tag7:entity237:key00BCAFBB:ref9:ord0;page64:tag5:entity237:key00BCAFBB:ref9:ord0,ETC,OTHER COMMANDS,DEFENSE,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,10,10,10;10,2,,page28:tag7:entity230:key007EE111:ref10:ord0;page64:tag5:entity230:key007EE111:ref10:ord0,OTHER COMMANDS,DEFENSE,ATTACK,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,11,11,11;11,2,,page28:tag7:entity229:key005AE598:ref11:ord0;page64:tag5:entity229:key005AE598:ref11:ord0,DEFENSE,ATTACK,ASSIST,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,12,12,12;12,2,,page28:tag7:entity227:key004A87A1:ref12:ord0;page64:tag5:entity227:key004A87A1:ref12:ord0,ATTACK,ASSIST,ALL,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,13,13,13;13,2,,page28:tag7:entity234:key00A999AA:ref13:ord0;page64:tag5:entity234:key00A999AA:ref13:ord0,ASSIST,ALL,仲間に敵を引きつけさせる,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D8AED23,14,15,15;15,2,,page28:tag7:entity48:key00000062:ref15:ord0;page64:tag5:entity48:key00000062:ref15:ord0,ALL,仲間に敵を引きつけさせる,敵を引きつける,,,,NOT_CHECKED,36,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
