file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7BF36D,0,,,,,record0:segment0:timing0-0,,よし ピースウォーカーまであと一息だ！\n急いでくれ！,そのシャッター 力を込めれば…\n<I=ACT>の連打で開けてみるんだ！,,好，离和平行者只差一步了！\n快！,,MATCH,75,47,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,1,,,,,record1:segment0:timing0-0,よし ピースウォーカーまであと一息だ！\n急いでくれ！,そのシャッター 力を込めれば…\n<I=ACT>の連打で開けてみるんだ！,そのシャッター 力を込めれば…\n<I=ACT>で開けてみるんだ！,<I=ACT>,那扇卷帘门，只要使上劲……\n连续按<I=ACT>试着打开它！,<I=ACT>,MATCH,88,75,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,2,,,,,record2:segment0:timing0-0,そのシャッター 力を込めれば…\n<I=ACT>の連打で開けてみるんだ！,そのシャッター 力を込めれば…\n<I=ACT>で開けてみるんだ！,シャッターは<I=ACT>を押して開けるんだ！,<I=ACT>,那扇卷帘门，只要使上劲……\n按<I=ACT>试着打开它！,<I=ACT>,MATCH,79,69,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,3,,,,,record3:segment0:timing0-0,そのシャッター 力を込めれば…\n<I=ACT>で開けてみるんだ！,シャッターは<I=ACT>を押して開けるんだ！,シャッターは<I=ACT>で開くんだ！,<I=ACT>,按<I=ACT>打开卷帘门！,<I=ACT>,MATCH,55,28,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,4,,,,,record4:segment0:timing0-0,シャッターは<I=ACT>を押して開けるんだ！,シャッターは<I=ACT>で開くんだ！,『アイコン』が出たら <I=ACT>を押して,<I=ACT>,卷帘门可以用<I=ACT>打开！,<I=ACT>,MATCH,43,34,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,5,,,,,record5:segment0:timing0-0,シャッターは<I=ACT>で開くんだ！,『アイコン』が出たら <I=ACT>を押して,そのシャッターを開けるには<I=ACT>よ！,<I=ACT>,出现“图标”时按<I=ACT>。,<I=ACT>,MATCH,50,34,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,6,,,,,record6:segment0:timing0-0,『アイコン』が出たら <I=ACT>を押して,そのシャッターを開けるには<I=ACT>よ！,そのシャッターの奥にピースウォーカーが…\nよし <I=ACT>でシャッターを開けてくれ,<I=ACT>,要打开那扇卷帘门就按<I=ACT>！,<I=ACT>,MATCH,52,40,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,7,,,,,record7:segment0:timing0-0,そのシャッターを開けるには<I=ACT>よ！,そのシャッターの奥にピースウォーカーが…\nよし <I=ACT>でシャッターを開けてくれ,ピースウォーカーは目と鼻の先だ\nシャッターを越えて奥へ進んでくれ,<I=ACT>,和平行者就在那扇门后……\n好，按<I=ACT>打开卷帘门！,<I=ACT>,MATCH,112,72,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,8,,,,,record8:segment0:timing0-0,そのシャッターの奥にピースウォーカーが…\nよし <I=ACT>でシャッターを開けてくれ,ピースウォーカーは目と鼻の先だ\nシャッターを越えて奥へ進んでくれ,正面突破は無理か…待てよ \n上の階層から回り込めば…？,,和平行者近在眼前。\n越过卷帘门继续往里走。,,MATCH,95,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,9,,,,,record9:segment0:timing0-0,ピースウォーカーは目と鼻の先だ\nシャッターを越えて奥へ進んでくれ,正面突破は無理か…待てよ \n上の階層から回り込めば…？,よし いいぞ！\n一気にピースウォーカーの格納庫へ進むんだ！,,正面突破不行吗……等等。\n从上层绕过去呢？,,MATCH,78,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,10,,,,,record10:segment0:timing0-0,正面突破は無理か…待てよ \n上の階層から回り込めば…？,よし いいぞ！\n一気にピースウォーカーの格納庫へ進むんだ！,やったね さすが！\n名人も真っ青な連打だったよ！,,好，就是这样！\n一口气冲向和平行者的机库！,,MATCH,84,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,11,,,,,record11:segment0:timing98-171,よし いいぞ！\n一気にピースウォーカーの格納庫へ進むんだ！,やったね さすが！\n名人も真っ青な連打だったよ！,さあ ピースウォーカーまであと少しだ！,,干得漂亮！\n这连打速度连高手都得甘拜下风！,,MATCH,69,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,12,,,,,record11:segment1:timing0-0,やったね さすが！\n名人も真っ青な連打だったよ！,さあ ピースウォーカーまであと少しだ！,ピースウォーカーの格納庫を探し出し\nAIポッドを破壊するんだ,,好了，离和平行者只剩一点了！,,MATCH,55,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,13,,,,,record12:segment0:timing0-0,さあ ピースウォーカーまであと少しだ！,ピースウォーカーの格納庫を探し出し\nAIポッドを破壊するんだ,どこかにピースウォーカーの格納庫があるはずだ,,找到和平行者的机库，\n摧毁AI舱。,,MATCH,85,46,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,14,,,,,record13:segment0:timing0-0,ピースウォーカーの格納庫を探し出し\nAIポッドを破壊するんだ,どこかにピースウォーカーの格納庫があるはずだ,時間がない\nピースウォーカーの格納庫へ向かってくれ,,和平行者的机库应该就在某处。,,MATCH,66,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,15,,,,,record14:segment0:timing0-0,どこかにピースウォーカーの格納庫があるはずだ,時間がない\nピースウォーカーの格納庫へ向かってくれ,ピースウォーカーは起動準備中だ\n急いでくれ！,,没时间了。\n前往和平行者的机库。,,MATCH,74,47,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF36D,16,,,,,record15:segment0:timing0-0,時間がない\nピースウォーカーの格納庫へ向かってくれ,ピースウォーカーは起動準備中だ\n急いでくれ！,,,和平行者正在准备启动。\n快！,,MATCH,65,41,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
