file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3B05B2,0,0,0,1,,page2121:tag1:entity9:key00000009:ref0:ord0,,自らを沈めるというの？,偽装データを止めるために…,,它要让自己沉下去吗？,,MATCH,33,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; SELF_SINKING_SEMANTICS; AUX_LOOK_SHIFT_REJECTED
5D3B05B2,1,1,1,1,,page2121:tag1:entity8:key00000008:ref1:ord0,自らを沈めるというの？,偽装データを止めるために…,"<R=“機械の中の幽霊”,ゴースト・イン・ザ・マシーン>…？",,为了阻止伪装数据…,,MATCH,39,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; FALSE_DATA_STOPPING_SEMANTICS; ELLIPSIS_PRESERVED
5D3B05B2,2,2,2,1,,page2121:tag1:entity7:key00000007:ref2:ord0,偽装データを止めるために…,"<R=“機械の中の幽霊”,ゴースト・イン・ザ・マシーン>…？",何故だ…？,"<R=“機械の中の幽霊”,ゴースト・イン・ザ・マシーン>","<R=“机器中的幽灵”,GHOST IN THE MACHINE>…？","<R=“机器中的幽灵”,GHOST IN THE MACHINE>",MATCH,80,55,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; RUBY_REBUILT_FROM_JPN; GHOST_IN_THE_MACHINE_READING_NORMALIZED_TO_CONFIRMED_ENGLISH; ELLIPSIS_QUESTION_PRESERVED
5D3B05B2,3,3,3,1,,page2121:tag1:entity6:key00000006:ref3:ord0,"<R=“機械の中の幽霊”,ゴースト・イン・ザ・マシーン>…？",何故だ…？,これは… ボス…？ ,,为什么…？,,MATCH,15,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3B05B2,4,4,4,1,,page2121:tag1:entity5:key00000005:ref4:ord0,何故だ…？,これは… ボス…？ ,平和という 幻想を,,这是… Boss…？ ,,MATCH,26,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; BOSS_FIXED_IDENTITY; SOURCE_INTERNAL_AND_TRAILING_ASCII_SPACES_PRESERVED
5D3B05B2,5,5,5,1,,page2121:tag1:entity43:key0000002B:ref5:ord0,これは… ボス…？ ,平和という 幻想を,だからこそ… 願うしかないのね,,名为和平的 幻想,,MATCH,25,22,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; SOURCE_INTERNAL_ASCII_SPACE_PRESERVED; FRAGMENT_STRUCTURE_PRESERVED
5D3B05B2,6,6,6,1,,page2121:tag1:entity42:key0000002A:ref6:ord0,平和という 幻想を,だからこそ… 願うしかないのね,平和は 何処にも存在しない,,正因如此… 只能祈愿了呢,,MATCH,43,34,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; SOURCE_INTERNAL_ASCII_SPACE_PRESERVED; ELLIPSIS_PRESERVED
5D3B05B2,7,7,7,1,,page2121:tag1:entity41:key00000029:ref7:ord0,だからこそ… 願うしかないのね,平和は 何処にも存在しない,それでも 唄うしかないのね？,,和平 无处存在,,MATCH,37,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; SOURCE_INTERNAL_ASCII_SPACE_PRESERVED
5D3B05B2,8,8,8,1,,page2121:tag1:entity40:key00000028:ref8:ord0,平和は 何処にも存在しない,それでも 唄うしかないのね？,この歌は…,,即便如此 也只能歌唱了吧？,,MATCH,40,37,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; SOURCE_INTERNAL_ASCII_SPACE_AND_QUESTION_PRESERVED
5D3B05B2,9,9,9,1,,page2121:tag1:entity4:key00000004:ref9:ord0,それでも 唄うしかないのね？,この歌は…,そうでしょ？,,这首歌…,,MATCH,15,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3B05B2,10,10,10,1,,page2121:tag1:entity39:key00000027:ref10:ord0,この歌は…,そうでしょ？,やはり 叶わなかったもの,,对吧？,,MATCH,18,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5D3B05B2,11,11,11,1,,page2121:tag1:entity38:key00000026:ref11:ord0,そうでしょ？,やはり 叶わなかったもの,そして,,果然 还是未能实现的东西,,MATCH,34,34,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY; AUX_SHIFT_REJECTED; SOURCE_INTERNAL_ASCII_SPACE_PRESERVED
