file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_MISSION_BLOCK_37FB90,0,stream=0x37F000;block=0xB90;text=0,"[""stream=0x37F000;block=0xB90;text=0""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]",,"少し、相談したいことがあるんだが。
…ボス？
","どうした、改まって。
",[],"有件事想和你商量一下……。
……Boss？
",,MATCH,65,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37FB90,1,stream=0x37F000;block=0xB90;text=1,"[""stream=0x37F000;block=0xB90;text=1""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]","少し、相談したいことがあるんだが。
…ボス？
","どうした、改まって。
","<R=ニカラグア湖,ラゴ・コシボルカ>から、ピースウォーカーに積まれていた
核弾頭を引き上げた。
",[],"怎么了，这么郑重其事的。
",,MATCH,31,37,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37FB90,2,stream=0x37F000;block=0xB90;text=2,"[""stream=0x37F000;block=0xB90;text=2""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]","どうした、改まって。
","<R=ニカラグア湖,ラゴ・コシボルカ>から、ピースウォーカーに積まれていた
核弾頭を引き上げた。
","何だって？
","[""<R=ニカラグア湖,ラゴ・コシボルカ>""]","我们从<R=尼加拉瓜湖,LAGO COCIBOLCA>里，打捞出了装在Peace Walker上的
核弹头。
","<R=尼加拉瓜湖,LAGO COCIBOLCA>",MATCH,133,99,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_MISSION_BLOCK_37FB90,3,stream=0x37F000;block=0xB90;text=3,"[""stream=0x37F000;block=0xB90;text=3""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]","<R=ニカラグア湖,ラゴ・コシボルカ>から、ピースウォーカーに積まれていた
核弾頭を引き上げた。
","何だって？
","核弾頭は放射性物質の塊だ。
比較的安定した状態にあるといってもな。
",[],"你说什么？
",,MATCH,16,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37FB90,4,stream=0x37F000;block=0xB90;text=4,"[""stream=0x37F000;block=0xB90;text=4""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]","何だって？
","核弾頭は放射性物質の塊だ。
比較的安定した状態にあるといってもな。
","いつまでも湖の底に放置しておけば、湖が汚染される。
それに、テロリストの手に渡ったりしたら…。
",[],"核弹头就是一大块放射性物质。
就算它处于相对稳定的状态也是一样。
",,MATCH,98,95,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37FB90,5,stream=0x37F000;block=0xB90;text=5,"[""stream=0x37F000;block=0xB90;text=5""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]","核弾頭は放射性物質の塊だ。
比較的安定した状態にあるといってもな。
","いつまでも湖の底に放置しておけば、湖が汚染される。
それに、テロリストの手に渡ったりしたら…。
","新たな危機を生む…。
",[],"要是一直把它扔在湖底，湖水会受到污染。
而且，要是落到恐怖分子手里……。
",,MATCH,140,107,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37FB90,6,stream=0x37F000;block=0xB90;text=6,"[""stream=0x37F000;block=0xB90;text=6""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]","いつまでも湖の底に放置しておけば、湖が汚染される。
それに、テロリストの手に渡ったりしたら…。
","新たな危機を生む…。
","ああ。
だから、<R=米政府,ホワイトハウス>がどうケツ拭くか迷ってるうちに、
俺の方で、手を打たせてもらった。
",[],"会引发新的危机……。
",,MATCH,31,31,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37FB90,7,stream=0x37F000;block=0xB90;text=7,"[""stream=0x37F000;block=0xB90;text=7""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]","新たな危機を生む…。
","ああ。
だから、<R=米政府,ホワイトハウス>がどうケツ拭くか迷ってるうちに、
俺の方で、手を打たせてもらった。
","だが、回収した弾頭をどうするつもりだ？
","[""<R=米政府,ホワイトハウス>""]","嗯。
所以，趁<R=美国政府,WHITE HOUSE>还在为怎么收拾残局发愁，
我先替他们采取行动了。
","<R=美国政府,WHITE HOUSE>",MATCH,155,118,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_MISSION_BLOCK_37FB90,8,stream=0x37F000;block=0xB90;text=8,"[""stream=0x37F000;block=0xB90;text=8""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]","ああ。
だから、<R=米政府,ホワイトハウス>がどうケツ拭くか迷ってるうちに、
俺の方で、手を打たせてもらった。
","だが、回収した弾頭をどうするつもりだ？
","<R=ZEKE,ジーク>に搭載する。
",[],"可是，你打算怎么处理回收的弹头？
",,MATCH,58,49,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37FB90,9,stream=0x37F000;block=0xB90;text=9,"[""stream=0x37F000;block=0xB90;text=9""]",1,BRIEFING MISSION,"[""stream=0x37F000;block=0xB90;block_file=0x37FB90;text_base=0x37FC00;capacity=1920""]","だが、回収した弾頭をどうするつもりだ？
","<R=ZEKE,ジーク>に搭載する。
","何だって…！
","[""<R=ZEKE,ジーク>""]","装到<R=ZEKE,ZEKE>上。
","<R=ZEKE,ZEKE>",MATCH,37,26,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
