file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3B090D,0,0,0,1,,page2129:tag2:entity9:key00000009:ref0:ord0,,モンスター！？,"じゃなくてその島には
もっと巨大な<R=ヤツ,モンスター>がいるニャ ",,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,1,1,1,1,,page2129:tag2:entity8:key00000008:ref1:ord0,モンスター！？,"じゃなくてその島には
もっと巨大な<R=ヤツ,モンスター>がいるニャ ",ニャかニャかスルドいニャ…,"<R=ヤツ,モンスター>",,,NOT_CHECKED,91,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,2,2,2,1,,page2129:tag2:entity7:key00000007:ref2:ord0,"じゃなくてその島には
もっと巨大な<R=ヤツ,モンスター>がいるニャ ",ニャかニャかスルドいニャ…,"“珍しい生き物”？
お前よりもか？ ",,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,3,3,3,1,,page2129:tag2:entity6:key00000006:ref3:ord0,ニャかニャかスルドいニャ…,"“珍しい生き物”？
お前よりもか？ ","ハンターさんならきっと狩りたくなる
珍しい生き物がいる島に 案内するニャ ",,,,NOT_CHECKED,50,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,4,4,4,1,,page2129:tag2:entity5:key00000005:ref4:ord0,"“珍しい生き物”？
お前よりもか？ ","ハンターさんならきっと狩りたくなる
珍しい生き物がいる島に 案内するニャ ",そうニャ,,,,NOT_CHECKED,105,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,5,5,5,1,,page2129:tag2:entity4:key00000004:ref5:ord0,"ハンターさんならきっと狩りたくなる
珍しい生き物がいる島に 案内するニャ ",そうニャ,トレニャー？,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,6,6,6,1,,page2129:tag2:entity3:key00000003:ref6:ord0,そうニャ,トレニャー？,"もしかしてアンタ ハンターさん？
オイラはトレニャーだニャ",,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,7,7,7,1,,page2129:tag2:entity2:key00000002:ref7:ord0,トレニャー？,"もしかしてアンタ ハンターさん？
オイラはトレニャーだニャ",お前もタダのネコじゃないな,,,,NOT_CHECKED,83,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,8,8,8,1,,page2129:tag2:entity15:key0000000F:ref8:ord0,"もしかしてアンタ ハンターさん？
オイラはトレニャーだニャ",お前もタダのネコじゃないな,"眼光が鋭いからニャかニャか
見どころがあると思ったのにニャ…",,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,9,9,9,1,,page2129:tag2:entity14:key0000000E:ref9:ord0,お前もタダのネコじゃないな,"眼光が鋭いからニャかニャか
見どころがあると思ったのにニャ…",ニャ！？ そうなのニャ…,,,,NOT_CHECKED,88,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,10,10,10,1,,page2129:tag2:entity13:key0000000D:ref10:ord0,"眼光が鋭いからニャかニャか
見どころがあると思ったのにニャ…",ニャ！？ そうなのニャ…,俺はハンターじゃない,,,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,11,11,11,1,,page2129:tag2:entity12:key0000000C:ref11:ord0,ニャ！？ そうなのニャ…,俺はハンターじゃない,だが残念だ,,,,NOT_CHECKED,30,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,12,12,12,1,,page2129:tag2:entity11:key0000000B:ref12:ord0,俺はハンターじゃない,だが残念だ,ハンターなら見逃せない獲物ニャ！,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,13,13,13,1,,page2129:tag2:entity10:key0000000A:ref13:ord0,だが残念だ,ハンターなら見逃せない獲物ニャ！,ネコが 喋っている,,,,NOT_CHECKED,48,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,14,14,14,1,,page2129:tag2:entity1:key00000001:ref14:ord0,ハンターなら見逃せない獲物ニャ！,ネコが 喋っている,ニャニャ！　そんなおかしな武器はしまうニャ,,,,NOT_CHECKED,25,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,15,15,15,1,,page2129:tag2:entity0:key00000000:ref15:ord0,ネコが 喋っている,ニャニャ！　そんなおかしな武器はしまうニャ,何だ,,,,NOT_CHECKED,63,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3B090D,16,16,16,1,,page2129:tag2:entity21:key00000005:ref16:ord0,ニャニャ！　そんなおかしな武器はしまうニャ,何だ,待つニャ！　話だけでも聞いて欲しいニャ,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
