font,xpr,character,codepoint,glyph_index
JPN0007,0007ccd8.xpr, ,U+0020,1
JPN0007,0007ccd8.xpr,!,U+0021,2
JPN0007,0007ccd8.xpr,"""",U+0022,3
JPN0007,0007ccd8.xpr,#,U+0023,4
JPN0007,0007ccd8.xpr,$,U+0024,5
JPN0007,0007ccd8.xpr,%,U+0025,6
JPN0007,0007ccd8.xpr,&,U+0026,7
JPN0007,0007ccd8.xpr,',U+0027,8
JPN0007,0007ccd8.xpr,(,U+0028,9
JPN0007,0007ccd8.xpr,),U+0029,10
JPN0007,0007ccd8.xpr,*,U+002A,11
JPN0007,0007ccd8.xpr,+,U+002B,12
JPN0007,0007ccd8.xpr,",",U+002C,13
JPN0007,0007ccd8.xpr,-,U+002D,14
JPN0007,0007ccd8.xpr,.,U+002E,15
JPN0007,0007ccd8.xpr,/,U+002F,16
JPN0007,0007ccd8.xpr,0,U+0030,17
JPN0007,0007ccd8.xpr,1,U+0031,18
JPN0007,0007ccd8.xpr,2,U+0032,19
JPN0007,0007ccd8.xpr,3,U+0033,20
JPN0007,0007ccd8.xpr,4,U+0034,21
JPN0007,0007ccd8.xpr,5,U+0035,22
JPN0007,0007ccd8.xpr,6,U+0036,23
JPN0007,0007ccd8.xpr,7,U+0037,24
JPN0007,0007ccd8.xpr,8,U+0038,25
JPN0007,0007ccd8.xpr,9,U+0039,26
JPN0007,0007ccd8.xpr,:,U+003A,27
JPN0007,0007ccd8.xpr,;,U+003B,28
JPN0007,0007ccd8.xpr,<,U+003C,29
JPN0007,0007ccd8.xpr,=,U+003D,30
JPN0007,0007ccd8.xpr,>,U+003E,31
JPN0007,0007ccd8.xpr,?,U+003F,32
JPN0007,0007ccd8.xpr,@,U+0040,33
JPN0007,0007ccd8.xpr,A,U+0041,34
JPN0007,0007ccd8.xpr,B,U+0042,35
JPN0007,0007ccd8.xpr,C,U+0043,36
JPN0007,0007ccd8.xpr,D,U+0044,37
JPN0007,0007ccd8.xpr,E,U+0045,38
JPN0007,0007ccd8.xpr,F,U+0046,39
JPN0007,0007ccd8.xpr,G,U+0047,40
JPN0007,0007ccd8.xpr,H,U+0048,41
JPN0007,0007ccd8.xpr,I,U+0049,42
JPN0007,0007ccd8.xpr,J,U+004A,43
JPN0007,0007ccd8.xpr,K,U+004B,44
JPN0007,0007ccd8.xpr,L,U+004C,45
JPN0007,0007ccd8.xpr,M,U+004D,46
JPN0007,0007ccd8.xpr,N,U+004E,47
JPN0007,0007ccd8.xpr,O,U+004F,48
JPN0007,0007ccd8.xpr,P,U+0050,49
JPN0007,0007ccd8.xpr,Q,U+0051,50
JPN0007,0007ccd8.xpr,R,U+0052,51
JPN0007,0007ccd8.xpr,S,U+0053,52
JPN0007,0007ccd8.xpr,T,U+0054,53
JPN0007,0007ccd8.xpr,U,U+0055,54
JPN0007,0007ccd8.xpr,V,U+0056,55
JPN0007,0007ccd8.xpr,W,U+0057,56
JPN0007,0007ccd8.xpr,X,U+0058,57
JPN0007,0007ccd8.xpr,Y,U+0059,58
JPN0007,0007ccd8.xpr,Z,U+005A,59
JPN0007,0007ccd8.xpr,[,U+005B,60
JPN0007,0007ccd8.xpr,\,U+005C,61
JPN0007,0007ccd8.xpr,],U+005D,62
JPN0007,0007ccd8.xpr,_,U+005F,63
JPN0007,0007ccd8.xpr,a,U+0061,64
JPN0007,0007ccd8.xpr,b,U+0062,65
JPN0007,0007ccd8.xpr,c,U+0063,66
JPN0007,0007ccd8.xpr,d,U+0064,67
JPN0007,0007ccd8.xpr,e,U+0065,68
JPN0007,0007ccd8.xpr,f,U+0066,69
JPN0007,0007ccd8.xpr,g,U+0067,70
JPN0007,0007ccd8.xpr,h,U+0068,71
JPN0007,0007ccd8.xpr,i,U+0069,72
JPN0007,0007ccd8.xpr,j,U+006A,73
JPN0007,0007ccd8.xpr,k,U+006B,74
JPN0007,0007ccd8.xpr,l,U+006C,75
JPN0007,0007ccd8.xpr,m,U+006D,76
JPN0007,0007ccd8.xpr,n,U+006E,77
JPN0007,0007ccd8.xpr,o,U+006F,78
JPN0007,0007ccd8.xpr,p,U+0070,79
JPN0007,0007ccd8.xpr,q,U+0071,80
JPN0007,0007ccd8.xpr,r,U+0072,81
JPN0007,0007ccd8.xpr,s,U+0073,82
JPN0007,0007ccd8.xpr,t,U+0074,83
JPN0007,0007ccd8.xpr,u,U+0075,84
JPN0007,0007ccd8.xpr,v,U+0076,85
JPN0007,0007ccd8.xpr,w,U+0077,86
JPN0007,0007ccd8.xpr,x,U+0078,87
JPN0007,0007ccd8.xpr,y,U+0079,88
JPN0007,0007ccd8.xpr,z,U+007A,89
JPN0007,0007ccd8.xpr,{,U+007B,90
JPN0007,0007ccd8.xpr,},U+007D,91
JPN0007,0007ccd8.xpr, ,U+00A0,92
JPN0007,0007ccd8.xpr,¡,U+00A1,93
JPN0007,0007ccd8.xpr,ª,U+00AA,94
JPN0007,0007ccd8.xpr,«,U+00AB,95
JPN0007,0007ccd8.xpr,®,U+00AE,96
JPN0007,0007ccd8.xpr,°,U+00B0,97
JPN0007,0007ccd8.xpr,º,U+00BA,98
JPN0007,0007ccd8.xpr,»,U+00BB,99
JPN0007,0007ccd8.xpr,¿,U+00BF,100
JPN0007,0007ccd8.xpr,À,U+00C0,101
JPN0007,0007ccd8.xpr,Á,U+00C1,102
JPN0007,0007ccd8.xpr,Â,U+00C2,103
JPN0007,0007ccd8.xpr,Ã,U+00C3,104
JPN0007,0007ccd8.xpr,Ä,U+00C4,105
JPN0007,0007ccd8.xpr,Ç,U+00C7,106
JPN0007,0007ccd8.xpr,È,U+00C8,107
JPN0007,0007ccd8.xpr,É,U+00C9,108
JPN0007,0007ccd8.xpr,Ê,U+00CA,109
JPN0007,0007ccd8.xpr,Ì,U+00CC,110
JPN0007,0007ccd8.xpr,Í,U+00CD,111
JPN0007,0007ccd8.xpr,Î,U+00CE,112
JPN0007,0007ccd8.xpr,Ï,U+00CF,113
JPN0007,0007ccd8.xpr,Ñ,U+00D1,114
JPN0007,0007ccd8.xpr,Ó,U+00D3,115
JPN0007,0007ccd8.xpr,Ô,U+00D4,116
JPN0007,0007ccd8.xpr,Õ,U+00D5,117
JPN0007,0007ccd8.xpr,Ö,U+00D6,118
JPN0007,0007ccd8.xpr,×,U+00D7,119
JPN0007,0007ccd8.xpr,Ú,U+00DA,120
JPN0007,0007ccd8.xpr,Û,U+00DB,121
JPN0007,0007ccd8.xpr,Ü,U+00DC,122
JPN0007,0007ccd8.xpr,ß,U+00DF,123
JPN0007,0007ccd8.xpr,à,U+00E0,124
JPN0007,0007ccd8.xpr,á,U+00E1,125
JPN0007,0007ccd8.xpr,â,U+00E2,126
JPN0007,0007ccd8.xpr,ã,U+00E3,127
JPN0007,0007ccd8.xpr,ä,U+00E4,128
JPN0007,0007ccd8.xpr,ç,U+00E7,129
JPN0007,0007ccd8.xpr,è,U+00E8,130
JPN0007,0007ccd8.xpr,é,U+00E9,131
JPN0007,0007ccd8.xpr,ê,U+00EA,132
JPN0007,0007ccd8.xpr,ë,U+00EB,133
JPN0007,0007ccd8.xpr,ì,U+00EC,134
JPN0007,0007ccd8.xpr,í,U+00ED,135
JPN0007,0007ccd8.xpr,î,U+00EE,136
JPN0007,0007ccd8.xpr,ï,U+00EF,137
JPN0007,0007ccd8.xpr,ñ,U+00F1,138
