file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D3B058D,0,0,0,1,,page2115:tag1:entity99:key00000063:ref0:ord0,,何をしている！,握手をしてくれ ,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,Jack…,"[""Jack…""]",Jack...,"[""Jack...""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B058D,1,1,1,1,,page2115:tag1:entity98:key00000062:ref1:ord0,何をしている！,握手をしてくれ ,電話では何だが 今度会ったら…,,,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,等等…,"[""等等…""]",Wait...,"[""Wait...""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B058D,2,2,2,1,,page2115:tag1:entity97:key00000061:ref2:ord0,握手をしてくれ ,電話では何だが 今度会ったら…,感謝します,,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,那帮没用的废物…,"[""那帮没用的废物…""]",Those worthless sacks of...,"[""Those worthless sacks of...""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B058D,3,3,3,1,,page2115:tag1:entity96:key00000060:ref3:ord0,電話では何だが 今度会ったら…,感謝します,こちらは警戒を解除する,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,该死…！,"[""该死…！""]",Dammit...!,"[""Dammit...!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B058D,4,4,4,1,,page2115:tag1:entity95:key0000005F:ref4:ord0,感謝します,こちらは警戒を解除する,"…助かったよ <R=BIGBOSS,ビッグボス>",,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,抱歉，主席。但我们不会撤除警戒！,"[""抱歉，主席。但我们不会撤除警戒！""]","Sorry, Chairman. But we are not standing down!","[""Sorry, Chairman. But we are not standing down!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B058D,5,5,5,1,,page2115:tag1:entity94:key0000005E:ref5:ord0,こちらは警戒を解除する,"…助かったよ <R=BIGBOSS,ビッグボス>","あの時 長官の横で 彼の行動を見ていた
当時の陸軍参謀総長は私なんだ ","<R=BIGBOSS,ビッグボス>",,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,你在干什么？！,"[""你在干什么？！""]",What are you doing?!,"[""What are you doing?!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B058D,6,6,6,1,,page2115:tag1:entity93:key0000005D:ref6:ord0,"…助かったよ <R=BIGBOSS,ビッグボス>","あの時 長官の横で 彼の行動を見ていた
当時の陸軍参謀総長は私なんだ ",どうしてそう言える！？ ,,,,NOT_CHECKED,97,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,下次再见面时，希望你愿意和我握手。,"[""下次再见面时，希望你愿意和我握手。""]","When we meet again, I hope you'll shake my hand. ","[""When we meet again, I hope you'll shake my hand. ""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B058D,7,7,7,1,,page2115:tag1:entity92:key0000005C:ref7:ord0,"あの時 長官の横で 彼の行動を見ていた
当時の陸軍参謀総長は私なんだ ",どうしてそう言える！？ ,"いや 彼は間違いなくあの時の <R=BIGBOSS,ビッグボス>だ！ ",,,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,谢谢。,"[""谢谢。""]",Thank you.,"[""Thank you.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B058D,8,8,8,1,,page2115:tag1:entity91:key0000005B:ref8:ord0,どうしてそう言える！？ ,"いや 彼は間違いなくあの時の <R=BIGBOSS,ビッグボス>だ！ ",そうです 敵の妨害工作かも！,"<R=BIGBOSS,ビッグボス>",,,NOT_CHECKED,75,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,"你救了我们所有人，Big Boss。
我们会解除警戒。","[""你救了我们所有人，Big Boss。\n我们会解除警戒。""]","You saved us all, Big Boss.
We'll stand down the alert.","[""You saved us all, Big Boss.\nWe'll stand down the alert.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B058D,9,9,9,1,,page2115:tag1:entity90:key0000005A:ref9:ord0,"いや 彼は間違いなくあの時の <R=BIGBOSS,ビッグボス>だ！ ",そうです 敵の妨害工作かも！,"ソ連のICBM 1500基 北極点を通過
確定目標地域は合衆国西部 ",,,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,"当时我就站在中情局局长（DCI）旁边，
事发经过我全都看见了。","[""当时我就站在中情局局长（DCI）旁边，\n事发经过我全都看见了。""]","and I was standing right next to the DCI
when it happened. I saw everything.","[""and I was standing right next to the DCI\nwhen it happened. I saw everything.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
