file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7A72ED,0,,,,,record0:segment0:timing51-84,,チコはここの家のどれかにいる,探すんだ スネーク,,Chico就在这里的某间屋子里。,,MATCH,42,38,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,1,,,,,record0:segment1:timing0-0,チコはここの家のどれかにいる,探すんだ スネーク,どこかの家にチコが捕らわれている,,找到他，Snake。,,MATCH,25,20,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,2,,,,,record1:segment0:timing55-72,探すんだ スネーク,どこかの家にチコが捕らわれている,見つけてくれ,,Chico被关在某间屋子里。,,MATCH,48,32,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,3,,,,,record1:segment1:timing0-0,どこかの家にチコが捕らわれている,見つけてくれ,家の中を確認するには\nドアの前で<I=ACT>を押すんだ,,找到他。,,MATCH,18,12,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,4,,,,,record2:segment0:timing0-0,見つけてくれ,家の中を確認するには\nドアの前で<I=ACT>を押すんだ,ドアの前で<I=ACT>を押せば\n家の中を見ることができる,<I=ACT>,要查看屋内，就在门前按<I=ACT>。,<I=ACT>,MATCH,69,43,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,5,,,,,record3:segment0:timing0-0,家の中を確認するには\nドアの前で<I=ACT>を押すんだ,ドアの前で<I=ACT>を押せば\n家の中を見ることができる,収容所になっている家は\n青いドアに付け替えられているらしい,<I=ACT>,在门前按<I=ACT>，就能查看屋内。,<I=ACT>,MATCH,72,43,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,6,,,,,record4:segment0:timing0-0,ドアの前で<I=ACT>を押せば\n家の中を見ることができる,収容所になっている家は\n青いドアに付け替えられているらしい,青いドアに 覗き窓が付いているようだ,,被当作收容所的房子，门似乎都换成了蓝色。,,MATCH,86,60,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,7,,,,,record5:segment0:timing0-0,収容所になっている家は\n青いドアに付け替えられているらしい,青いドアに 覗き窓が付いているようだ,覗き窓が付いているのは 青いドアだけみたいだな,,蓝色的门上好像装有窥视窗。,,MATCH,52,39,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,8,,,,,record6:segment0:timing0-0,青いドアに 覗き窓が付いているようだ,覗き窓が付いているのは 青いドアだけみたいだな,青いドアを調べるんだ,,好像只有蓝色的门上有窥视窗。,,MATCH,67,42,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,9,,,,,record7:segment0:timing0-0,覗き窓が付いているのは 青いドアだけみたいだな,青いドアを調べるんだ,青いドアに覗き窓がある…覗いてみるんだ！,,检查蓝色的门。,,MATCH,30,21,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,10,,,,,record8:segment0:timing0-0,青いドアを調べるんだ,青いドアに覗き窓がある…覗いてみるんだ！,ドアの覗き窓を覗くには近づいてアイコンが出たら\n<I=ACT>だ,,蓝色的门上有窥视窗……往里面看看！,,MATCH,60,51,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,11,,,,,record9:segment0:timing0-0,青いドアに覗き窓がある…覗いてみるんだ！,ドアの覗き窓を覗くには近づいてアイコンが出たら\n<I=ACT>だ,チコはその近くにいる！\nほぼそうだ！,<I=ACT>,靠近门上的窥视窗，图标出现后按<I=ACT>。,<I=ACT>,MATCH,81,55,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,12,,,,,record10:segment0:timing0-0,ドアの覗き窓を覗くには近づいてアイコンが出たら\n<I=ACT>だ,チコはその近くにいる！\nほぼそうだ！,チコはその家にいる！\nドアに近づいてアイコンが出たら<I=ACT>だ！,,"Chico就在这附近！
八九不离十！",,MATCH,53,42,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,13,,,,,record11:segment0:timing0-0,チコはその近くにいる！\nほぼそうだ！,チコはその家にいる！\nドアに近づいてアイコンが出たら<I=ACT>だ！,接収された家のドアには 監視用の覗き窓がついている\n青いドアよ,<I=ACT>,"Chico就在那间屋子里！
靠近门，图标出现后按<I=ACT>！",<I=ACT>,MATCH,90,70,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,14,,,,,record12:segment0:timing0-0,チコはその家にいる！\nドアに近づいてアイコンが出たら<I=ACT>だ！,接収された家のドアには 監視用の覗き窓がついている\n青いドアよ,捕虜が囚われているのは 青い扉の建物よ,,"被接管的房屋，门上都装了监视用窥视窗。
就是蓝色的门。",,MATCH,90,79,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,15,,,,,record13:segment0:timing0-0,接収された家のドアには 監視用の覗き窓がついている\n青いドアよ,捕虜が囚われているのは 青い扉の建物よ,青い扉を探して\nチコはそのどれかに囚われている,,俘虏被关在装有蓝色门的建筑里。,,MATCH,55,45,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,16,,,,,record14:segment0:timing0-0,捕虜が囚われているのは 青い扉の建物よ,青い扉を探して\nチコはそのどれかに囚われている,青いドアを覗いてみて スネーク,,"找蓝色的门。
Chico就被关在其中一间里。",,MATCH,68,54,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,17,,,,,record15:segment0:timing0-0,青い扉を探して\nチコはそのどれかに囚われている,青いドアを覗いてみて スネーク,敵の警戒中に 家の中を覗くのは無理だ,,看看蓝色的门里面，Snake。,,MATCH,43,35,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,18,,,,,record16:segment0:timing0-0,青いドアを覗いてみて スネーク,敵の警戒中に 家の中を覗くのは無理だ,今家の中を覗くのは無理だ\nまずは警戒を解いてくれ,,敌人处于警戒状态时，没法查看屋内。,,MATCH,52,51,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,19,,,,,record17:segment0:timing0-0,敵の警戒中に 家の中を覗くのは無理だ,今家の中を覗くのは無理だ\nまずは警戒を解いてくれ,スネーク 慎重にお願い\nチコの命がかかってる,,"现在没法查看屋内。
先解除警戒。",,MATCH,71,46,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,20,,,,,record18:segment0:timing0-0,今家の中を覗くのは無理だ\nまずは警戒を解いてくれ,スネーク 慎重にお願い\nチコの命がかかってる,敵に気付かれたら 増援が来るかも知れない,,"Snake，小心点。
Chico的命就靠你了。",,MATCH,63,47,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,21,,,,,record19:segment0:timing68-99,スネーク 慎重にお願い\nチコの命がかかってる,敵に気付かれたら 増援が来るかも知れない,見つからないようにしてくれ,,要是被敌人发现，可能会有增援赶来。,,MATCH,58,51,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,22,,,,,record19:segment1:timing0-0,敵に気付かれたら 増援が来るかも知れない,見つからないようにしてくれ,その場の敵を倒したとしても\n増援を呼ばれたら危険だ,,别被发现。,,MATCH,39,15,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,23,,,,,record20:segment0:timing94-130,見つからないようにしてくれ,その場の敵を倒したとしても\n増援を呼ばれたら危険だ,見つからないように進むんだ,,"就算解决了眼前的敌人，
要是他们叫来增援也很危险。",,MATCH,74,73,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,24,,,,,record20:segment1:timing0-0,その場の敵を倒したとしても\n増援を呼ばれたら危険だ,見つからないように進むんだ,収容所の路地は複雑に絡み合ってる\nうまく利用すれば 敵をやり過ごせるはずよ,,别被发现，继续前进。,,MATCH,39,30,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,25,,,,,record21:segment0:timing0-0,見つからないように進むんだ,収容所の路地は複雑に絡み合ってる\nうまく利用すれば 敵をやり過ごせるはずよ,路地や軒先は見通しが悪い\n敵とはち合わせないように注意して,,"收容所的小巷错综复杂。
利用得好，应该能避开敌人。",,MATCH,108,73,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,26,,,,,record22:segment0:timing0-0,収容所の路地は複雑に絡み合ってる\nうまく利用すれば 敵をやり過ごせるはずよ,路地や軒先は見通しが悪い\n敵とはち合わせないように注意して,"<R=列車車庫,ターミナル>は コーヒー工場の先にある",,"小巷和屋檐下视野很差。
小心别和敌人迎面撞上。",,MATCH,86,67,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,27,,,,,record23:segment0:timing69-115,路地や軒先は見通しが悪い\n敵とはち合わせないように注意して,"<R=列車車庫,ターミナル>は コーヒー工場の先にある",まずはコーヒー工場を目指すんだ,"<R=列車車庫,ターミナル>","<R=火车终点站,TERMINAL>在咖啡工厂的另一边。","<R=火车终点站,TERMINAL>",MATCH,69,58,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=RUBY_READING_ROMANIZED
1C7A72ED,28,,,,,record23:segment1:timing0-0,"<R=列車車庫,ターミナル>は コーヒー工場の先にある",まずはコーヒー工場を目指すんだ,まずはコーヒー工場へ向かってくれ,,先去咖啡工厂。,,MATCH,45,21,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,29,,,,,record24:segment0:timing0-0,まずはコーヒー工場を目指すんだ,まずはコーヒー工場へ向かってくれ,コーヒー工場に向かうには \nまず三叉路に戻る必要がある,,先前往咖啡工厂。,,MATCH,48,24,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,30,,,,,record25:segment0:timing0-0,まずはコーヒー工場へ向かってくれ,コーヒー工場に向かうには \nまず三叉路に戻る必要がある,機関車が置いてあった窪地を覚えているか？\nそこを経由してから コーヒー工場へ向かえ,,"要去咖啡工厂，
得先回到三岔路口。",,MATCH,78,49,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,31,,,,,record26:segment0:timing0-0,コーヒー工場に向かうには \nまず三叉路に戻る必要がある,機関車が置いてあった窪地を覚えているか？\nそこを経由してから コーヒー工場へ向かえ,近くにコーヒー工場への近道があるようだ,,"还记得放着机车的那处洼地吗？
先经过那里，再去咖啡工厂。",,MATCH,120,82,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,32,,,,,record27:segment0:timing71-130,機関車が置いてあった窪地を覚えているか？\nそこを経由してから コーヒー工場へ向かえ,近くにコーヒー工場への近道があるようだ,仲間と協力すれば 進めるかも知れん,,附近好像有一条通往咖啡工厂的近路。,,MATCH,57,51,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,33,,,,,record27:segment1:timing0-0,近くにコーヒー工場への近道があるようだ,仲間と協力すれば 進めるかも知れん,近道が見つからないなら 三叉路に戻った方がいい,,和同伴合作的话，也许就能过去。,,MATCH,49,45,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,34,,,,,record28:segment0:timing0-0,仲間と協力すれば 進めるかも知れん,近道が見つからないなら 三叉路に戻った方がいい,ゲートは収容施設の北西にある,,找不到近路的话，最好回到三岔路口。,,MATCH,67,51,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,35,,,,,record29:segment0:timing59-112,近道が見つからないなら 三叉路に戻った方がいい,ゲートは収容施設の北西にある,施設を横断してゲートへ向かってくれ,,大门在收容设施的西北边。,,MATCH,42,36,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,36,,,,,record29:segment1:timing0-0,ゲートは収容施設の北西にある,施設を横断してゲートへ向かってくれ,施設を横断すれば 北へ通じるゲートへ行けるだろう,,穿过设施，前往大门。,,MATCH,51,30,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,37,,,,,record30:segment0:timing0-0,施設を横断してゲートへ向かってくれ,施設を横断すれば 北へ通じるゲートへ行けるだろう,この村の北西にバリケードがある\n先へ進むには爆破するしかないよ,,穿过设施，应该就能到通往北边的大门。,,MATCH,70,54,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,38,,,,,record31:segment0:timing0-0,施設を横断すれば 北へ通じるゲートへ行けるだろう,この村の北西にバリケードがある\n先へ進むには爆破するしかないよ,バリケードは村の北側にある,,"村子西北边有一道路障。
要继续前进，只能把它炸掉。",,MATCH,92,73,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,39,,,,,record32:segment0:timing0-0,この村の北西にバリケードがある\n先へ進むには爆破するしかないよ,バリケードは村の北側にある,バリケードを壊すには…ええと C4だっけ？\nそいつが要るみたいだ,,路障在村子北边。,,MATCH,39,24,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,40,,,,,record33:segment0:timing0-0,バリケードは村の北側にある,バリケードを壊すには…ええと C4だっけ？\nそいつが要るみたいだ,目標地点はゲートの先だ,,"要破坏路障……呃，是C4吧？
看来需要那个。",,MATCH,89,60,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,41,,,,,record34:segment0:timing51-92,バリケードを壊すには…ええと C4だっけ？\nそいつが要るみたいだ,目標地点はゲートの先だ,C4でゲートを破壊するんだ,,目标地点就在大门后面。,,MATCH,33,33,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,42,,,,,record34:segment1:timing0-0,目標地点はゲートの先だ,C4でゲートを破壊するんだ,ゲートを破壊しなければ 吊り橋へは抜けられない,,用C4炸掉大门。,,MATCH,35,20,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=NO_RELIABLE_AUX_MAPPING
1C7A72ED,43,,,,,record35:segment0:timing80-110,C4でゲートを破壊するんだ,ゲートを破壊しなければ 吊り橋へは抜けられない,C4を仕掛けるんだ,,不把大门炸掉，就没法前往吊桥。,,MATCH,67,45,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7A72ED,44,,,,,record35:segment1:timing0-0,ゲートを破壊しなければ 吊り橋へは抜けられない,C4を仕掛けるんだ,まずはC4爆弾を装備するんだ\n装備しないと設置はできない,,安放C4。,,MATCH,23,11,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
